Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-01-04,700.0,612.0,612.0,660.0,25000.0,0.28172197937965393,,,,,,,
2000-01-05,696.0,561.0,612.0,561.0,143000.0,0.23946362733840942,,,,,,,
2000-01-06,615.0,570.0,590.0,590.0,134000.0,0.25184234976768494,,,,,,,
2000-01-07,589.0,560.0,560.0,575.0,43000.0,0.2454395592212677,,,,,,,
2000-01-10,599.0,575.0,575.0,598.0,25000.0,0.25525718927383423,596.8,,,,,,
2000-01-11,580.0,560.0,560.0,564.0,38000.0,0.2407442033290863,577.6,,,,,,
2000-01-12,580.0,550.0,569.0,552.0,20000.0,0.23562200367450714,575.8,,,,,,
2000-01-13,549.0,502.0,549.0,538.0,33000.0,0.22964607179164886,565.4,579.75,,,,,
2000-01-14,549.0,520.0,545.0,536.0,82000.0,0.22879239916801453,557.6,564.25,,,,,
2000-01-17,600.0,543.0,554.0,598.0,48000.0,0.25525718927383423,557.6,568.875,577.2,,,,
2000-01-18,598.0,550.0,598.0,550.0,22000.0,0.23476828634738922,554.8,563.875,566.2,,,,
2000-01-19,550.0,540.0,545.0,540.0,28000.0,0.2304997593164444,552.4,559.5,564.1,,,,
2000-01-20,500.0,470.0,470.0,499.0,29000.0,0.2129988819360733,544.6,547.125,555.0,,,,
2000-01-21,500.0,470.0,471.0,481.0,46000.0,0.20531553030014038,533.6,536.75,545.6,,,,
2000-01-24,545.0,470.0,470.0,500.0,60000.0,0.21342572569847107,514.0,530.25,535.8,,,,
2000-01-25,575.0,516.0,575.0,525.0,107000.0,0.22409698367118835,509.0,528.625,531.9,,,,
2000-01-26,545.0,500.0,515.0,519.0,44000.0,0.22153590619564056,504.8,526.5,528.6,,,,
2000-01-27,535.0,510.0,519.0,522.0,54000.0,0.22281645238399506,509.4,517.0,527.0,,,,
2000-01-28,560.0,505.0,555.0,515.0,33000.0,0.21982848644256592,516.2,512.625,524.9,,,,
2000-01-31,550.0,505.0,517.0,520.0,31000.0,0.22196274995803833,520.2,510.125,517.1,,,,
2000-02-01,540.0,470.0,535.0,520.0,76000.0,0.22196274995803833,519.2,512.75,514.1,,,,
2000-02-02,549.0,530.0,540.0,547.0,43000.0,0.23348771035671234,524.8,521.0,514.8,,,,
2000-02-03,570.0,520.0,530.0,538.0,99000.0,0.22964607179164886,528.0,525.75,518.7,,,,
2000-02-04,538.0,538.0,538.0,538.0,0.0,0.22964607179164886,532.6,527.375,524.4,,,,
2000-02-07,557.0,523.0,536.0,538.0,52000.0,0.22964607179164886,536.2,529.75,528.2,,,,
2000-02-08,540.0,503.0,530.0,534.0,55000.0,0.2279386818408966,539.0,531.25,529.1,,,,
2000-02-09,538.0,503.0,520.0,503.0,36000.0,0.21470628678798676,530.2,529.75,527.5,,,,
2000-02-10,520.0,481.0,483.5,500.0,20000.0,0.21342572569847107,522.6,527.25,525.3,,,,
2000-02-11,515.0,460.0,509.0,465.0,41000.0,0.19848589599132538,508.0,520.375,520.3,,,,
2000-02-14,489.0,436.0,470.0,460.0,37000.0,0.19635164737701416,492.4,509.5,514.3,536.2,,,
2000-02-15,482.0,425.0,460.0,425.0,13000.0,0.18141186237335205,470.6,495.375,504.8,528.3666666666667,,,
2000-02-16,453.0,421.0,425.0,421.0,28000.0,0.1797044575214386,454.2,480.75,492.2,523.7,,,
2000-02-17,450.0,420.0,420.0,430.0,37000.0,0.18354612588882446,440.2,467.25,481.4,518.3666666666667,,,
2000-02-18,440.0,421.0,440.0,430.0,46000.0,0.18354612588882446,433.2,454.25,470.6,513.5333333333333,,,
2000-02-21,420.0,376.0,405.0,420.0,53000.0,0.17927759885787964,425.2,443.875,458.8,507.6,,,
2000-02-22,419.0,400.0,419.0,419.0,18000.0,0.17885076999664307,424.0,433.75,447.3,502.76666666666665,,,
2000-02-23,479.0,430.0,439.0,470.0,44000.0,0.20062018930912018,433.8,434.375,444.0,500.03333333333336,,,
2000-02-24,470.0,415.0,460.0,455.0,79000.0,0.19421742856502533,438.8,433.75,439.5,497.26666666666665,,,
2000-02-25,523.0,454.0,454.0,461.0,58000.0,0.19677850604057312,445.0,438.25,439.1,494.76666666666665,,,
2000-02-28,530.0,490.0,490.0,530.0,106000.0,0.22623126208782196,467.0,451.875,446.1,492.5,,,
2000-02-29,599.0,515.0,599.0,530.0,98000.0,0.22623126208782196,489.2,464.375,456.6,491.8333333333333,,,
2000-03-01,530.0,530.0,530.0,530.0,0.0,0.22623126208782196,501.2,476.875,467.5,491.5,,,
2000-03-02,589.0,520.0,520.0,541.0,46000.0,0.23092661798000336,518.4,492.0,478.6,492.9,,,
2000-03-03,573.0,541.0,550.0,552.0,41000.0,0.23562200367450714,536.6,508.625,490.8,495.26666666666665,,,
2000-03-06,598.0,520.0,570.0,598.0,180000.0,0.25525718927383423,550.2,524.625,508.6,498.53333333333336,517.7333333333333,,
2000-03-07,610.0,561.0,610.0,571.0,96000.0,0.24373212456703186,558.4,539.125,523.8,500.06666666666666,515.7555555555556,,
2000-03-08,630.0,531.0,550.0,600.0,130000.0,0.25611087679862976,572.4,556.5,536.8,502.76666666666665,516.6222222222223,,
2000-03-09,690.0,576.0,576.0,690.0,342000.0,0.294527530670166,602.2,576.5,560.3,508.3666666666667,518.8444444444444,,
