Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-02-11,1140.0,955.0,1100.0,980.0,47000.0,980.0,,,,,,,
2000-02-14,1050.0,870.0,1050.0,970.0,7000.0,970.0,,,,,,,
2000-02-15,854.0,854.0,854.0,854.0,4000.0,854.0,,,,,,,
2000-02-16,752.0,752.0,752.0,752.0,4000.0,752.0,,,,,,,
2000-02-17,842.0,662.0,763.0,800.0,42000.0,800.0,871.2,,,,,,
2000-02-18,880.0,750.0,804.0,849.0,19000.0,849.0,845.0,,,,,,
2000-02-21,880.0,748.0,849.0,878.0,16000.0,878.0,826.6,,,,,,
2000-02-22,860.0,773.0,773.0,834.0,17000.0,834.0,822.6,864.625,,,,,
2000-02-23,789.0,734.0,743.0,788.0,4000.0,788.0,829.8,840.625,,,,,
2000-02-24,770.0,750.0,750.0,770.0,740.0,770.0,823.8,815.625,847.5,,,,
2000-02-25,862.0,766.0,766.0,862.0,22000.0,862.0,826.4,816.625,835.7,,,,
2000-02-28,965.0,760.0,940.0,760.0,53000.0,760.0,802.8,817.625,814.7,,,,
2000-02-29,851.0,800.0,849.0,851.0,13000.0,851.0,806.2,824.0,814.4,,,,
2000-03-01,851.0,851.0,851.0,851.0,0.0,851.0,818.8,824.25,824.3,,,,
2000-03-02,953.0,749.0,953.0,953.0,19000.0,953.0,855.4,833.625,839.6,,,,
2000-03-03,1065.0,950.0,1050.0,1065.0,27000.0,1065.0,896.0,862.5,861.2,,,,
2000-03-06,1190.0,1190.0,1190.0,1190.0,970.0,1190.0,982.0,912.75,892.4,,,,
2000-03-07,1330.0,1330.0,1330.0,1330.0,18000.0,1330.0,1077.8,982.75,942.0,,,,
2000-03-08,1485.0,1485.0,1485.0,1485.0,22000.0,1485.0,1204.6,1060.625,1011.7,,,,
2000-03-09,1660.0,1660.0,1660.0,1660.0,1000.0,1660.0,1346.0,1173.125,1100.7,,,,
2000-03-10,1855.0,1855.0,1855.0,1855.0,1000.0,1855.0,1504.0,1298.625,1200.0,,,,
2000-03-13,2075.0,2075.0,2075.0,2075.0,35000.0,2075.0,1681.0,1451.625,1331.5,,,,
2000-03-14,2320.0,2320.0,2320.0,2320.0,18000.0,2320.0,1879.0,1622.5,1478.4,,,,
2000-03-15,2595.0,2595.0,2595.0,2595.0,10.0,2595.0,2101.0,1813.75,1652.8,,,,
2000-03-16,2905.0,2600.0,2905.0,2905.0,62000.0,2905.0,2350.0,2028.125,1848.0,,,,
2000-03-17,3250.0,2920.0,3250.0,3250.0,126000.0,3250.0,2629.0,2268.125,2066.5,,,,
2000-03-20,3640.0,2860.0,3640.0,2860.0,139000.0,2860.0,2786.0,2440.0,2233.5,,,,
2000-03-21,2520.0,2520.0,2520.0,2520.0,1000.0,2520.0,2826.0,2547.5,2352.5,,,,
2000-03-22,2790.0,2220.0,2220.0,2260.0,422000.0,2260.0,2759.0,2598.125,2430.0,,,,
2000-03-23,2400.0,1990.0,2270.0,1990.0,110000.0,1990.0,2576.0,2587.5,2463.0,1470.4,,,
2000-03-24,1970.0,1755.0,1870.0,1755.0,160000.0,1755.0,2277.0,2516.875,2453.0,1496.2333333333333,,,
2000-03-27,1965.0,1850.0,1850.0,1965.0,87000.0,1965.0,2098.0,2438.125,2442.0,1529.4,,,
2000-03-28,2200.0,2200.0,2200.0,2200.0,6000.0,2200.0,2034.0,2350.0,2430.0,1574.2666666666667,,,
2000-03-29,2460.0,2300.0,2460.0,2460.0,229000.0,2460.0,2074.0,2251.25,2416.5,1631.2,,,
2000-03-30,2600.0,2165.0,2500.0,2165.0,337000.0,2165.0,2109.0,2164.375,2342.5,1676.7,,,
2000-03-31,2300.0,1910.0,1910.0,2085.0,175000.0,2085.0,2175.0,2110.0,2226.0,1717.9,,,
2000-04-03,2335.0,2300.0,2335.0,2335.0,110000.0,2335.0,2249.0,2119.375,2173.5,1766.4666666666667,,,
2000-04-04,2300.0,2055.0,2300.0,2080.0,98000.0,2080.0,2225.0,2130.625,2129.5,1808.0,,,
2000-04-05,2080.0,2080.0,2080.0,2080.0,0.0,2080.0,2149.0,2171.25,2111.5,1851.0666666666666,,,
2000-04-06,2000.0,1835.0,1865.0,1835.0,88000.0,1835.0,2083.0,2155.0,2096.0,1886.5666666666666,,,
2000-04-07,2020.0,1750.0,1870.0,1930.0,143000.0,1930.0,2052.0,2121.25,2113.5,1922.1666666666667,,,
2000-04-10,2100.0,1850.0,1910.0,1950.0,219000.0,1950.0,1975.0,2057.5,2112.0,1961.8333333333333,,,
2000-04-11,2000.0,1720.0,1780.0,1900.0,103000.0,1900.0,1939.0,2024.375,2082.0,1996.8,,,
2000-04-12,2125.0,1710.0,1840.0,2125.0,235000.0,2125.0,1948.0,2029.375,2048.5,2039.2666666666667,,,
2000-04-13,2125.0,2125.0,2125.0,2125.0,0.0,2125.0,2006.0,2003.125,2044.5,2078.3333333333335,1668.9333333333334,,
2000-04-14,2380.0,2070.0,2380.0,2125.0,438000.0,2125.0,2045.0,2008.75,2048.5,2113.6666666666665,1694.3777777777777,,
2000-04-17,1870.0,1870.0,1870.0,1870.0,2000.0,1870.0,2029.0,1982.5,2002.0,2136.3333333333335,1714.3777777777777,,
2000-04-18,1900.0,1650.0,1650.0,1650.0,221000.0,1650.0,1979.0,1959.375,1959.0,2147.0,1732.0666666666666,,
2000-04-19,1790.0,1460.0,1505.0,1580.0,442000.0,1580.0,1870.0,1915.625,1909.0,2150.1666666666665,1750.4666666666667,,
2000-04-20,1765.0,1610.0,1700.0,1765.0,223000.0,1765.0,1798.0,1892.5,1902.0,2153.6666666666665,1771.911111111111,,
2000-04-21,1975.0,1575.0,1975.0,1800.0,318000.0,1800.0,1733.0,1880.0,1889.0,2151.8333333333335,1793.0444444444445,,
2000-04-24,1890.0,1650.0,1850.0,1785.0,111000.0,1785.0,1716.0,1837.5,1872.5,2142.1666666666665,1813.2,,
2000-04-25,1880.0,1575.0,1780.0,1575.0,128000.0,1575.0,1701.0,1768.75,1840.0,2117.3333333333335,1829.6666666666667,,
2000-04-26,1630.0,1430.0,1530.0,1460.0,138000.0,1460.0,1677.0,1685.625,1773.5,2079.5,1844.6,,
2000-04-27,1600.0,1320.0,1460.0,1440.0,67000.0,1440.0,1612.0,1631.875,1705.0,2030.6666666666667,1859.4888888888888,,
2000-04-28,1550.0,1340.0,1400.0,1425.0,70000.0,1425.0,1537.0,1603.75,1635.0,1969.8333333333333,1872.0,,
2000-05-01,1425.0,1425.0,1425.0,1425.0,0.0,1425.0,1465.0,1584.375,1590.5,1922.0,1886.7777777777778,,
2000-05-02,1580.0,1355.0,1450.0,1410.0,46000.0,1410.0,1432.0,1540.0,1566.5,1885.0,1899.2,,
2000-05-03,1550.0,1370.0,1500.0,1550.0,73000.0,1550.0,1450.0,1508.75,1563.5,1861.3333333333333,1914.7333333333333,,
2000-05-04,1700.0,1460.0,1530.0,1700.0,114000.0,1700.0,1502.0,1498.125,1557.0,1851.6666666666667,1931.3333333333333,1661.0333333333333,
2000-05-05,1700.0,1700.0,1700.0,1700.0,0.0,1700.0,1557.0,1513.75,1547.0,1849.8333333333333,1945.4444444444443,1673.0333333333333,
2000-05-08,1900.0,1600.0,1750.0,1900.0,202000.0,1900.0,1652.0,1568.75,1558.5,1847.6666666666667,1961.2222222222222,1688.5333333333333,
2000-05-09,1900.0,1900.0,1900.0,1900.0,0.0,1900.0,1750.0,1626.25,1591.0,1837.6666666666667,1973.888888888889,1705.9666666666667,
2000-05-10,1945.0,1640.0,1665.0,1910.0,277000.0,1910.0,1822.0,1686.875,1636.0,1819.3333333333333,1983.3333333333333,1725.2666666666667,
2000-05-11,1910.0,1910.0,1910.0,1910.0,0.0,1910.0,1864.0,1747.5,1683.0,1810.8333333333333,1988.888888888889,1743.7666666666667,
2000-05-12,2135.0,1930.0,2080.0,2135.0,198000.0,2135.0,1951.0,1838.125,1754.0,1812.5,1995.111111111111,1765.2,
2000-05-15,2380.0,1950.0,2380.0,2190.0,244000.0,2190.0,2009.0,1918.125,1830.5,1807.6666666666667,1997.6666666666667,1787.0666666666666,
2000-05-16,2380.0,1930.0,2190.0,2080.0,167000.0,2080.0,2045.0,1965.625,1897.5,1807.6666666666667,1992.3333333333333,1807.8333333333333,
2000-05-17,2130.0,1835.0,2080.0,1835.0,235000.0,1835.0,2030.0,1982.5,1926.0,1799.5,1975.4444444444443,1825.2833333333333,
2000-05-18,1780.0,1615.0,1620.0,1615.0,180000.0,1615.0,1971.0,1946.875,1917.5,1792.1666666666667,1946.7777777777778,1839.3666666666666,
2000-05-19,1805.0,1425.0,1590.0,1805.0,266000.0,1805.0,1905.0,1935.0,1928.0,1788.0,1914.6666666666667,1855.0833333333333,
2000-05-22,2020.0,1900.0,2010.0,2020.0,92000.0,2020.0,1871.0,1948.75,1940.0,1790.3333333333333,1896.0,1876.0833333333333,
2000-05-23,2260.0,2260.0,2260.0,2260.0,86000.0,2260.0,1907.0,1992.5,1976.0,1802.3333333333333,1890.2222222222222,1899.5666666666666,
2000-05-24,2260.0,2260.0,2260.0,2260.0,0.0,2260.0,1992.0,2008.125,2011.0,1806.8333333333333,1890.2222222222222,1923.05,
2000-05-25,2520.0,1990.0,2330.0,1990.0,900000.0,1990.0,2067.0,1983.125,2019.0,1802.3333333333333,1890.2222222222222,1940.3333333333333,
2000-05-26,1930.0,1755.0,1930.0,1755.0,179000.0,1755.0,2057.0,1942.5,1981.0,1790.0,1890.2222222222222,1951.8333333333333,
2000-05-29,1650.0,1545.0,1545.0,1580.0,138000.0,1580.0,1969.0,1910.625,1920.0,1780.3333333333333,1881.6666666666667,1958.3333333333333,
2000-05-30,1580.0,1580.0,1580.0,1580.0,0.0,1580.0,1833.0,1906.25,1870.0,1778.0,1867.888888888889,1962.5,
2000-05-31,1840.0,1580.0,1580.0,1750.0,198000.0,1750.0,1731.0,1899.375,1861.5,1783.6666666666667,1852.111111111111,1966.9166666666667,
2000-06-01,1830.0,1550.0,1750.0,1600.0,90000.0,1600.0,1653.0,1846.875,1860.0,1778.1666666666667,1839.5555555555557,1965.9166666666667,
2000-06-02,1700.0,1500.0,1610.0,1565.0,511000.0,1565.0,1615.0,1760.0,1836.0,1770.3333333333333,1828.0,1961.0833333333333,
2000-06-05,1745.0,1505.0,1565.0,1720.0,337000.0,1720.0,1643.0,1692.5,1806.0,1768.1666666666667,1814.3333333333333,1955.1666666666667,
2000-06-06,1720.0,1720.0,1720.0,1720.0,0.0,1720.0,1671.0,1658.75,1752.0,1773.0,1806.3333333333333,1945.1666666666667,
2000-06-07,1800.0,1630.0,1800.0,1700.0,302000.0,1700.0,1661.0,1651.875,1696.0,1781.0,1797.888888888889,1930.25,
2000-06-08,1750.0,1510.0,1655.0,1575.0,137000.0,1575.0,1656.0,1651.25,1654.5,1785.5,1792.111111111111,1908.0833333333333,
2000-06-09,1620.0,1520.0,1600.0,1580.0,77000.0,1580.0,1659.0,1651.25,1637.0,1790.6666666666667,1784.3333333333333,1880.25,
2000-06-12,1765.0,1560.0,1600.0,1765.0,184000.0,1765.0,1668.0,1653.125,1655.5,1802.0,1780.2222222222222,1862.0,
2000-06-13,1860.0,1590.0,1730.0,1690.0,159000.0,1690.0,1662.0,1664.375,1666.5,1811.3333333333333,1775.5555555555557,1848.1666666666667,
2000-06-14,1720.0,1555.0,1700.0,1635.0,112000.0,1635.0,1649.0,1673.125,1655.0,1814.1666666666667,1764.6666666666667,1837.75,
2000-06-15,1750.0,1570.0,1600.0,1650.0,179000.0,1650.0,1664.0,1664.375,1660.0,1812.5,1754.111111111111,1832.0833333333333,
2000-06-16,1800.0,1600.0,1660.0,1750.0,251000.0,1750.0,1698.0,1668.125,1678.5,1814.1666666666667,1745.7777777777778,1832.0,
2000-06-19,1845.0,1650.0,1810.0,1740.0,145000.0,1740.0,1693.0,1673.125,1680.5,1808.8333333333333,1742.888888888889,1828.25,
2000-06-20,1760.0,1620.0,1705.0,1650.0,82000.0,1650.0,1685.0,1682.5,1673.5,1800.5,1742.888888888889,1819.0833333333333,
2000-06-21,1710.0,1510.0,1510.0,1640.0,108000.0,1640.0,1686.0,1690.0,1667.5,1791.5,1744.2222222222222,1805.4166666666667,
2000-06-22,1640.0,1540.0,1640.0,1600.0,84000.0,1600.0,1676.0,1669.375,1670.0,1781.1666666666667,1740.5555555555557,1796.0,
2000-06-23,1600.0,1510.0,1560.0,1565.0,69000.0,1565.0,1639.0,1653.75,1668.5,1762.1666666666667,1735.3333333333333,1787.3333333333333,
2000-06-26,1620.0,1515.0,1560.0,1545.0,79000.0,1545.0,1600.0,1642.5,1646.5,1740.6666666666667,1730.0,1774.1666666666667,
2000-06-27,1730.0,1520.0,1525.0,1730.0,447000.0,1730.0,1616.0,1652.5,1650.5,1729.0,1733.4444444444443,1768.3333333333333,
2000-06-28,1850.0,1600.0,1750.0,1660.0,307000.0,1660.0,1620.0,1641.25,1653.0,1723.1666666666667,1737.888888888889,1761.3333333333333,
2000-06-29,1680.0,1560.0,1680.0,1610.0,82000.0,1610.0,1622.0,1625.0,1649.0,1723.0,1741.6666666666667,1757.5833333333333,
2000-06-30,1640.0,1510.0,1550.0,1640.0,94000.0,1640.0,1637.0,1623.75,1638.0,1717.5,1746.4444444444443,1752.75,
2000-07-03,1670.0,1570.0,1590.0,1670.0,71000.0,1670.0,1662.0,1627.5,1631.0,1705.8333333333333,1751.888888888889,1748.0833333333333,
2000-07-04,1740.0,1620.0,1670.0,1700.0,100000.0,1700.0,1656.0,1640.0,1636.0,1687.1666666666667,1758.3333333333333,1744.75,
2000-07-05,1750.0,1550.0,1750.0,1600.0,59000.0,1600.0,1644.0,1644.375,1632.0,1665.1666666666667,1759.4444444444443,1736.0,
