Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-02-14,980.0,820.0,980.0,880.0,14000.0,880.0,,,,,,,
2000-02-18,850.0,796.0,796.0,820.0,34500.0,820.0,,,,,,,
2000-02-28,1010.0,846.0,846.0,1000.0,58000.0,1000.0,,,,,,,
2000-03-31,1630.0,1422.0,1422.0,1580.0,124500.0,1580.0,,,,,,,
2000-04-13,1400.0,1400.0,1400.0,1400.0,0.0,1400.0,1136.0,,,,,,
2000-04-17,1688.0,1384.0,1500.0,1560.0,1422000.0,1560.0,1272.0,,,,,,
2000-04-27,1496.0,1342.0,1400.0,1350.0,362500.0,1350.0,1378.0,,,,,,
2000-05-15,1318.0,1190.0,1300.0,1240.0,584000.0,1240.0,1426.0,1228.75,,,,,
2000-05-17,1170.0,1008.0,1146.0,1016.0,514500.0,1016.0,1313.2,1245.75,,,,,
2000-05-23,990.0,902.0,918.0,990.0,605000.0,990.0,1231.2,1267.0,1183.6,,,,
2000-05-30,740.0,740.0,740.0,740.0,0.0,740.0,1067.2,1234.5,1169.6,,,,
2000-06-13,998.0,898.0,998.0,978.0,646000.0,978.0,992.8,1159.25,1185.4,,,,
2000-06-15,930.0,822.0,904.0,870.0,330500.0,870.0,918.8,1093.0,1172.4,,,,
2000-07-14,830.0,798.0,798.0,808.0,177500.0,808.0,877.2,999.0,1095.2,,,,
2000-07-17,808.0,808.0,808.0,808.0,0.0,808.0,840.8,931.25,1036.0,,,,
2000-09-14,812.0,780.0,812.0,798.0,310000.0,798.0,852.4,876.0,959.8,,,,
2000-10-27,1340.0,1340.0,1340.0,1340.0,0.0,1340.0,924.8,916.5,958.8,,,,
2000-11-06,1114.0,1008.0,1094.0,1058.0,1348000.0,1058.0,962.4,925.0,940.6,,,,
2000-12-12,930.0,832.0,862.0,930.0,556000.0,930.0,986.8,948.75,932.0,,,,
2001-01-16,1200.0,1092.0,1158.0,1148.0,921000.0,1148.0,1054.8,970.0,947.8,,,,
2001-01-30,1310.0,1200.0,1220.0,1200.0,1102500.0,1200.0,1135.2,1011.25,993.8,,,,
2001-02-15,1504.0,1420.0,1450.0,1446.0,640000.0,1446.0,1156.4,1091.0,1040.6,,,,
2001-03-21,1230.0,1160.0,1192.0,1166.0,230000.0,1166.0,1178.0,1135.75,1070.2,,,,
2001-05-14,1140.0,1110.0,1110.0,1118.0,226000.0,1118.0,1215.6,1175.75,1101.2,,,,
2001-06-18,1156.0,1092.0,1104.0,1124.0,298000.0,1124.0,1210.8,1148.75,1132.8,,,,
2001-07-18,1008.0,944.0,1000.0,946.0,220000.0,946.0,1160.0,1134.75,1147.6,,,,
2001-07-25,870.0,830.0,840.0,860.0,40500.0,860.0,1042.8,1126.0,1099.6,,,,
2001-08-02,968.0,940.0,950.0,962.0,35500.0,962.0,1002.0,1102.75,1090.0,,,,
2001-09-21,1160.0,1090.0,1110.0,1160.0,118000.0,1160.0,1010.4,1097.75,1113.0,,,,
2002-02-05,1078.0,1030.0,1040.0,1060.0,238500.0,1060.0,997.6,1049.5,1104.2,1078.5333333333333,,,
2002-02-19,1046.0,1020.0,1020.0,1024.0,22500.0,1024.0,1013.2,1031.75,1086.6,1083.3333333333333,,,
2002-05-02,920.0,884.0,900.0,920.0,26500.0,920.0,1025.2,1007.0,1034.0,1086.6666666666667,,,
2002-05-13,934.0,900.0,904.0,934.0,64500.0,934.0,1019.6,983.25,1010.8,1084.4666666666667,,,
2002-05-22,928.0,900.0,912.0,926.0,85500.0,926.0,972.8,980.75,991.6,1062.6666666666667,,,
2002-07-02,750.0,720.0,738.0,746.0,7000.0,746.0,910.0,966.5,953.8,1040.8666666666666,,,
2002-07-05,778.0,750.0,760.0,770.0,27500.0,770.0,859.2,942.5,936.2,1014.5333333333333,,,
2002-07-15,790.0,724.0,774.0,784.0,25000.0,784.0,832.0,895.5,928.6,995.6666666666666,,,
2002-07-30,754.0,700.0,700.0,750.0,18500.0,750.0,795.2,856.75,907.4,979.3333333333334,,,
2002-10-21,664.0,652.0,658.0,664.0,20500.0,664.0,742.8,811.75,857.8,967.6,,,
2002-12-11,664.0,646.0,660.0,656.0,40000.0,656.0,724.8,778.75,817.4,956.4666666666667,,,
2002-12-12,660.0,642.0,650.0,654.0,10500.0,654.0,701.6,743.75,780.4,953.6,,,
2002-12-20,658.0,636.0,652.0,640.0,5500.0,640.0,672.8,708.0,752.4,942.3333333333334,,,
2002-12-23,640.0,614.0,640.0,614.0,8500.0,614.0,645.6,691.5,720.4,933.8,,,
2003-03-11,528.0,480.0,512.0,480.0,16000.0,480.0,608.8,655.25,675.8,922.8666666666667,,,
2003-03-24,548.0,506.0,518.0,536.0,37000.0,536.0,584.8,624.25,654.8,913.8,965.6444444444444,,
2003-05-06,492.0,484.0,486.0,488.0,41000.0,488.0,551.6,591.5,626.6,903.4666666666667,956.9333333333333,,
2003-05-19,516.0,492.0,500.0,516.0,9500.0,516.0,526.8,573.0,599.8,876.0,950.1777777777778,,
2003-06-17,496.0,472.0,480.0,482.0,61500.0,482.0,500.4,551.25,573.0,856.8,938.6666666666666,,
2003-06-19,516.0,480.0,484.0,514.0,108000.0,514.0,507.2,533.75,558.0,842.9333333333333,914.9777777777778,,
2003-06-23,540.0,480.0,484.0,540.0,87000.0,540.0,508.0,521.25,546.4,822.6666666666666,895.8666666666667,,
2003-07-07,518.0,464.0,472.0,518.0,108000.0,518.0,514.0,509.25,532.8,799.9333333333333,872.7111111111111,,
2004-01-19,398.0,388.0,390.0,398.0,19000.0,398.0,490.4,499.0,508.6,765.0,851.5555555555555,,
2004-01-20,395.0,380.0,386.5,390.0,38000.0,390.0,472.0,480.75,486.2,739.1333333333333,832.6666666666666,,
2004-05-11,324.5,324.5,324.5,324.5,2000.0,324.5,434.1,460.3125,470.65,712.6833333333333,817.3,,
2004-05-25,315.0,290.5,303.5,314.0,22000.0,314.0,388.9,435.0625,448.45,685.6833333333333,802.2777777777778,,
2004-06-02,286.5,286.0,286.0,286.5,5000.0,286.5,342.6,410.625,428.3,663.7,792.2,,
2004-06-09,312.5,285.0,287.0,312.5,3000.0,312.5,325.5,385.4375,407.95,645.45,777.4111111111112,,
2004-06-22,294.0,262.0,293.0,293.5,56000.0,293.5,306.2,354.625,389.1,623.1666666666666,764.6,,
2004-08-10,260.5,245.0,253.0,245.0,4000.0,245.0,290.3,320.5,362.2,592.6666666666666,752.0888888888888,,
2004-09-01,262.0,250.5,262.0,260.0,570.0,260.0,279.5,303.25,334.2,566.0,739.9111111111112,822.2666666666667,
2004-12-17,294.0,275.0,293.0,292.5,3000.0,292.5,280.7,291.0625,311.65,541.6166666666667,728.6777777777778,812.475,
2005-01-13,299.5,278.0,299.5,278.0,320.0,278.0,273.8,285.25,299.65,520.2166666666667,705.0777777777778,803.4416666666667,
2005-01-27,308.0,300.0,300.0,308.0,25000.0,308.0,276.7,284.5,291.45,499.35,688.4111111111112,791.9083333333333,
2005-02-11,318.0,315.0,318.0,315.0,310.0,315.0,290.7,288.0625,290.5,478.98333333333335,674.7444444444444,770.825,
2005-04-21,365.0,316.0,316.0,330.5,15000.0,330.5,304.8,290.3125,292.15,465.1333333333333,656.5777777777778,753.0,
2005-06-09,400.0,386.0,400.0,399.0,28000.0,399.0,326.1,303.5,303.4,452.76666666666665,638.7777777777778,733.65,
2005-07-05,377.5,370.0,370.0,377.5,3000.0,377.5,346.0,320.0625,309.9,439.21666666666664,615.0333333333333,717.4416666666667,
2005-07-18,380.0,370.0,370.5,380.0,31000.0,380.0,360.4,335.0625,318.55,426.8833333333333,597.5666666666667,703.1083333333333,
2005-07-22,375.0,370.0,375.0,375.0,9000.0,375.0,372.4,345.375,331.55,417.25,581.0555555555555,692.425,
2005-09-14,363.0,340.0,362.5,351.0,12000.0,351.0,376.5,354.5,340.65,407.0833333333333,563.8777777777777,681.775,
2005-10-19,362.0,345.0,355.0,359.0,12000.0,359.0,368.5,360.875,347.3,397.25,550.8333333333334,675.425,
2005-11-03,420.5,365.0,371.0,410.0,2849000.0,410.0,375.0,372.75,360.5,389.5833333333333,540.8333333333334,665.9583333333334,
2006-01-12,535.0,500.0,535.0,519.0,50000.0,519.0,402.8,396.3125,381.6,386.4166666666667,530.9888888888889,660.1083333333333,
2006-02-14,550.0,500.0,500.0,508.0,46000.0,508.0,429.4,409.9375,400.9,387.35,516.5,655.1083333333333,
2006-02-21,549.0,479.5,523.0,518.0,6000.0,518.0,462.8,427.5,419.65,386.75,504.4555555555556,650.275,
2006-04-19,470.0,445.0,459.0,460.5,13000.0,460.5,483.1,437.5625,425.8,385.8333333333333,491.93333333333334,644.65,
2006-06-19,460.0,432.0,432.0,459.5,180.0,459.5,493.0,448.125,434.0,383.95,481.7,629.975,
2006-07-13,495.0,435.5,474.0,435.5,1000.0,435.5,476.3,458.6875,439.55,382.4,470.6222222222222,619.6,
2006-10-23,399.0,375.0,399.0,380.0,1000.0,380.0,450.7,461.3125,440.05,377.93333333333334,458.4888888888889,610.4333333333333,
2006-10-26,368.0,350.0,353.5,350.0,74000.0,350.0,417.1,453.8125,439.95,371.6,449.68888888888887,597.1333333333333,
2006-11-16,360.5,349.0,349.5,349.0,12000.0,349.0,394.8,432.5625,438.95,365.96666666666664,440.3333333333333,582.95,
2006-12-04,389.5,380.0,389.5,383.0,63000.0,383.0,379.5,416.9375,436.25,365.46666666666664,431.4222222222222,565.2333333333333,
2007-02-20,469.0,437.0,437.0,451.0,136000.0,451.0,382.6,408.5625,429.45,367.5,424.77777777777777,553.3166666666667,
2007-03-06,499.0,480.0,499.0,490.0,50000.0,490.0,404.6,412.25,427.65,373.01666666666665,420.9111111111111,542.85,
