Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-02-11,1120.0,925.0,925.0,970.0,7000.0,7.966938495635986,,,,,,,
2000-02-14,1000.0,870.0,870.0,989.0,950.0,8.122992515563965,,,,,,,
2000-02-15,986.0,900.0,903.0,900.0,1000.0,7.392005443572998,,,,,,,
2000-02-16,896.0,792.0,792.0,890.0,3000.0,7.309872627258301,,,,,,,
2000-02-17,908.0,785.0,785.0,908.0,20.0,7.457712650299072,931.4,,,,,,
2000-02-18,956.0,800.0,803.0,810.0,5000.0,6.652805805206299,899.4,,,,,,
2000-02-21,907.0,810.0,810.0,899.0,19000.0,7.383791923522949,881.4,,,,,,
2000-02-22,900.0,899.0,900.0,899.0,140.0,7.383791923522949,881.2,908.125,,,,,
2000-02-23,900.0,804.0,804.0,900.0,1000.0,7.392005443572998,883.2,899.375,,,,,
2000-02-24,956.0,814.0,880.0,917.0,7000.0,7.531632900238037,885.0,890.375,908.2,,,,
2000-02-25,973.0,831.0,970.0,973.0,6000.0,7.991581916809082,917.6,899.5,908.5,,,,
2000-02-28,1080.0,866.0,1000.0,1070.0,27000.0,8.788273811340332,951.8,922.0,916.6,,,,
2000-02-29,1195.0,1070.0,1195.0,1110.0,19000.0,9.11680793762207,994.0,947.25,937.6,,,,
2000-03-01,1110.0,1110.0,1110.0,1110.0,0.0,9.11680793762207,1036.0,984.75,959.6,,,,
2000-03-02,1240.0,1140.0,1240.0,1240.0,36000.0,10.184540748596191,1100.6,1027.375,992.8,,,,
2000-03-03,1385.0,1110.0,1385.0,1230.0,8000.0,10.102407455444336,1152.0,1068.75,1034.8,,,,
2000-03-06,1290.0,1085.0,1085.0,1270.0,26000.0,10.43094253540039,1192.0,1115.0,1071.9,,,,
2000-03-07,1420.0,1200.0,1380.0,1400.0,17000.0,11.498676300048828,1250.0,1175.375,1122.0,,,,
2000-03-08,1380.0,1235.0,1330.0,1370.0,12000.0,11.252276420593262,1302.0,1225.0,1169.0,,,,
2000-03-09,1530.0,1225.0,1300.0,1530.0,40000.0,12.566410064697266,1360.0,1282.5,1230.3,,,,
2000-03-10,1550.0,1380.0,1500.0,1550.0,32000.0,12.730676651000977,1424.0,1337.5,1288.0,,,,
2000-03-13,1600.0,1365.0,1550.0,1550.0,77000.0,12.730676651000977,1480.0,1392.5,1336.0,,,,
2000-03-14,1735.0,1470.0,1470.0,1735.0,145000.0,14.250144958496094,1547.0,1454.375,1398.5,,,,
2000-03-15,1940.0,1805.0,1940.0,1940.0,209000.0,15.933876991271973,1661.0,1543.125,1481.5,,,,
2000-03-16,2080.0,1710.0,1810.0,1810.0,124000.0,14.866144180297852,1717.0,1610.625,1538.5,,,,
2000-03-17,1750.0,1595.0,1595.0,1595.0,12000.0,13.100275993347168,1726.0,1635.0,1575.0,,,,
2000-03-20,1405.0,1405.0,1405.0,1405.0,6000.0,11.539742469787598,1697.0,1639.375,1588.5,,,,
2000-03-21,1240.0,1240.0,1240.0,1240.0,1000.0,10.184540748596191,1598.0,1603.125,1572.5,,,,
2000-03-22,1385.0,1100.0,1100.0,1385.0,88000.0,11.375475883483887,1487.0,1582.5,1574.0,,,,
2000-03-23,1550.0,1550.0,1550.0,1550.0,38000.0,12.730676651000977,1435.0,1582.5,1576.0,1238.1666666666667,,,
2000-03-24,1735.0,1730.0,1735.0,1735.0,135000.0,14.250144958496094,1463.0,1582.5,1594.5,1263.6666666666667,,,
