Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-05-01,6350.0,6350.0,6350.0,6350.0,0.0,6350.0,,,,,,,
2000-05-05,6475.0,6475.0,6475.0,6475.0,0.0,6475.0,,,,,,,
2008-03-06,1165.0,1115.0,1165.0,1115.0,154378.0,1115.0,,,,,,,
2008-03-28,1090.0,1065.0,1090.0,1065.0,137546.0,1065.0,,,,,,,
2008-04-07,1080.0,1045.0,1060.0,1060.0,86430.0,1060.0,3213.0,,,,,,
2008-04-11,1070.0,1045.0,1045.0,1050.0,103765.0,1050.0,2153.0,,,,,,
2008-05-07,1180.0,1115.0,1180.0,1125.0,276537.0,1125.0,1083.0,,,,,,
2008-05-15,1140.0,1105.0,1120.0,1115.0,239600.0,1115.0,1083.0,2419.375,,,,,
2008-07-24,1120.0,1090.0,1090.0,1105.0,175137.0,1105.0,1091.0,1763.75,,,,,
2008-08-18,1095.0,1025.0,1060.0,1035.0,115083.0,1035.0,1086.0,1083.75,2149.5,,,,
2008-10-02,890.0,835.0,840.0,860.0,39724.0,860.0,1048.0,1051.875,1600.5,,,,
2008-10-22,665.0,580.0,615.0,625.0,64378.0,625.0,948.0,996.875,1015.5,,,,
2008-10-27,540.0,445.0,520.0,445.0,285468.0,445.0,814.0,920.0,948.5,,,,
2008-10-29,515.0,450.0,465.0,455.0,367126.0,455.0,684.0,845.625,887.5,,,,
2008-11-07,715.0,570.0,570.0,705.0,37951.0,705.0,618.0,793.125,852.0,,,,
2008-12-02,610.0,535.0,580.0,610.0,31471.0,610.0,568.0,730.0,808.0,,,,
2009-01-07,715.0,625.0,680.0,715.0,115976.0,715.0,586.0,681.25,767.0,,,,
2009-02-02,700.0,665.0,675.0,665.0,177260.0,665.0,630.0,635.0,722.0,,,,
2009-02-18,675.0,635.0,635.0,665.0,86014.0,665.0,672.0,610.625,678.0,,,,
2009-08-06,865.0,825.0,860.0,835.0,61252.0,835.0,698.0,636.875,658.0,,,,
2009-09-07,960.0,925.0,945.0,955.0,50631.0,955.0,767.0,700.625,667.5,,,,
2009-09-23,1000.0,960.0,1000.0,970.0,63012.0,970.0,818.0,765.0,702.0,,,,
2009-10-13,945.0,880.0,895.0,915.0,5599.0,915.0,868.0,791.25,749.0,,,,
2009-10-30,865.0,810.0,815.0,860.0,40259.0,860.0,907.0,822.5,789.5,,,,
2009-12-07,860.0,815.0,855.0,830.0,46168.0,830.0,906.0,836.875,802.0,,,,
2010-03-04,780.0,760.0,780.0,780.0,23808.0,780.0,871.0,851.25,819.0,,,,
2010-04-27,895.0,865.0,890.0,880.0,83222.0,880.0,853.0,878.125,835.5,,,,
2010-05-11,840.0,800.0,840.0,825.0,16348.0,825.0,835.0,876.875,851.5,,,,
2010-05-17,805.0,770.0,805.0,770.0,23301.0,770.0,817.0,853.75,862.0,,,,
2010-06-04,780.0,740.0,780.0,770.0,4810.0,770.0,805.0,828.75,855.5,1221.0,,,
2010-06-16,770.0,730.0,745.0,770.0,26642.0,770.0,803.0,810.625,837.0,1035.0,,,
2010-06-18,780.0,740.0,740.0,780.0,3487.0,780.0,783.0,800.625,818.0,845.1666666666666,,,
2010-08-23,730.0,710.0,720.0,725.0,23070.0,725.0,763.0,787.5,799.0,832.1666666666666,,,
2010-09-03,735.0,725.0,725.0,735.0,18194.0,735.0,756.0,781.875,786.5,821.1666666666666,,,
2010-09-10,785.0,760.0,770.0,780.0,13492.0,780.0,758.0,769.375,781.5,811.8333333333334,,,
2010-10-08,766.0,745.0,745.0,760.0,46681.0,760.0,756.0,761.25,779.5,802.1666666666666,,,
2010-10-28,752.0,740.0,745.0,748.0,28184.0,748.0,749.6,758.5,766.3,789.6,,,
2010-11-16,766.0,735.0,763.0,756.0,34521.0,756.0,755.8,756.75,759.4,777.6333333333333,,,
