Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2015-11-12,37450.0,30450.0,33400.0,33000.0,739414.0,33000.0,,,,,,,
2015-11-13,40300.0,32650.0,36500.0,34250.0,971707.0,34250.0,,,,,,,
2015-11-16,37250.0,32400.0,33400.0,33800.0,133078.0,33800.0,,,,,,,
2015-11-17,35450.0,32400.0,35200.0,34500.0,65040.0,34500.0,,,,,,,
2015-11-18,34750.0,32700.0,34200.0,32800.0,29620.0,32800.0,33670.0,,,,,,
2015-11-19,33700.0,32000.0,33150.0,32200.0,26955.0,32200.0,33510.0,,,,,,
2015-11-20,32750.0,30400.0,31900.0,30400.0,41777.0,30400.0,32740.0,,,,,,
2015-11-23,31550.0,30300.0,30600.0,30650.0,20881.0,30650.0,32110.0,32700.0,,,,,
2015-11-24,31400.0,29600.0,30650.0,30800.0,28200.0,30800.0,31370.0,32425.0,,,,,
2015-11-25,34150.0,31000.0,31200.0,34000.0,55993.0,34000.0,31610.0,32393.75,32640.0,,,,
2015-11-26,37200.0,33200.0,34000.0,36650.0,64529.0,36650.0,32500.0,32750.0,33005.0,,,,
2015-11-27,37700.0,35500.0,35500.0,36700.0,44089.0,36700.0,33760.0,33025.0,33250.0,,,,
2015-11-30,36700.0,34350.0,36250.0,35900.0,20961.0,35900.0,34810.0,33412.5,33460.0,,,,
2015-12-01,36450.0,34550.0,36450.0,34600.0,17365.0,34600.0,35570.0,33712.5,33470.0,,,,
2015-12-02,34900.0,33800.0,34600.0,34700.0,13192.0,34700.0,35710.0,34250.0,33660.0,,,,
2015-12-03,35250.0,32800.0,34750.0,35150.0,15704.0,35150.0,35410.0,34812.5,33955.0,,,,
2015-12-04,40750.0,34250.0,34300.0,40750.0,159344.0,40750.0,36220.0,36056.25,34990.0,,,,
2015-12-07,42950.0,38650.0,42100.0,39500.0,78759.0,39500.0,36940.0,36743.75,35875.0,,,,
2015-12-08,47750.0,39250.0,40300.0,43550.0,274151.0,43550.0,38730.0,37606.25,37150.0,,,,
2015-12-09,55000.0,43500.0,43500.0,50000.0,267858.0,50000.0,41790.0,39268.75,38750.0,,,,
2015-12-10,52500.0,48000.0,51200.0,49800.0,111302.0,49800.0,44720.0,41006.25,40065.0,,,,
2015-12-11,56000.0,50500.0,50500.0,52200.0,154439.0,52200.0,47010.0,43206.25,41615.0,,,,
2015-12-14,54800.0,50500.0,50500.0,53300.0,67947.0,53300.0,49770.0,45531.25,43355.0,,,,
2015-12-15,58000.0,52000.0,53400.0,56700.0,153085.0,56700.0,52400.0,48225.0,45565.0,,,,
2015-12-16,57300.0,53700.0,56300.0,54500.0,45420.0,54500.0,53300.0,49943.75,47545.0,,,,
2015-12-17,54800.0,51700.0,54800.0,53400.0,57819.0,53400.0,54020.0,51681.25,49370.0,,,,
2015-12-18,57000.0,52000.0,52800.0,55500.0,50737.0,55500.0,54680.0,53175.0,50845.0,,,,
2015-12-21,55300.0,52500.0,54500.0,52500.0,22637.0,52500.0,54520.0,53487.5,52145.0,,,,
2015-12-22,53000.0,49500.0,52800.0,50000.0,43456.0,50000.0,53180.0,53512.5,52790.0,,,,
2015-12-23,54000.0,49550.0,50300.0,51500.0,42903.0,51500.0,52580.0,53425.0,52940.0,41443.333333333336,,,
2015-12-24,51600.0,49650.0,51600.0,50000.0,30654.0,50000.0,51900.0,53012.5,52960.0,42010.0,,,
2015-12-28,52800.0,50300.0,50300.0,50600.0,21260.0,50600.0,50920.0,52250.0,52800.0,42555.0,,,
2015-12-29,54000.0,50500.0,50600.0,52700.0,26298.0,52700.0,50960.0,52025.0,52740.0,43185.0,,,
2015-12-30,63000.0,52600.0,52600.0,58000.0,64479.0,58000.0,52560.0,52600.0,52870.0,43968.333333333336,,,
2016-01-04,59500.0,55600.0,57100.0,57400.0,40779.0,57400.0,53740.0,52837.5,53160.0,44788.333333333336,,,
2016-01-05,68000.0,57600.0,58400.0,62400.0,130751.0,62400.0,56220.0,54075.0,54060.0,45795.0,,,
2016-01-06,66200.0,61500.0,62200.0,66000.0,61782.0,66000.0,59300.0,56075.0,55110.0,46981.666666666664,,,
2016-01-07,66000.0,62300.0,65900.0,64700.0,44507.0,64700.0,61700.0,57725.0,56330.0,48116.666666666664,,,
2016-01-08,72000.0,62600.0,63900.0,70500.0,117472.0,70500.0,64200.0,60287.5,58380.0,49440.0,,,
2016-01-11,74200.0,67100.0,71900.0,70200.0,55527.0,70200.0,66760.0,62737.5,60250.0,50646.666666666664,,,
2016-01-12,69800.0,65400.0,69800.0,68400.0,52617.0,68400.0,67960.0,64700.0,62090.0,51705.0,,,
2016-01-13,70000.0,66500.0,68400.0,68200.0,36744.0,68200.0,68400.0,65975.0,63850.0,52755.0,,,
