Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-01-04,17100.0,15500.0,15500.0,17100.0,1854800.0,6963.802734375,,,,,,,
2000-01-05,18000.0,16200.0,16400.0,17500.0,3351800.0,7126.70068359375,,,,,,,
2000-01-06,17800.0,15700.0,17700.0,15750.0,1397900.0,6414.029296875,,,,,,,
2000-01-07,17100.0,16000.0,16500.0,16400.0,1963200.0,6678.73486328125,,,,,,,
2000-01-10,17300.0,16500.0,16700.0,16550.0,1356500.0,6739.8212890625,16660.0,,,,,,
2000-01-11,16800.0,15800.0,16300.0,16200.0,1168400.0,6597.28857421875,16480.0,,,,,,
2000-01-12,16600.0,15500.0,15650.0,15600.0,1328000.0,6352.94384765625,16100.0,,,,,,
2000-01-13,15900.0,15300.0,15800.0,15900.0,999700.0,6475.11669921875,16130.0,16375.0,,,,,
2000-01-14,16100.0,15200.0,16000.0,15300.0,737500.0,6230.771484375,15910.0,16150.0,,,,,
2000-01-17,15750.0,15100.0,15300.0,15400.0,956700.0,6271.49609375,15680.0,15887.5,16170.0,,,,
2000-01-18,15500.0,14800.0,15200.0,15000.0,652800.0,6108.60107421875,15440.0,15793.75,15960.0,,,,
2000-01-19,14800.0,13800.0,14800.0,14000.0,955800.0,5701.359375,15120.0,15493.75,15610.0,,,,
2000-01-20,14450.0,13100.0,13500.0,14300.0,1040000.0,5823.53173828125,14800.0,15212.5,15465.0,,,,
2000-01-21,14750.0,13700.0,13950.0,14000.0,857500.0,5701.359375,14540.0,14937.5,15225.0,,,,
2000-01-24,14400.0,13600.0,13600.0,14000.0,628900.0,5701.359375,14260.0,14737.5,14970.0,,,,
2000-01-25,14500.0,13600.0,13900.0,13950.0,806400.0,5680.9970703125,14050.0,14493.75,14745.0,,,,
2000-01-26,15300.0,13900.0,14250.0,14700.0,2057100.0,5986.42822265625,14190.0,14418.75,14655.0,,,,
2000-01-27,16700.0,14800.0,15200.0,16200.0,3697900.0,6597.28857421875,14570.0,14518.75,14685.0,,,,
2000-01-28,16700.0,15700.0,16200.0,16150.0,3066400.0,6576.9267578125,15000.0,14662.5,14770.0,,,,
2000-01-31,17200.0,15650.0,15650.0,16750.0,2985000.0,6821.2705078125,15550.0,15006.25,14905.0,,,,
2000-02-01,17400.0,16350.0,17150.0,16850.0,1908400.0,6861.9951171875,16130.0,15325.0,15090.0,,,,
2000-02-02,18300.0,16700.0,17000.0,17550.0,3146500.0,7147.0625,16700.0,15768.75,15445.0,,,,
2000-02-03,17850.0,17200.0,17650.0,17750.0,1682200.0,7228.51220703125,17010.0,16237.5,15790.0,,,,
2000-02-04,17750.0,17750.0,17750.0,17750.0,0.0,7228.51220703125,17330.0,16712.5,16165.0,,,,
2000-02-07,18350.0,17300.0,17650.0,17500.0,1643000.0,7126.70068359375,17480.0,17062.5,16515.0,,,,
2000-02-08,18650.0,17500.0,17500.0,18000.0,1990100.0,7330.3193359375,17710.0,17287.5,16920.0,,,,
2000-02-09,18500.0,17300.0,18100.0,17900.0,1920700.0,7289.59619140625,17780.0,17506.25,17240.0,,,,
2000-02-10,18500.0,17500.0,17700.0,17850.0,1686900.0,7269.23486328125,17800.0,17643.75,17405.0,,,,
2000-02-11,18900.0,17550.0,18500.0,18200.0,1987200.0,7411.76904296875,17890.0,17812.5,17610.0,,,,
2000-02-14,18450.0,17550.0,17800.0,17600.0,1215500.0,7167.42333984375,17910.0,17818.75,17695.0,16256.666666666666,,,
2000-02-15,18500.0,17600.0,18000.0,17650.0,1570900.0,7187.7841796875,17840.0,17806.25,17775.0,16275.0,,,
2000-02-16,18300.0,16300.0,18000.0,17200.0,1551500.0,7004.52734375,17700.0,17737.5,17740.0,16265.0,,,
2000-02-17,17300.0,16500.0,16950.0,17100.0,1415700.0,6963.802734375,17550.0,17687.5,17675.0,16310.0,,,
2000-02-18,16900.0,16250.0,16900.0,16300.0,1339800.0,6638.01318359375,17170.0,17475.0,17530.0,16306.666666666666,,,
2000-02-21,16300.0,15100.0,15550.0,16050.0,1293500.0,6536.2021484375,16860.0,17243.75,17385.0,16290.0,,,
2000-02-22,16700.0,15600.0,16000.0,15700.0,1328400.0,6393.66748046875,16470.0,16975.0,17155.0,16273.333333333334,,,
2000-02-23,18050.0,16300.0,16600.0,18000.0,3241000.0,7330.3193359375,16630.0,16950.0,17165.0,16353.333333333334,,,
2000-02-24,17900.0,16500.0,17300.0,16950.0,2259900.0,6902.71826171875,16600.0,16868.75,17075.0,16388.333333333332,,,
2000-02-25,17650.0,16500.0,16700.0,17250.0,1618400.0,7024.88916015625,16790.0,16818.75,16980.0,16453.333333333332,,,
2000-02-28,18350.0,16250.0,16700.0,17600.0,1286400.0,7167.42333984375,17100.0,16868.75,16980.0,16526.666666666668,,,
2000-02-29,18300.0,17000.0,18000.0,17200.0,1013600.0,7004.52734375,17400.0,16881.25,16935.0,16600.0,,,
2000-03-01,17200.0,17200.0,17200.0,17200.0,0.0,7004.52734375,17240.0,16993.75,16935.0,16706.666666666668,,,
2000-03-02,17550.0,16450.0,16500.0,17300.0,1679900.0,7045.25146484375,17310.0,17150.0,16955.0,16806.666666666668,,,
2000-03-03,17400.0,16450.0,17400.0,17400.0,982300.0,7085.97705078125,17340.0,17362.5,17065.0,16920.0,,,
2000-03-06,18450.0,17000.0,17200.0,17950.0,1715200.0,7309.9580078125,17410.0,17356.25,17255.0,17051.666666666668,16545.555555555555,,
2000-03-07,18700.0,17200.0,17650.0,18350.0,2062500.0,7472.8544921875,17640.0,17531.25,17520.0,17198.333333333332,16573.333333333332,,
2000-03-08,19200.0,17700.0,17900.0,18050.0,1715400.0,7350.6826171875,17810.0,17631.25,17525.0,17310.0,16585.555555555555,,
2000-03-09,18000.0,17100.0,17800.0,17100.0,1777400.0,6963.802734375,17770.0,17568.75,17540.0,17340.0,16615.555555555555,,
2000-03-10,17700.0,16650.0,16800.0,16750.0,1424400.0,6821.2705078125,17640.0,17512.5,17490.0,17360.0,16623.333333333332,,
2000-03-13,17150.0,15700.0,17100.0,15700.0,1313100.0,6393.66748046875,17190.0,17325.0,17300.0,17325.0,16604.444444444445,,
2000-03-14,16300.0,15100.0,15100.0,15400.0,1040800.0,6271.49609375,16600.0,17087.5,17120.0,17276.666666666668,16586.666666666668,,
2000-03-15,15950.0,15000.0,15100.0,15000.0,835800.0,6108.60107421875,15990.0,16787.5,16900.0,17191.666666666668,16573.333333333332,,
2000-03-16,15800.0,14500.0,15500.0,14900.0,805500.0,6067.87646484375,15550.0,16406.25,16660.0,17096.666666666668,16551.11111111111,,
2000-03-17,16800.0,15300.0,15600.0,16300.0,2186500.0,6638.01318359375,15460.0,16150.0,16550.0,17048.333333333332,16573.333333333332,,
2000-03-20,16600.0,15850.0,16300.0,16100.0,799100.0,6556.5634765625,15540.0,15906.25,16365.0,17001.666666666668,16588.88888888889,,
2000-03-21,16500.0,15600.0,16300.0,15700.0,612200.0,6393.66748046875,15600.0,15731.25,16100.0,16925.0,16604.444444444445,,
2000-03-22,16850.0,15950.0,16200.0,16600.0,976100.0,6760.185546875,15920.0,15712.5,15955.0,16881.666666666668,16662.222222222223,,
2000-03-23,17150.0,16250.0,16300.0,16700.0,903500.0,6800.908203125,16280.0,15837.5,15915.0,16843.333333333332,16715.555555555555,,
2000-03-24,18300.0,16500.0,17050.0,18000.0,1274300.0,7330.3193359375,16620.0,16162.5,16040.0,16836.666666666668,16804.444444444445,,
2000-03-27,19700.0,17700.0,17900.0,19500.0,3047100.0,7941.1806640625,17300.0,16725.0,16420.0,16900.0,16926.666666666668,16578.333333333332,
2000-03-28,19350.0,18000.0,19000.0,18600.0,1681100.0,7574.6640625,17880.0,17187.5,16740.0,16931.666666666668,17030.0,16603.333333333332,
2000-03-29,18600.0,16800.0,18500.0,17050.0,1647800.0,6943.44189453125,17970.0,17281.25,16945.0,16926.666666666668,17082.222222222223,16595.833333333332,
2000-03-30,15500.0,14500.0,14500.0,14500.0,1734800.0,6474.59033203125,17530.0,17081.25,16905.0,16840.0,17044.444444444445,16575.0,
2000-03-31,14700.0,13350.0,14250.0,13500.0,1566300.0,6028.0693359375,16630.0,16806.25,16625.0,16746.666666666668,16985.555555555555,16526.666666666668,
2000-04-03,13650.0,11500.0,13400.0,11500.0,1544700.0,5135.021484375,15030.0,16168.75,16165.0,16595.0,16868.88888888889,16442.5,
2000-04-04,12150.0,10850.0,11800.0,12000.0,2070800.0,5358.283203125,13710.0,15581.25,15795.0,16471.666666666668,16761.11111111111,16372.5,
2000-04-05,12000.0,12000.0,12000.0,12000.0,0.0,5358.283203125,12700.0,14831.25,15335.0,16271.666666666666,16637.777777777777,16312.5,
2000-04-06,11650.0,10850.0,11300.0,10850.0,1063200.0,4844.78125,11970.0,13750.0,14750.0,16068.333333333334,16484.444444444445,16228.333333333334,
2000-04-07,11400.0,10550.0,10900.0,11000.0,1391900.0,4911.75927734375,11470.0,12800.0,14050.0,15860.0,16334.444444444445,16156.666666666666,
2000-04-10,12250.0,10450.0,11000.0,11400.0,2843500.0,5090.36962890625,11450.0,12093.75,13240.0,15653.333333333334,16198.888888888889,16090.0,
2000-04-11,11950.0,10900.0,11700.0,10900.0,1370400.0,4867.107421875,11230.0,11643.75,12470.0,15443.333333333334,16041.111111111111,16021.666666666666,
2000-04-12,11800.0,10800.0,11000.0,11200.0,1760700.0,5001.06494140625,11070.0,11356.25,11885.0,15243.333333333334,15892.222222222223,15975.0,
