Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2005-02-01,12500.0,10600.0,12000.0,10600.0,337600.0,7101.34716796875,,,,,,,
2005-02-02,9800.0,9350.0,9350.0,9350.0,414100.0,6263.92529296875,,,,,,,
2005-02-03,9190.0,8470.0,9000.0,8600.0,270100.0,5761.47021484375,,,,,,,
2005-02-04,9080.0,8600.0,8630.0,8800.0,141300.0,5895.45849609375,,,,,,,
2005-02-07,9350.0,8820.0,8820.0,9010.0,189700.0,6036.1455078125,9272.0,,,,,,
2005-02-11,10050.0,9050.0,9190.0,10050.0,285000.0,6732.88134765625,9162.0,,,,,,
2005-02-14,10500.0,9740.0,10350.0,10050.0,237000.0,6732.88134765625,9302.0,,,,,,
2005-02-15,11250.0,9760.0,10200.0,11000.0,297800.0,7369.32275390625,9782.0,9682.5,,,,,
2005-02-16,11500.0,10600.0,11200.0,11200.0,157700.0,7503.3125,10262.0,9757.5,,,,,
2005-02-17,11650.0,10900.0,11400.0,11100.0,132900.0,7436.31640625,10680.0,9976.25,9976.0,,,,
2005-02-18,12100.0,10650.0,11250.0,10750.0,183100.0,7201.83935546875,10820.0,10245.0,9991.0,,,,
2005-02-21,10800.0,10000.0,10600.0,10150.0,56000.0,6799.875,10840.0,10413.75,10071.0,,,,
2005-02-22,10350.0,9850.0,10200.0,9870.0,78800.0,6612.2919921875,10614.0,10521.25,10198.0,,,,
2005-02-23,9800.0,9470.0,9550.0,9500.0,32600.0,6364.41552734375,10274.0,10452.5,10268.0,,,,
2005-02-24,9870.0,9500.0,9550.0,9520.0,40400.0,6377.81396484375,9958.0,10386.25,10319.0,,,,
2005-02-25,9820.0,9120.0,9530.0,9120.0,69000.0,6109.8388671875,9632.0,10151.25,10226.0,,,,
2005-02-28,9320.0,8970.0,9230.0,9020.0,62900.0,6042.8447265625,9406.0,9878.75,10123.0,,,,
2005-03-02,9000.0,8100.0,8900.0,8450.0,601200.0,5660.9794921875,9122.0,9547.5,9868.0,,,,
2005-03-03,9460.0,8550.0,8700.0,9460.0,599900.0,6337.6181640625,9114.0,9386.25,9694.0,,,,
2005-03-04,9940.0,9250.0,9620.0,9400.0,353200.0,6297.4208984375,9090.0,9292.5,9524.0,,,,
2005-03-07,9510.0,8500.0,9500.0,8730.0,364900.0,5848.5625,9012.0,9150.0,9322.0,,,,
2005-03-08,8900.0,8030.0,8710.0,8350.0,247500.0,5593.98583984375,8878.0,9006.25,9142.0,,,,
2005-03-09,8690.0,8200.0,8210.0,8650.0,148800.0,5794.9677734375,8918.0,8897.5,9020.0,,,,
2005-03-10,9130.0,8510.0,8510.0,9050.0,309100.0,6062.94287109375,8836.0,8888.75,8975.0,,,,
2005-03-11,9750.0,9050.0,9100.0,9700.0,912200.0,6498.4033203125,8896.0,8973.75,8993.0,,,,
2005-03-14,10400.0,9660.0,9990.0,10150.0,461200.0,6799.875,9180.0,9186.25,9096.0,,,,
2005-03-15,10300.0,9820.0,10300.0,9860.0,192900.0,6605.59423828125,9482.0,9236.25,9180.0,,,,
2005-03-16,10400.0,9750.0,9810.0,9990.0,474200.0,6692.6845703125,9750.0,9310.0,9334.0,,,,
2005-03-17,9900.0,9410.0,9790.0,9500.0,221600.0,6364.41552734375,9840.0,9406.25,9338.0,,,,
2005-03-18,9380.0,8890.0,9250.0,9150.0,188500.0,6129.93701171875,9730.0,9506.25,9313.0,9604.333333333334,,,
2005-03-21,9150.0,8810.0,9020.0,8900.0,71000.0,5962.4521484375,9480.0,9537.5,9330.0,9547.666666666666,,,
2005-03-22,9080.0,8880.0,8920.0,8880.0,82000.0,5949.05322265625,9284.0,9516.25,9383.0,9532.0,,,
2005-03-23,8940.0,8560.0,8810.0,8600.0,121900.0,5761.47021484375,9006.0,9378.75,9378.0,9532.0,,,
2005-03-24,9080.0,8700.0,8860.0,8900.0,85700.0,5962.4521484375,8886.0,9222.5,9363.0,9535.333333333334,,,
2005-03-25,9400.0,8950.0,9000.0,9350.0,121400.0,6263.92529296875,8926.0,9158.75,9328.0,9546.666666666666,,,
2005-03-28,10750.0,10100.0,10300.0,10750.0,699100.0,7201.83935546875,9296.0,9253.75,9388.0,9570.0,,,
2005-03-29,11550.0,10650.0,11350.0,10650.0,1252700.0,7134.8447265625,9650.0,9397.5,9467.0,9590.0,,,
2005-03-30,11350.0,10250.0,10850.0,11200.0,1073000.0,7503.3125,10170.0,9653.75,9588.0,9596.666666666666,,,
2005-03-31,11400.0,9810.0,11350.0,10200.0,804300.0,6833.3720703125,10430.0,9816.25,9658.0,9563.333333333334,,,
2005-04-01,11700.0,10100.0,10200.0,11700.0,1702300.0,7838.28076171875,10900.0,10168.75,9913.0,9583.333333333334,,,
2005-04-04,12350.0,11500.0,12000.0,11800.0,1379200.0,7905.27294921875,11110.0,10568.75,10203.0,9618.333333333334,,,
2005-04-06,12150.0,11250.0,12000.0,12150.0,1039500.0,8139.7529296875,11410.0,10975.0,10530.0,9685.0,,,
