Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-01-04,3900.0,3800.0,3825.0,3900.0,12000.0,2718.806396484375,,,,,,,
2000-01-05,4300.0,4005.0,4155.0,4300.0,32400.0,2997.658203125,,,,,,,
2000-01-06,4150.0,4050.0,4150.0,4150.0,23600.0,2893.088623046875,,,,,,,
2000-01-07,4325.0,3875.0,3890.0,4325.0,24400.0,3015.087158203125,,,,,,,
2000-01-10,4150.0,4025.0,4025.0,4100.0,4400.0,2858.232421875,4155.0,,,,,,
2000-01-11,4150.0,4100.0,4150.0,4150.0,17400.0,2893.088623046875,4205.0,,,,,,
2000-01-12,4155.0,3600.0,3600.0,4155.0,16600.0,2896.57421875,4176.0,,,,,,
2000-01-13,4300.0,4000.0,4300.0,4050.0,12800.0,2823.375732421875,4156.0,4141.25,,,,,
2000-01-14,4150.0,4005.0,4005.0,4150.0,12200.0,2893.088623046875,4121.0,4172.5,,,,,
2000-01-17,4005.0,3850.0,4000.0,4000.0,15400.0,2788.519287109375,4101.0,4135.0,4128.0,,,,
2000-01-18,4050.0,3950.0,4050.0,3950.0,8200.0,2753.6630859375,4061.0,4110.0,4133.0,,,,
2000-01-19,4000.0,3850.0,3900.0,3950.0,19600.0,2753.6630859375,4020.0,4063.125,4098.0,,,,
2000-01-20,3925.0,3505.0,3925.0,3900.0,24400.0,2718.806396484375,3990.0,4038.125,4073.0,,,,
2000-01-21,4150.0,3850.0,3900.0,4005.0,17400.0,2792.005126953125,3961.0,4020.0,4041.0,,,,
2000-01-24,4000.0,3855.0,3855.0,3880.0,7400.0,2704.864013671875,3937.0,3985.625,4019.0,,,,
2000-01-25,3880.0,3650.0,3650.0,3775.0,6000.0,2631.6650390625,3902.0,3951.25,3981.5,,,,
2000-01-26,3900.0,3750.0,3900.0,3755.0,3800.0,2617.72265625,3863.0,3901.875,3941.5,,,,
2000-01-27,3800.0,3675.0,3675.0,3800.0,9000.0,2649.09326171875,3843.0,3876.875,3916.5,,,,
