Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-07-20,8400.0,6600.0,8400.0,6800.0,993500.0,6800.0,,,,,,,
2000-07-21,6800.0,5990.0,6500.0,5990.0,203700.0,5990.0,,,,,,,
2000-07-24,5580.0,5280.0,5580.0,5280.0,335000.0,5280.0,,,,,,,
2000-07-25,5880.0,4710.0,5280.0,5450.0,704900.0,5450.0,,,,,,,
2000-07-26,5790.0,4850.0,5630.0,5300.0,406100.0,5300.0,5764.0,,,,,,
2000-07-27,5930.0,5350.0,5350.0,5660.0,420100.0,5660.0,5536.0,,,,,,
2000-07-28,5650.0,5160.0,5400.0,5360.0,264000.0,5360.0,5410.0,,,,,,
2000-07-31,5580.0,5210.0,5400.0,5320.0,283800.0,5320.0,5418.0,5645.0,,,,,
2000-08-01,5630.0,5320.0,5320.0,5450.0,377700.0,5450.0,5418.0,5476.25,,,,,
2000-08-02,6100.0,5560.0,5600.0,6100.0,353500.0,6100.0,5578.0,5490.0,5671.0,,,,
2000-08-03,6790.0,6060.0,6790.0,6150.0,590900.0,6150.0,5676.0,5598.75,5606.0,,,,
2000-08-04,6290.0,5710.0,6000.0,5840.0,252600.0,5840.0,5772.0,5647.5,5591.0,,,,
2000-08-07,6000.0,5600.0,5750.0,5690.0,154900.0,5690.0,5846.0,5696.25,5632.0,,,,
2000-08-08,6040.0,5600.0,5690.0,5740.0,181600.0,5740.0,5904.0,5706.25,5661.0,,,,
2000-08-09,5800.0,5430.0,5620.0,5540.0,140200.0,5540.0,5792.0,5728.75,5685.0,,,,
2000-08-10,5600.0,5360.0,5590.0,5450.0,80600.0,5450.0,5652.0,5745.0,5664.0,,,,
2000-08-11,5800.0,5400.0,5500.0,5460.0,149400.0,5460.0,5576.0,5746.25,5674.0,,,,
2000-08-14,5760.0,5400.0,5400.0,5580.0,121200.0,5580.0,5554.0,5681.25,5700.0,,,,
2000-08-15,5580.0,5580.0,5580.0,5580.0,0.0,5580.0,5522.0,5610.0,5713.0,,,,
2000-08-16,5900.0,5500.0,5800.0,5580.0,110800.0,5580.0,5530.0,5577.5,5661.0,,,,
2000-08-17,5500.0,5180.0,5500.0,5350.0,104300.0,5350.0,5510.0,5535.0,5581.0,,,,
2000-08-18,5470.0,5170.0,5350.0,5360.0,146100.0,5360.0,5490.0,5487.5,5533.0,,,,
