Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2001-11-30,2010.0,2010.0,2010.0,2010.0,22300.0,2010.0,,,,,,,
2001-12-10,2170.0,1950.0,2110.0,2020.0,982100.0,2020.0,,,,,,,
2001-12-12,2150.0,2010.0,2120.0,2020.0,635700.0,2020.0,,,,,,,
2002-01-04,1560.0,1470.0,1510.0,1470.0,451200.0,1470.0,,,,,,,
2002-01-09,1750.0,1630.0,1630.0,1750.0,2971300.0,1750.0,1854.0,,,,,,
2002-01-11,1840.0,1670.0,1680.0,1790.0,1128800.0,1790.0,1810.0,,,,,,
2002-01-16,2000.0,1820.0,1840.0,1890.0,1540400.0,1890.0,1784.0,,,,,,
2002-01-24,1700.0,1620.0,1660.0,1620.0,598800.0,1620.0,1704.0,1821.25,,,,,
2002-01-25,1630.0,1530.0,1600.0,1550.0,618300.0,1550.0,1720.0,1763.75,,,,,
2002-01-28,1590.0,1530.0,1540.0,1560.0,512800.0,1560.0,1682.0,1706.25,1768.0,,,,
2002-01-30,1760.0,1630.0,1640.0,1640.0,825600.0,1640.0,1652.0,1658.75,1731.0,,,,
2002-02-05,1820.0,1670.0,1800.0,1730.0,809700.0,1730.0,1620.0,1691.25,1702.0,,,,
2002-02-15,1660.0,1590.0,1590.0,1600.0,790600.0,1600.0,1616.0,1672.5,1660.0,,,,
2002-02-19,1660.0,1600.0,1650.0,1630.0,504000.0,1630.0,1632.0,1652.5,1676.0,,,,
2002-02-28,1660.0,1620.0,1660.0,1630.0,457200.0,1630.0,1646.0,1620.0,1664.0,,,,
2002-03-12,2020.0,1850.0,1890.0,1900.0,2329100.0,1900.0,1698.0,1655.0,1675.0,,,,
2002-03-15,2110.0,1960.0,2070.0,1970.0,1851400.0,1970.0,1746.0,1707.5,1683.0,,,,
2002-03-27,2380.0,2220.0,2300.0,2270.0,1484100.0,2270.0,1880.0,1796.25,1748.0,,,,
2002-04-01,2210.0,1980.0,2180.0,1980.0,915600.0,1980.0,1950.0,1838.75,1791.0,,,,
2002-04-02,2090.0,1900.0,1980.0,2060.0,690100.0,2060.0,2036.0,1880.0,1841.0,,,,
2002-04-03,2300.0,2010.0,2030.0,2300.0,1801500.0,2300.0,2116.0,1967.5,1907.0,,,,
2002-04-04,2430.0,2260.0,2340.0,2390.0,2308700.0,2390.0,2200.0,2062.5,1973.0,,,,
2002-04-09,2520.0,2370.0,2480.0,2470.0,1086800.0,2470.0,2240.0,2167.5,2060.0,,,,
2002-04-10,2590.0,2180.0,2500.0,2180.0,2243500.0,2180.0,2280.0,2202.5,2115.0,,,,
2002-04-16,2410.0,2270.0,2370.0,2400.0,998700.0,2400.0,2348.0,2256.25,2192.0,,,,
2002-04-17,2460.0,2250.0,2350.0,2260.0,1386100.0,2260.0,2340.0,2255.0,2228.0,,,,
2002-04-19,2520.0,2350.0,2350.0,2360.0,2416900.0,2360.0,2334.0,2302.5,2267.0,,,,
2002-04-23,2210.0,2100.0,2180.0,2100.0,578700.0,2100.0,2260.0,2307.5,2250.0,,,,
2002-04-26,1940.0,1800.0,1820.0,1910.0,453100.0,1910.0,2206.0,2258.75,2243.0,,,,
2002-04-30,1840.0,1720.0,1740.0,1830.0,376700.0,1830.0,2092.0,2188.75,2220.0,1943.0,,,
2002-05-02,1900.0,1840.0,1850.0,1880.0,383800.0,1880.0,2016.0,2115.0,2178.0,1938.6666666666667,,,
2002-05-09,2020.0,1860.0,2010.0,1900.0,556900.0,1900.0,1924.0,2080.0,2129.0,1934.6666666666667,,,
2002-05-13,1960.0,1850.0,1850.0,1910.0,448700.0,1910.0,1886.0,2018.75,2073.0,1931.0,,,
2002-05-14,1960.0,1860.0,1920.0,1880.0,320900.0,1880.0,1880.0,1971.25,2043.0,1944.6666666666667,,,
2002-05-27,1920.0,1850.0,1880.0,1880.0,1094100.0,1880.0,1890.0,1911.25,1991.0,1949.0,,,
2002-05-29,1800.0,1710.0,1800.0,1710.0,374800.0,1710.0,1856.0,1862.5,1936.0,1946.3333333333333,,,
2002-06-10,1510.0,1450.0,1460.0,1490.0,153700.0,1490.0,1774.0,1810.0,1849.0,1933.0,,,
2002-06-11,1570.0,1480.0,1500.0,1540.0,251400.0,1540.0,1700.0,1773.75,1793.0,1930.3333333333333,,,
2002-06-14,1590.0,1530.0,1530.0,1570.0,130600.0,1570.0,1638.0,1735.0,1759.0,1931.0,,,
2002-06-18,1660.0,1590.0,1610.0,1610.0,418500.0,1610.0,1584.0,1698.75,1737.0,1932.6666666666667,,,
2002-06-19,1650.0,1490.0,1650.0,1490.0,293000.0,1490.0,1540.0,1646.25,1698.0,1927.6666666666667,,,
2002-07-09,1770.0,1670.0,1730.0,1730.0,638800.0,1730.0,1588.0,1627.5,1681.0,1927.6666666666667,,,
2002-07-12,1660.0,1580.0,1630.0,1610.0,487100.0,1610.0,1602.0,1593.75,1651.0,1928.0,,,
2002-07-18,1550.0,1490.0,1490.0,1500.0,312400.0,1500.0,1588.0,1567.5,1613.0,1923.6666666666667,,,
2002-08-06,1310.0,1260.0,1260.0,1290.0,111900.0,1290.0,1524.0,1542.5,1554.0,1912.3333333333333,1850.6666666666667,,
2002-08-07,1390.0,1300.0,1330.0,1370.0,386700.0,1370.0,1500.0,1521.25,1520.0,1894.6666666666667,1836.4444444444443,,
2002-08-16,1460.0,1400.0,1440.0,1400.0,355500.0,1400.0,1434.0,1500.0,1511.0,1875.6666666666667,1822.6666666666667,,
