Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-01-04,38200.0,34200.0,36200.0,38200.0,100.0,38200.0,,,,,,,
2000-01-05,38150.0,37800.0,38150.0,38000.0,100.0,38000.0,,,,,,,
2000-01-06,39450.0,38000.0,38000.0,39450.0,30.0,39450.0,,,,,,,
2000-01-07,39000.0,39000.0,39000.0,39000.0,0.0,39000.0,,,,,,,
2000-01-10,38850.0,38850.0,38850.0,38850.0,0.0,38850.0,38700.0,,,,,,
2000-01-11,38800.0,38000.0,38800.0,38000.0,100.0,38000.0,38660.0,,,,,,
2000-01-12,39900.0,35200.0,38000.0,39900.0,200.0,39900.0,39040.0,,,,,,
2000-01-13,39800.0,35100.0,35100.0,39800.0,40.0,39800.0,39110.0,38900.0,,,,,
2000-01-14,39650.0,39650.0,39650.0,39650.0,0.0,39650.0,39240.0,39081.25,,,,,
2000-01-17,42700.0,36150.0,39700.0,36150.0,30.0,36150.0,38700.0,38850.0,38700.0,,,,
2000-01-18,40850.0,34800.0,40850.0,40800.0,50.0,40800.0,39260.0,39018.75,38960.0,,,,
2000-01-19,39200.0,35100.0,36100.0,37500.0,100.0,37500.0,38780.0,38831.25,38910.0,,,,
2000-01-20,37000.0,37000.0,37000.0,37000.0,0.0,37000.0,38220.0,38600.0,38665.0,,,,
2000-01-21,37000.0,37000.0,37000.0,37000.0,0.0,37000.0,37690.0,38475.0,38465.0,,,,
2000-01-24,36900.0,36900.0,36900.0,36900.0,0.0,36900.0,37840.0,38100.0,38270.0,,,,
2000-01-25,36400.0,32600.0,35000.0,35000.0,50.0,35000.0,36680.0,37500.0,37970.0,,,,
2000-01-26,36350.0,35000.0,36350.0,35000.0,20.0,35000.0,36180.0,36918.75,37480.0,,,,
2000-01-27,34200.0,34200.0,34200.0,34200.0,30.0,34200.0,35620.0,36675.0,36920.0,,,,
2000-01-28,32800.0,32000.0,32800.0,32250.0,50.0,32250.0,34670.0,35606.25,36180.0,,,,
2000-01-31,33900.0,32300.0,33900.0,32500.0,400.0,32500.0,33790.0,34981.25,35815.0,,,,
2000-02-01,34700.0,32000.0,34700.0,33500.0,200.0,33500.0,33490.0,34543.75,35085.0,,,,
2000-02-02,36000.0,33500.0,33500.0,36000.0,100.0,36000.0,33690.0,34418.75,34935.0,,,,
2000-02-03,36400.0,36400.0,36400.0,36400.0,70.0,36400.0,34130.0,34356.25,34875.0,,,,
2000-02-04,36400.0,36400.0,36400.0,36400.0,0.0,36400.0,34960.0,34531.25,34815.0,,,,
2000-02-07,39800.0,37500.0,37500.0,39500.0,400.0,39500.0,36360.0,35093.75,35075.0,,,,
2000-02-08,36500.0,33600.0,33800.0,34000.0,300.0,34000.0,36460.0,35068.75,34975.0,,,,
2000-02-09,36900.0,33100.0,34500.0,34000.0,200.0,34000.0,36060.0,35287.5,34875.0,,,,
2000-02-10,34000.0,34000.0,34000.0,34000.0,70.0,34000.0,35580.0,35475.0,34855.0,,,,
2000-02-11,31650.0,31200.0,31200.0,31650.0,40.0,31650.0,34630.0,35243.75,34795.0,,,,
2000-02-14,36000.0,31150.0,31150.0,33000.0,200.0,33000.0,33330.0,34868.75,34845.0,36453.333333333336,,,
2000-02-15,31500.0,31500.0,31500.0,31500.0,100.0,31500.0,32830.0,34256.25,34645.0,36230.0,,,
2000-02-16,34000.0,31100.0,31100.0,34000.0,30.0,34000.0,32830.0,33956.25,34445.0,36096.666666666664,,,
2000-02-17,34000.0,34000.0,34000.0,34000.0,0.0,34000.0,32830.0,33268.75,34205.0,35915.0,,,
2000-02-18,33900.0,33900.0,33900.0,33900.0,0.0,33900.0,33280.0,33256.25,33955.0,35745.0,,,
2000-02-21,31900.0,29000.0,31900.0,29000.0,100.0,29000.0,32480.0,32631.25,32905.0,35416.666666666664,,,
2000-02-22,30700.0,30700.0,30700.0,30700.0,10.0,30700.0,32320.0,32218.75,32575.0,35173.333333333336,,,
2000-02-23,31500.0,31500.0,31500.0,31500.0,40.0,31500.0,31820.0,32200.0,32325.0,34893.333333333336,,,
2000-02-24,32500.0,27700.0,32500.0,27700.0,100.0,27700.0,30560.0,31537.5,31695.0,34490.0,,,
2000-02-25,31850.0,31850.0,31850.0,31850.0,100.0,31850.0,30150.0,31581.25,31715.0,34230.0,,,
2000-02-28,33000.0,27700.0,32000.0,28350.0,200.0,28350.0,30020.0,30875.0,31250.0,33970.0,,,
2000-02-29,31900.0,28400.0,31900.0,29900.0,400.0,29900.0,29860.0,30362.5,31090.0,33606.666666666664,,,
2000-03-01,29900.0,29900.0,29900.0,29900.0,0.0,29900.0,29540.0,29862.5,30680.0,33353.333333333336,,,
2000-03-02,32800.0,30000.0,32800.0,32000.0,200.0,32000.0,30400.0,30237.5,30480.0,33186.666666666664,,,
2000-03-03,33000.0,30000.0,33000.0,30000.0,300.0,30000.0,30030.0,30150.0,30090.0,32953.333333333336,,,
2000-03-06,32500.0,28150.0,28150.0,32000.0,200.0,32000.0,30760.0,30212.5,30390.0,32790.0,34664.444444444445,,
2000-03-07,33500.0,32000.0,32000.0,33500.0,20.0,33500.0,31480.0,30937.5,30670.0,32740.0,34560.0,,
2000-03-08,34000.0,29700.0,29700.0,32000.0,200.0,32000.0,31900.0,30956.25,30720.0,32640.0,34426.666666666664,,
2000-03-09,33400.0,30200.0,32000.0,33400.0,100.0,33400.0,32180.0,31587.5,31290.0,32613.333333333332,34292.22222222222,,
