Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-02-11,2000.0,1870.0,1900.0,1950.0,42500.0,1950.0,,,,,,,
2000-02-14,1990.0,1800.0,1850.0,1850.0,28900.0,1850.0,,,,,,,
2000-02-15,2000.0,1640.0,1640.0,1980.0,58200.0,1980.0,,,,,,,
2000-02-16,1970.0,1760.0,1970.0,1970.0,27400.0,1970.0,,,,,,,
2000-02-17,2150.0,1800.0,1800.0,2000.0,42600.0,2000.0,1950.0,,,,,,
2000-02-18,2200.0,1920.0,2200.0,2140.0,74400.0,2140.0,1988.0,,,,,,
2000-02-21,2100.0,1900.0,2020.0,2050.0,20800.0,2050.0,2028.0,,,,,,
2000-02-22,2040.0,1830.0,2040.0,1990.0,27700.0,1990.0,2030.0,1991.25,,,,,
2000-02-23,2000.0,1850.0,2000.0,2000.0,19000.0,2000.0,2036.0,1997.5,,,,,
2000-02-24,2130.0,1880.0,2000.0,1930.0,26500.0,1930.0,2022.0,2007.5,1986.0,,,,
2000-02-25,2050.0,1860.0,1940.0,1890.0,44600.0,1890.0,1972.0,1996.25,1980.0,,,,
2000-02-28,2110.0,1820.0,1820.0,2110.0,115400.0,2110.0,1984.0,2013.75,2006.0,,,,
2000-02-29,2360.0,2250.0,2360.0,2360.0,155800.0,2360.0,2058.0,2058.75,2044.0,,,,
2000-03-01,2360.0,2360.0,2360.0,2360.0,0.0,2360.0,2130.0,2086.25,2083.0,,,,
2000-03-02,2640.0,2460.0,2600.0,2640.0,163100.0,2640.0,2272.0,2160.0,2147.0,,,,
2000-03-03,2950.0,2340.0,2640.0,2900.0,214700.0,2900.0,2474.0,2273.75,2223.0,,,,
2000-03-06,3240.0,2560.0,3040.0,3030.0,290200.0,3030.0,2658.0,2402.5,2321.0,,,,
2000-03-07,2900.0,2670.0,2900.0,2670.0,133500.0,2670.0,2720.0,2495.0,2389.0,,,,
2000-03-08,2590.0,2350.0,2350.0,2570.0,122900.0,2570.0,2762.0,2580.0,2446.0,,,,
2000-03-09,2740.0,2530.0,2650.0,2620.0,104300.0,2620.0,2758.0,2643.75,2515.0,,,,
2000-03-10,2930.0,2570.0,2750.0,2930.0,688000.0,2930.0,2764.0,2715.0,2619.0,,,,
2000-03-13,3280.0,3130.0,3280.0,3280.0,347200.0,3280.0,2814.0,2830.0,2736.0,,,,
2000-03-14,3670.0,3210.0,3300.0,3670.0,640700.0,3670.0,3014.0,2958.75,2867.0,,,,
