,날짜,종가,전일비,시가,고가,저가,거래량,5일선,8일선,10일선,30일선,45일선,60일선,120일선
1183,2016.12.19,13600.0,150.0,13800.0,14250.0,13500.0,1981956.0,,,,,,,
1182,2016.12.20,12950.0,650.0,13700.0,13850.0,12900.0,1749314.0,,,,,,,
1181,2016.12.21,12450.0,500.0,12950.0,13000.0,12250.0,1583932.0,,,,,,,
1180,2016.12.22,12600.0,150.0,12350.0,12600.0,12150.0,975439.0,,,,,,,
1179,2016.12.23,12600.0,0.0,12600.0,12950.0,12400.0,1327045.0,12840.0,,,,,,
1175,2016.12.26,12650.0,50.0,12650.0,12850.0,12500.0,890647.0,12650.0,,,,,,
1174,2016.12.27,12800.0,150.0,12700.0,13000.0,12600.0,1151746.0,12620.0,,,,,,
1173,2016.12.28,13200.0,400.0,12850.0,13400.0,12800.0,1455124.0,12770.0,12856.25,,,,,
1172,2016.12.29,13250.0,50.0,13050.0,13300.0,12900.0,588591.0,12900.0,12812.5,,,,,
1171,2017.01.02,12950.0,300.0,13250.0,13250.0,12900.0,497396.0,12970.0,12812.5,12905.0,,,,
1168,2017.01.03,12750.0,200.0,13000.0,13150.0,12700.0,540369.0,12990.0,12850.0,12820.0,,,,
1167,2017.01.04,12850.0,100.0,12800.0,12900.0,12650.0,399112.0,13000.0,12881.25,12810.0,,,,
1166,2017.01.05,13200.0,350.0,12950.0,13550.0,12800.0,1159516.0,13000.0,12956.25,12885.0,,,,
1165,2017.01.06,13050.0,150.0,13250.0,13250.0,12950.0,385308.0,12960.0,13006.25,12930.0,,,,
1164,2017.01.09,12800.0,250.0,13000.0,13100.0,12800.0,404520.0,12930.0,13006.25,12950.0,,,,
1160,2017.01.10,12500.0,300.0,12800.0,12900.0,12450.0,491422.0,12880.0,12918.75,12935.0,,,,
1159,2017.01.11,12450.0,50.0,12600.0,12800.0,12450.0,459544.0,12800.0,12818.75,12900.0,,,,
1158,2017.01.12,12150.0,300.0,12350.0,12500.0,12100.0,496991.0,12590.0,12718.75,12795.0,,,,
1157,2017.01.13,12100.0,50.0,12200.0,12350.0,11850.0,612247.0,12400.0,12637.5,12680.0,,,,
1156,2017.01.16,11700.0,400.0,12050.0,12200.0,11650.0,546945.0,12180.0,12493.75,12555.0,,,,
1153,2017.01.17,11450.0,250.0,11500.0,11600.0,11250.0,748532.0,11970.0,12275.0,12425.0,,,,
1152,2017.01.18,11500.0,50.0,11400.0,11850.0,11150.0,649156.0,11780.0,12081.25,12290.0,,,,
