Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2014-12-24,9700.0,7550.0,8550.0,9000.0,7783714.0,9000.0,,,,,,,
2014-12-26,9240.0,7970.0,8880.0,7970.0,1625072.0,7970.0,,,,,,,
2014-12-29,8050.0,7130.0,8000.0,7280.0,946820.0,7280.0,,,,,,,
2014-12-30,8370.0,7280.0,7300.0,8370.0,1624500.0,8370.0,,,,,,,
2015-01-02,8770.0,8270.0,8650.0,8500.0,944919.0,8500.0,8224.0,,,,,,
2015-01-05,8510.0,8210.0,8500.0,8250.0,248145.0,8250.0,8074.0,,,,,,
2015-01-06,8140.0,7730.0,8020.0,7740.0,318883.0,7740.0,8028.0,,,,,,
2015-01-07,8460.0,7730.0,7750.0,8230.0,436813.0,8230.0,8218.0,8167.5,,,,,
2015-01-08,8310.0,7900.0,8240.0,8060.0,160053.0,8060.0,8156.0,8050.0,,,,,
2015-01-09,8590.0,7920.0,8070.0,8560.0,833165.0,8560.0,8168.0,8123.75,8196.0,,,,
2015-01-12,9100.0,8400.0,8560.0,8710.0,519740.0,8710.0,8260.0,8302.5,8167.0,,,,
2015-01-13,8930.0,8650.0,8710.0,8730.0,186389.0,8730.0,8458.0,8347.5,8243.0,,,,
2015-01-14,9250.0,8610.0,8680.0,9000.0,444080.0,9000.0,8612.0,8410.0,8415.0,,,,
2015-01-15,9600.0,9000.0,9000.0,9500.0,491210.0,9500.0,8900.0,8566.25,8528.0,,,,
2015-01-16,10300.0,9460.0,9780.0,9890.0,922875.0,9890.0,9166.0,8835.0,8667.0,,,,
2015-01-19,10350.0,9760.0,9850.0,10150.0,439560.0,10150.0,9454.0,9075.0,8857.0,,,,
2015-01-20,11000.0,10050.0,10150.0,11000.0,607624.0,11000.0,9908.0,9442.5,9183.0,,,,
2015-01-21,11800.0,11000.0,11500.0,11100.0,624277.0,11100.0,10328.0,9760.0,9470.0,,,,
2015-01-22,11600.0,10100.0,11150.0,10600.0,568108.0,10600.0,10548.0,9996.25,9724.0,,,,
2015-01-23,11050.0,10300.0,10700.0,11050.0,451220.0,11050.0,10780.0,10286.25,9973.0,,,,
2015-01-26,11300.0,10800.0,11300.0,11000.0,217880.0,11000.0,10950.0,10536.25,10202.0,,,,
2015-01-27,11100.0,10350.0,11050.0,10450.0,521588.0,10450.0,10840.0,10655.0,10374.0,,,,
2015-01-28,10900.0,10050.0,10250.0,10500.0,357158.0,10500.0,10720.0,10731.25,10524.0,,,,
2015-01-29,12000.0,10250.0,10600.0,11300.0,674245.0,11300.0,10860.0,10875.0,10704.0,,,,
2015-01-30,12100.0,11250.0,11500.0,11400.0,743623.0,11400.0,10930.0,10925.0,10855.0,,,,
2015-02-02,12000.0,11300.0,11550.0,11400.0,528590.0,11400.0,11010.0,10962.5,10980.0,,,,
