Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2016-07-28,24700.0,18950.0,19000.0,24700.0,564018.0,24700.0,,,,,,,
2016-07-29,31450.0,21500.0,25750.0,26650.0,3949532.0,26650.0,,,,,,,
2016-08-01,30700.0,25500.0,27750.0,25500.0,1192305.0,25500.0,,,,,,,
2016-08-02,28200.0,24500.0,26300.0,25900.0,573474.0,25900.0,,,,,,,
2016-08-03,33600.0,24650.0,25150.0,30900.0,2373913.0,30900.0,26730.0,,,,,,
2016-08-04,35950.0,30100.0,30700.0,32050.0,1757638.0,32050.0,28200.0,,,,,,
2016-08-05,35100.0,30700.0,34000.0,32400.0,557191.0,32400.0,29350.0,,,,,,
2016-08-08,33100.0,30500.0,32100.0,30500.0,285949.0,30500.0,30350.0,28575.0,,,,,
2016-08-09,34950.0,31000.0,31000.0,33450.0,680095.0,33450.0,31860.0,29668.75,,,,,
2016-08-10,34650.0,32100.0,32650.0,32100.0,323100.0,32100.0,32100.0,30350.0,29415.0,,,,
2016-08-11,31700.0,30100.0,31050.0,30350.0,204072.0,30350.0,31760.0,30956.25,29980.0,,,,
2016-08-12,33850.0,27950.0,29900.0,29800.0,523446.0,29800.0,31240.0,31443.75,30295.0,,,,
2016-08-16,33000.0,29550.0,29900.0,31500.0,366725.0,31500.0,31440.0,31518.75,30895.0,,,,
2016-08-17,33800.0,31250.0,31500.0,31850.0,231162.0,31850.0,31120.0,31493.75,31490.0,,,,
2016-08-18,32800.0,30000.0,31950.0,30600.0,149277.0,30600.0,30820.0,31268.75,31460.0,,,,
2016-08-19,31000.0,29450.0,30550.0,29500.0,73727.0,29500.0,30650.0,31143.75,31205.0,,,,
2016-08-22,31000.0,28400.0,29150.0,28650.0,83778.0,28650.0,30420.0,30543.75,30830.0,,,,
2016-08-23,30550.0,28750.0,29100.0,29450.0,107429.0,29450.0,30010.0,30212.5,30725.0,,,,
2016-08-24,29950.0,28500.0,29950.0,28500.0,39817.0,28500.0,29340.0,29981.25,30230.0,,,,
2016-08-25,30750.0,28650.0,29000.0,30200.0,110189.0,30200.0,29260.0,30031.25,30040.0,,,,
2016-08-26,32250.0,29550.0,30650.0,29550.0,136772.0,29550.0,29270.0,29787.5,29960.0,,,,
2016-08-29,29850.0,27000.0,29500.0,27000.0,111790.0,27000.0,28940.0,29181.25,29680.0,,,,
2016-08-30,28800.0,26500.0,27750.0,26900.0,81675.0,26900.0,28430.0,28718.75,29220.0,,,,
2016-08-31,27400.0,25000.0,27100.0,25650.0,214376.0,25650.0,27860.0,28237.5,28600.0,,,,
2016-09-01,26400.0,24950.0,25300.0,25200.0,75704.0,25200.0,26860.0,27806.25,28060.0,,,,
2016-09-02,25500.0,22300.0,25200.0,22900.0,200408.0,22900.0,25530.0,26987.5,27400.0,,,,
2016-09-05,23600.0,22150.0,22750.0,23500.0,139634.0,23500.0,24830.0,26362.5,26885.0,,,,
2016-09-06,24350.0,23100.0,23500.0,23550.0,89775.0,23550.0,24160.0,25531.25,26295.0,,,,
2016-09-07,24700.0,22900.0,23800.0,23100.0,71336.0,23100.0,23650.0,24725.0,25755.0,,,,
2016-09-08,23450.0,21500.0,23100.0,22550.0,98792.0,22550.0,23120.0,24168.75,24990.0,28148.333333333332,,,
