Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2008-05-02,8330.0,6910.0,7250.0,8330.0,5428600.0,8330.0,,,,,,,
2008-05-06,9570.0,8700.0,9170.0,8760.0,6275400.0,8760.0,,,,,,,
2008-05-07,9080.0,7610.0,8700.0,7870.0,4100700.0,7870.0,,,,,,,
2008-05-08,8320.0,7150.0,7870.0,7650.0,1684400.0,7650.0,,,,,,,
2008-05-09,7800.0,7200.0,7510.0,7240.0,948100.0,7240.0,7970.0,,,,,,
2008-05-13,7440.0,6940.0,7240.0,6980.0,648400.0,6980.0,7700.0,,,,,,
2008-05-14,6980.0,5940.0,6870.0,5940.0,1727800.0,5940.0,7136.0,,,,,,
2008-05-15,6340.0,5550.0,5900.0,5940.0,1142600.0,5940.0,6750.0,7338.75,,,,,
2008-05-16,6190.0,5700.0,6050.0,5700.0,552100.0,5700.0,6360.0,7010.0,,,,,
2008-05-19,5900.0,5410.0,5600.0,5650.0,824300.0,5650.0,6042.0,6621.25,7006.0,,,,
2008-05-20,6150.0,5480.0,5650.0,5990.0,911400.0,5990.0,5844.0,6386.25,6772.0,,,,
2008-05-21,6250.0,5420.0,5860.0,5510.0,791000.0,5510.0,5758.0,6118.75,6447.0,,,,
2008-05-22,5460.0,5070.0,5430.0,5100.0,518500.0,5100.0,5590.0,5851.25,6170.0,,,,
2008-05-23,5240.0,4850.0,5110.0,4900.0,440600.0,4900.0,5430.0,5591.25,5895.0,,,,
2008-05-26,5000.0,4570.0,4840.0,4690.0,759300.0,4690.0,5238.0,5435.0,5640.0,,,,
2008-05-27,4980.0,4690.0,4695.0,4850.0,481700.0,4850.0,5010.0,5298.75,5427.0,,,,
2008-05-28,5150.0,4790.0,4900.0,4800.0,529900.0,4800.0,4868.0,5186.25,5313.0,,,,
2008-05-29,4880.0,4645.0,4830.0,4660.0,295200.0,4660.0,4780.0,5062.5,5185.0,,,,
2008-05-30,4920.0,4675.0,4680.0,4870.0,408200.0,4870.0,4774.0,4922.5,5102.0,,,,
2008-06-02,5050.0,4810.0,4910.0,4845.0,342300.0,4845.0,4805.0,4839.375,5021.5,,,,
2008-06-03,4775.0,4490.0,4700.0,4600.0,344300.0,4600.0,4755.0,4776.875,4882.5,,,,
2008-06-04,4640.0,4435.0,4525.0,4485.0,255700.0,4485.0,4692.0,4725.0,4780.0,,,,
2008-06-05,4900.0,4470.0,4500.0,4715.0,550600.0,4715.0,4703.0,4728.125,4741.5,,,,
2008-06-09,4640.0,4440.0,4515.0,4445.0,203300.0,4445.0,4618.0,4677.5,4696.0,,,,
2008-06-10,4460.0,4010.0,4460.0,4050.0,273900.0,4050.0,4459.0,4583.75,4632.0,,,,
2008-06-11,4185.0,3905.0,4050.0,4115.0,154600.0,4115.0,4362.0,4515.625,4558.5,,,,
2008-06-12,4380.0,4050.0,4100.0,4240.0,177500.0,4240.0,4313.0,4436.875,4502.5,,,,
2008-06-13,4480.0,4260.0,4260.0,4270.0,162100.0,4270.0,4224.0,4365.0,4463.5,,,,
2008-06-16,4910.0,4360.0,4360.0,4910.0,299800.0,4910.0,4317.0,4403.75,4467.5,,,,
2008-06-17,5620.0,4905.0,5300.0,4980.0,1992000.0,4980.0,4503.0,4465.625,4481.0,5502.833333333333,,,
