Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-02-11,4190.0,3780.0,4030.0,3880.0,260100.0,3880.0,,,,,,,
2000-02-14,3800.0,3420.0,3800.0,3540.0,213400.0,3540.0,,,,,,,
2000-02-15,3750.0,3210.0,3620.0,3500.0,144400.0,3500.0,,,,,,,
2000-02-16,3650.0,3300.0,3400.0,3530.0,101100.0,3530.0,,,,,,,
2000-02-17,3900.0,3310.0,3310.0,3880.0,264500.0,3880.0,3666.0,,,,,,
2000-02-18,4110.0,3770.0,3910.0,3980.0,277900.0,3980.0,3686.0,,,,,,
2000-02-21,4390.0,3690.0,3960.0,4200.0,313800.0,4200.0,3818.0,,,,,,
2000-02-22,4700.0,4100.0,4300.0,4700.0,592500.0,4700.0,4058.0,3901.25,,,,,
2000-02-23,5260.0,4210.0,5100.0,4990.0,791600.0,4990.0,4350.0,4040.0,,,,,
2000-02-24,5580.0,5000.0,5100.0,5580.0,852300.0,5580.0,4690.0,4295.0,4178.0,,,,
2000-02-25,6240.0,6150.0,6240.0,6240.0,342800.0,6240.0,5142.0,4637.5,4414.0,,,,
2000-02-28,6980.0,6810.0,6980.0,6980.0,225800.0,6980.0,5698.0,5068.75,4758.0,,,,
2000-02-29,7810.0,7810.0,7810.0,7810.0,29200.0,7810.0,6320.0,5560.0,5189.0,,,,
2000-03-01,7810.0,7810.0,7810.0,7810.0,0.0,7810.0,6884.0,6038.75,5617.0,,,,
2000-03-02,8740.0,8740.0,8740.0,8740.0,12500.0,8740.0,7516.0,6606.25,6103.0,,,,
2000-03-03,9780.0,7700.0,9780.0,7900.0,1325700.0,7900.0,7848.0,7006.25,6495.0,,,,
2000-03-06,8300.0,6960.0,7060.0,7090.0,783100.0,7090.0,7870.0,7268.75,6784.0,,,,
2000-03-07,7800.0,6500.0,7020.0,7800.0,549700.0,7800.0,7868.0,7546.25,7094.0,,,,
2000-03-08,8130.0,7100.0,7100.0,7500.0,496500.0,7500.0,7806.0,7703.75,7345.0,,,,
2000-03-09,8260.0,7540.0,7650.0,7670.0,522300.0,7670.0,7592.0,7790.0,7554.0,,,,
2000-03-10,7850.0,7200.0,7670.0,7300.0,430100.0,7300.0,7472.0,7726.25,7660.0,,,,
2000-03-13,7500.0,6730.0,7100.0,6800.0,350000.0,6800.0,7414.0,7600.0,7642.0,,,,
2000-03-14,7400.0,6600.0,6800.0,6950.0,322700.0,6950.0,7244.0,7376.25,7556.0,,,,
2000-03-15,7190.0,6700.0,6800.0,6850.0,287100.0,6850.0,7114.0,7245.0,7460.0,,,,
2000-03-16,7100.0,6160.0,6850.0,6360.0,279200.0,6360.0,6852.0,7153.75,7222.0,,,,
2000-03-17,6360.0,5600.0,6060.0,5600.0,192600.0,5600.0,6512.0,6878.75,6992.0,,,,
2000-03-20,5400.0,4930.0,5300.0,4930.0,173200.0,4930.0,6138.0,6557.5,6776.0,,,,
2000-03-21,4790.0,4340.0,4510.0,4510.0,283000.0,4510.0,5650.0,6162.5,6447.0,,,,
2000-03-22,5050.0,4720.0,4720.0,5050.0,139200.0,5050.0,5290.0,5881.25,6202.0,,,,
2000-03-23,5650.0,4720.0,5650.0,5000.0,258500.0,5000.0,5018.0,5656.25,5935.0,5889.0,,,
2000-03-24,5450.0,5000.0,5120.0,5370.0,176400.0,5370.0,4972.0,5458.75,5742.0,5938.666666666667,,,
2000-03-27,6010.0,5500.0,5680.0,6010.0,252200.0,6010.0,5188.0,5353.75,5663.0,6021.0,,,
2000-03-28,6730.0,6250.0,6730.0,6730.0,355300.0,6730.0,5632.0,5400.0,5641.0,6128.666666666667,,,
2000-03-29,7080.0,5930.0,6700.0,5930.0,363600.0,5930.0,5808.0,5441.25,5549.0,6208.666666666667,,,
2000-03-30,5700.0,5300.0,5500.0,5500.0,154500.0,5500.0,5908.0,5512.5,5463.0,6262.666666666667,,,
2000-03-31,6100.0,5250.0,5250.0,6000.0,205100.0,6000.0,6034.0,5698.75,5503.0,6330.0,,,
2000-04-03,6200.0,5280.0,6000.0,5490.0,155800.0,5490.0,5930.0,5753.75,5559.0,6373.0,,,
2000-04-04,5390.0,4850.0,5050.0,5370.0,123800.0,5370.0,5658.0,5800.0,5645.0,6395.333333333333,,,
2000-04-05,5370.0,5370.0,5370.0,5370.0,0.0,5370.0,5546.0,5800.0,5677.0,6408.0,,,
2000-04-06,5800.0,5300.0,5610.0,5500.0,106500.0,5500.0,5546.0,5736.25,5727.0,6405.333333333333,,,
2000-04-07,6160.0,5400.0,5400.0,6160.0,165400.0,6160.0,5578.0,5665.0,5806.0,6402.666666666667,,,
2000-04-10,6890.0,6500.0,6700.0,6890.0,266000.0,6890.0,5858.0,5785.0,5894.0,6399.666666666667,,,
2000-04-11,6380.0,6070.0,6200.0,6070.0,95100.0,6070.0,5998.0,5856.25,5828.0,6341.666666666667,,,
2000-04-12,6180.0,5500.0,5800.0,6140.0,109500.0,6140.0,6152.0,5873.75,5849.0,6286.0,,,
2000-04-13,6140.0,6140.0,6140.0,6140.0,0.0,6140.0,6280.0,5955.0,5913.0,6199.333333333333,5896.444444444444,,
2000-04-14,6100.0,5510.0,5980.0,5990.0,78400.0,5990.0,6246.0,6032.5,5912.0,6135.666666666667,5943.333333333333,,
2000-04-17,5280.0,5280.0,5280.0,5280.0,8100.0,5280.0,5924.0,6021.25,5891.0,6075.333333333333,5982.0,,
2000-04-18,5790.0,4710.0,5350.0,5150.0,216700.0,5150.0,5740.0,5977.5,5869.0,5987.0,6018.666666666667,,
2000-04-19,5500.0,5010.0,5350.0,5250.0,178700.0,5250.0,5562.0,5863.75,5857.0,5912.0,6056.888888888889,,
2000-04-20,5880.0,5030.0,5250.0,5880.0,373600.0,5880.0,5510.0,5737.5,5895.0,5852.333333333333,6101.333333333333,,
2000-04-21,6580.0,5900.0,6200.0,6580.0,542500.0,6580.0,5628.0,5801.25,5937.0,5828.333333333333,6159.111111111111,,
2000-04-24,6800.0,5900.0,6580.0,5900.0,295400.0,5900.0,5752.0,5771.25,5838.0,5798.333333333333,6196.888888888889,,
2000-04-25,5960.0,5400.0,5400.0,5800.0,519000.0,5800.0,5882.0,5728.75,5811.0,5760.0,6221.333333333333,,
2000-04-26,6200.0,5200.0,6000.0,5300.0,512200.0,5300.0,5892.0,5642.5,5727.0,5708.333333333333,6228.222222222223,,
2000-04-27,5250.0,4800.0,5100.0,4830.0,289200.0,4830.0,5682.0,5586.25,5596.0,5657.333333333333,6211.555555555556,,
2000-04-28,5100.0,4800.0,4980.0,4990.0,137800.0,4990.0,5364.0,5566.25,5496.0,5637.0,6183.777777777777,,
2000-05-01,4990.0,4990.0,4990.0,4990.0,0.0,4990.0,5182.0,5533.75,5467.0,5639.0,6139.555555555556,,
2000-05-02,5180.0,4710.0,4710.0,4970.0,243200.0,4970.0,5016.0,5420.0,5449.0,5654.333333333333,6076.444444444444,,
2000-05-03,5150.0,4730.0,5000.0,4970.0,121500.0,4970.0,4950.0,5218.75,5421.0,5651.666666666667,6013.333333333333,,
2000-05-04,5560.0,4910.0,5010.0,5560.0,337200.0,5560.0,5096.0,5176.25,5389.0,5670.333333333333,5942.666666666667,5779.666666666667,
2000-05-05,5560.0,5560.0,5560.0,5560.0,0.0,5560.0,5210.0,5146.25,5287.0,5676.666666666667,5890.666666666667,5807.666666666667,
2000-05-08,6210.0,5400.0,6210.0,5500.0,336500.0,5500.0,5312.0,5171.25,5247.0,5659.666666666667,5855.333333333333,5840.333333333333,
2000-05-09,5500.0,5500.0,5500.0,5500.0,0.0,5500.0,5418.0,5255.0,5217.0,5618.666666666667,5804.222222222223,5873.666666666667,
2000-05-10,5540.0,5210.0,5300.0,5460.0,300300.0,5460.0,5516.0,5313.75,5233.0,5603.0,5758.888888888889,5905.833333333333,
2000-05-11,5460.0,5460.0,5460.0,5460.0,0.0,5460.0,5496.0,5372.5,5296.0,5601.666666666667,5709.777777777777,5932.166666666667,
2000-05-12,5460.0,5180.0,5350.0,5200.0,209800.0,5200.0,5424.0,5401.25,5317.0,5575.0,5663.111111111111,5952.5,
2000-05-15,5490.0,4730.0,5130.0,4960.0,194100.0,4960.0,5316.0,5400.0,5314.0,5557.333333333333,5622.222222222223,5965.166666666667,
2000-05-16,5290.0,4850.0,4960.0,5280.0,139500.0,5280.0,5272.0,5365.0,5345.0,5554.333333333333,5585.111111111111,5974.833333333333,
2000-05-17,5910.0,5050.0,5180.0,5910.0,652200.0,5910.0,5362.0,5408.75,5439.0,5572.333333333333,5564.222222222223,5990.166666666667,
2000-05-18,6570.0,5210.0,5980.0,5900.0,755200.0,5900.0,5450.0,5458.75,5473.0,5585.666666666667,5554.0,5995.5,
2000-05-19,6600.0,5270.0,5690.0,6600.0,696800.0,6600.0,5730.0,5596.25,5577.0,5600.333333333333,5576.222222222223,6001.5,
2000-05-22,7390.0,5810.0,6970.0,5900.0,873300.0,5900.0,5918.0,5651.25,5617.0,5567.333333333333,5597.777777777777,5983.5,
2000-05-23,5900.0,5200.0,5600.0,5340.0,326300.0,5340.0,5930.0,5636.25,5601.0,5543.0,5616.222222222223,5942.333333333333,
2000-05-24,5200.0,4700.0,4900.0,5150.0,354900.0,5150.0,5778.0,5630.0,5570.0,5510.0,5618.444444444444,5898.0,
2000-05-25,5710.0,5000.0,5000.0,5240.0,1304400.0,5240.0,5646.0,5665.0,5548.0,5480.0,5623.777777777777,5839.666666666667,
2000-05-26,5190.0,4620.0,5050.0,4620.0,529100.0,4620.0,5250.0,5582.5,5490.0,5434.333333333333,5607.111111111111,5785.0,
