Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2017-12-12,2100.0,1995.0,2100.0,2005.0,216019.0,2005.0,,,,,,,
2017-12-13,2020.0,1995.0,2000.0,1995.0,34102.0,1995.0,,,,,,,
2017-12-14,2010.0,1985.0,1995.0,2000.0,36054.0,2000.0,,,,,,,
2017-12-15,2005.0,1980.0,2005.0,2000.0,60172.0,2000.0,,,,,,,
2017-12-18,2000.0,1975.0,1985.0,1990.0,16917.0,1990.0,1998.0,,,,,,
2017-12-19,1995.0,1980.0,1995.0,1980.0,125705.0,1980.0,1993.0,,,,,,
2017-12-21,2090.0,1950.0,1970.0,1970.0,76367.0,1970.0,1988.0,,,,,,
2017-12-22,1995.0,1965.0,1975.0,1995.0,18770.0,1995.0,1987.0,1991.875,,,,,
2017-12-26,2000.0,1995.0,1995.0,2000.0,7498.0,2000.0,1987.0,1991.25,,,,,
2017-12-27,2000.0,1970.0,2000.0,2000.0,19191.0,2000.0,1989.0,1991.875,1993.5,,,,
2017-12-28,2010.0,1990.0,1990.0,1995.0,7128.0,1995.0,1992.0,1991.25,1992.5,,,,
2018-01-03,2020.0,1990.0,2020.0,2010.0,8671.0,2010.0,2000.0,1992.5,1994.0,,,,
2018-01-04,2015.0,1985.0,2015.0,1995.0,34643.0,1995.0,2000.0,1993.125,1993.5,,,,
2018-01-05,2040.0,2000.0,2040.0,2010.0,557.0,2010.0,2002.0,1996.875,1994.5,,,,
2018-01-08,2005.0,1995.0,2000.0,2005.0,43575.0,2005.0,2003.0,2001.25,1996.0,,,,
2018-01-09,2005.0,1990.0,2005.0,2000.0,6240.0,2000.0,2004.0,2001.875,1998.0,,,,
2018-01-10,2000.0,2000.0,2000.0,2000.0,0.0,2000.0,2002.0,2001.875,2001.0,,,,
2018-01-11,2035.0,1995.0,2035.0,2005.0,9282.0,2005.0,2004.0,2002.5,2002.0,,,,
2018-01-12,2005.0,1985.0,2005.0,2000.0,10600.0,2000.0,2002.0,2003.125,2002.0,,,,
2018-01-15,2000.0,2000.0,2000.0,2000.0,2760.0,2000.0,2001.0,2001.875,2002.0,,,,
2018-01-16,2000.0,1990.0,2000.0,1995.0,1837.0,1995.0,2000.0,2001.875,2002.0,,,,
2018-01-17,2000.0,1990.0,1995.0,2000.0,2852.0,2000.0,2000.0,2000.625,2001.0,,,,
2018-01-18,2035.0,1995.0,2000.0,2005.0,60505.0,2005.0,2000.0,2000.625,2002.0,,,,
2018-01-19,2010.0,2000.0,2010.0,2000.0,11008.0,2000.0,2000.0,2000.625,2001.0,,,,
2018-01-22,2065.0,2000.0,2040.0,2020.0,109292.0,2020.0,2004.0,2003.125,2002.5,,,,
2018-01-23,2050.0,2015.0,2050.0,2025.0,57470.0,2025.0,2010.0,2005.625,2005.0,,,,
2018-01-24,2060.0,2020.0,2025.0,2055.0,195781.0,2055.0,2021.0,2012.5,2010.5,,,,
2018-01-25,2065.0,2030.0,2055.0,2055.0,123783.0,2055.0,2031.0,2019.375,2015.5,,,,
2018-01-26,2065.0,2050.0,2065.0,2050.0,86824.0,2050.0,2041.0,2026.25,2020.5,,,,
2018-01-29,2070.0,2050.0,2065.0,2050.0,82410.0,2050.0,2047.0,2032.5,2025.5,2007.0,,,
2018-01-30,2080.0,2050.0,2060.0,2070.0,273589.0,2070.0,2056.0,2040.625,2033.0,2009.1666666666667,,,
2018-01-31,2180.0,2055.0,2080.0,2070.0,386556.0,2070.0,2059.0,2049.375,2040.0,2011.6666666666667,,,
2020-03-12,1180.0,1065.0,1180.0,1110.0,252215.0,1110.0,1870.0,1935.625,1950.5,1982.0,,,
