Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2015-11-12,29200.0,24350.0,28650.0,24350.0,1284601.0,24350.0,,,,,,,
2015-11-13,24900.0,23000.0,24100.0,23350.0,311997.0,23350.0,,,,,,,
2015-11-16,22700.0,21350.0,22550.0,21400.0,196544.0,21400.0,,,,,,,
2015-11-17,22450.0,21150.0,21400.0,21450.0,153367.0,21450.0,,,,,,,
2015-11-18,22200.0,21400.0,21450.0,21550.0,106785.0,21550.0,22420.0,,,,,,
2015-11-19,23900.0,21500.0,22100.0,23200.0,130600.0,23200.0,22190.0,,,,,,
2015-11-20,23300.0,22400.0,23200.0,22400.0,33324.0,22400.0,22000.0,,,,,,
2015-11-23,22600.0,21700.0,22500.0,21850.0,35751.0,21850.0,22090.0,22443.75,,,,,
2015-11-24,22100.0,21200.0,21850.0,21300.0,57033.0,21300.0,22060.0,22062.5,,,,,
2015-11-25,23000.0,21850.0,22500.0,22150.0,144961.0,22150.0,22180.0,21912.5,22300.0,,,,
2015-11-26,23200.0,21900.0,22300.0,22350.0,89272.0,22350.0,22010.0,22031.25,22100.0,,,,
2015-11-27,24150.0,22050.0,22300.0,23650.0,183920.0,23650.0,22260.0,22306.25,22130.0,,,,
2015-11-30,23650.0,22650.0,23650.0,23200.0,63203.0,23200.0,22530.0,22512.5,22310.0,,,,
2015-12-01,24050.0,22900.0,23500.0,23950.0,66848.0,23950.0,23060.0,22606.25,22560.0,,,,
2015-12-02,25000.0,23650.0,24200.0,24700.0,120977.0,24700.0,23570.0,22893.75,22875.0,,,,
2015-12-03,25050.0,24200.0,24650.0,24550.0,35766.0,24550.0,24010.0,23231.25,23010.0,,,,
2015-12-04,24550.0,23950.0,24200.0,24000.0,33846.0,24000.0,24080.0,23568.75,23170.0,,,,
2015-12-07,24600.0,23900.0,24600.0,23900.0,27464.0,23900.0,24220.0,23787.5,23375.0,,,,
2015-12-08,23800.0,22550.0,23550.0,22950.0,82004.0,22950.0,24020.0,23862.5,23540.0,,,,
2015-12-09,23200.0,22400.0,22700.0,22600.0,33680.0,22600.0,23600.0,23731.25,23585.0,,,,
2015-12-10,22600.0,21400.0,22600.0,21950.0,56909.0,21950.0,23080.0,23575.0,23545.0,,,,
2015-12-11,22550.0,21500.0,21950.0,22100.0,49754.0,22100.0,22700.0,23343.75,23390.0,,,,
2015-12-14,22100.0,21300.0,21950.0,21400.0,44256.0,21400.0,22200.0,22931.25,23210.0,,,,
2015-12-15,22100.0,21400.0,21500.0,21900.0,30142.0,21900.0,21990.0,22600.0,23005.0,,,,
2015-12-16,22800.0,21900.0,22550.0,22000.0,37753.0,22000.0,21870.0,22350.0,22735.0,,,,
2015-12-17,22450.0,21550.0,22450.0,22300.0,79005.0,22300.0,21940.0,22150.0,22510.0,,,,
2015-12-18,22450.0,21700.0,22050.0,21900.0,85039.0,21900.0,21900.0,22018.75,22300.0,,,,
2015-12-21,22050.0,21500.0,22000.0,21900.0,59334.0,21900.0,22000.0,21931.25,22100.0,,,,
2015-12-22,21950.0,21650.0,21900.0,21900.0,39892.0,21900.0,22000.0,21925.0,21995.0,,,,
2015-12-23,22400.0,21350.0,21700.0,22400.0,135525.0,22400.0,22080.0,21962.5,21975.0,22620.0,,,
2015-12-24,24300.0,22500.0,22500.0,22800.0,176711.0,22800.0,22180.0,22137.5,22060.0,22568.333333333332,,,
2015-12-28,22550.0,21800.0,22400.0,22150.0,107986.0,22150.0,22230.0,22168.75,22065.0,22528.333333333332,,,
2015-12-29,23150.0,22100.0,23000.0,22700.0,80629.0,22700.0,22390.0,22256.25,22195.0,22571.666666666668,,,
2015-12-30,23650.0,22550.0,22850.0,23350.0,70446.0,23350.0,22680.0,22387.5,22340.0,22635.0,,,
2016-01-04,24800.0,23400.0,24400.0,23750.0,102386.0,23750.0,22950.0,22618.75,22515.0,22708.333333333332,,,
