Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2005-12-09,4885.0,4250.0,4250.0,4885.0,1426812.0,3136.1787109375,,,,,,,
2005-12-12,5600.0,4950.0,4955.0,5600.0,285490.0,3595.209716796875,,,,,,,
2005-12-13,6425.0,6425.0,6425.0,6425.0,40404.0,4124.86181640625,,,,,,,
2005-12-14,7375.0,7375.0,7375.0,7375.0,36884.0,4734.76171875,,,,,,,
2005-12-15,8475.0,7050.0,8475.0,8475.0,1350058.0,5440.96484375,6552.0,,,,,,
2005-12-16,9725.0,7750.0,8000.0,9725.0,789596.0,6243.46630859375,7520.0,,,,,,
2005-12-19,10500.0,8275.0,10000.0,8275.0,601086.0,5312.56396484375,8055.0,,,,,,
2005-12-20,8725.0,7050.0,7425.0,7050.0,483208.0,4526.11279296875,8180.0,7226.25,,,,,
2005-12-21,8025.0,6825.0,7400.0,7100.0,755982.0,4558.212890625,8125.0,7503.125,,,,,
2005-12-22,7200.0,6050.0,7025.0,6050.0,394000.0,3884.110595703125,7640.0,7559.375,7096.0,,,,
2005-12-23,5750.0,5150.0,5700.0,5275.0,482566.0,3386.559326171875,6750.0,7415.625,7135.0,,,,
2005-12-26,5775.0,5050.0,5050.0,5300.0,433200.0,3402.609619140625,6155.0,7156.25,7105.0,,,,
2005-12-27,5525.0,5100.0,5275.0,5150.0,358918.0,3306.30908203125,5775.0,6740.625,6977.5,,,,
2005-12-28,5075.0,4600.0,5025.0,4600.0,287922.0,3041.803955078125,5275.0,6100.0,6700.0,,,,
2005-12-29,4875.0,4570.0,4600.0,4575.0,168612.0,3025.27294921875,4980.0,5637.5,6310.0,,,,
2006-01-02,4850.0,4530.0,4625.0,4675.0,171838.0,3091.3984375,4860.0,5340.625,5805.0,,,,
2006-01-03,5375.0,4680.0,4700.0,5375.0,148254.0,3554.2822265625,4875.0,5125.0,5515.0,,,,
2006-01-04,6175.0,5775.0,5975.0,6175.0,224686.0,4083.29150390625,5080.0,5140.625,5427.5,,,,
2006-01-05,7000.0,5700.0,6650.0,5850.0,551816.0,3868.38232421875,5330.0,5212.5,5302.5,,,,
2006-01-06,6050.0,5275.0,5750.0,5300.0,369232.0,3504.68798828125,5475.0,5212.5,5227.5,,,,
2006-01-09,5150.0,4760.0,5150.0,4760.0,934034.0,3147.605712890625,5492.0,5163.75,5176.0,,,,
2006-01-10,4995.0,4600.0,4770.0,4825.0,634054.0,3190.58837890625,5382.0,5191.875,5128.5,,,,
2006-01-11,5150.0,4630.0,4700.0,4910.0,808586.0,3246.79541015625,5129.0,5233.75,5104.5,,,,
2006-01-12,4900.0,4680.0,4855.0,4680.0,427156.0,3094.704833984375,4895.0,5234.375,5112.5,,,,
2006-01-13,4800.0,4625.0,4725.0,4745.0,390666.0,3137.6875,4784.0,5155.625,5129.5,,,,
2006-01-16,4750.0,4550.0,4605.0,4645.0,519864.0,3071.56103515625,4761.0,4964.375,5126.5,,,,
2006-01-17,4885.0,4590.0,4625.0,4590.0,651064.0,3035.191650390625,4714.0,4806.875,5048.0,,,,
2006-01-18,4720.0,3940.0,4590.0,4060.0,613758.0,2684.722900390625,4544.0,4651.875,4836.5,,,,
2006-01-19,4335.0,4025.0,4225.0,4065.0,331082.0,2688.029052734375,4421.0,4565.0,4658.0,,,,
2006-01-20,4220.0,3685.0,4065.0,3685.0,361954.0,2436.74951171875,4209.0,4422.5,4496.5,5606.666666666667,,,
2006-01-23,3545.0,3135.0,3365.0,3145.0,410694.0,2079.66845703125,3909.0,4201.875,4335.0,5548.666666666667,,,
2006-01-24,3210.0,2905.0,3140.0,3205.0,320378.0,2119.34423828125,3632.0,4017.5,4173.0,5468.833333333333,,,
2006-01-25,3550.0,3205.0,3205.0,3305.0,411274.0,2185.47021484375,3481.0,3837.5,4012.5,5364.833333333333,,,
2006-01-26,3585.0,3290.0,3320.0,3410.0,309702.0,2254.903076171875,3350.0,3683.125,3885.5,5232.666666666667,,,
2006-01-27,3590.0,3450.0,3590.0,3500.0,254754.0,2314.416015625,3313.0,3546.875,3761.0,5066.833333333333,,,
2006-01-31,4040.0,3570.0,3570.0,4040.0,215420.0,2671.497802734375,3492.0,3544.375,3700.5,4877.333333333333,,,
2006-02-01,4475.0,3525.0,4145.0,3765.0,1081562.0,2489.650146484375,3604.0,3506.875,3618.0,4727.0,,,
2006-02-02,4045.0,3750.0,3950.0,3875.0,314788.0,2562.3896484375,3718.0,3530.625,3599.5,4621.166666666667,,,
