Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2009-11-06,4500.0,3750.0,4050.0,4500.0,7140594.0,4500.0,,,,,,,
2009-11-09,4450.0,3920.0,4365.0,3950.0,3395062.0,3950.0,,,,,,,
2009-11-10,4075.0,3435.0,4015.0,3525.0,2888252.0,3525.0,,,,,,,
2009-11-11,3675.0,3400.0,3475.0,3400.0,1219874.0,3400.0,,,,,,,
2009-11-12,3660.0,3395.0,3415.0,3400.0,1140660.0,3400.0,3755.0,,,,,,
2009-11-13,3575.0,3340.0,3425.0,3340.0,812022.0,3340.0,3523.0,,,,,,
2009-11-16,3390.0,2840.0,3360.0,2840.0,964108.0,2840.0,3301.0,,,,,,
2009-11-17,3185.0,2795.0,2875.0,2845.0,1708314.0,2845.0,3165.0,3475.0,,,,,
2009-11-18,2980.0,2805.0,2910.0,2805.0,544844.0,2805.0,3046.0,3263.125,,,,,
2009-11-19,2870.0,2630.0,2850.0,2630.0,649110.0,2630.0,2892.0,3098.125,3323.5,,,,
2009-11-20,3020.0,2650.0,2650.0,3020.0,2564870.0,3020.0,2828.0,3035.0,3175.5,,,,
2009-11-23,3045.0,2865.0,2960.0,2880.0,1111666.0,2880.0,2836.0,2970.0,3068.5,,,,
2009-11-24,2950.0,2680.0,2940.0,2715.0,711066.0,2715.0,2810.0,2884.375,2987.5,,,,
2009-11-25,2765.0,2635.0,2725.0,2640.0,483266.0,2640.0,2777.0,2796.875,2911.5,,,,
2009-11-26,2745.0,2620.0,2665.0,2670.0,401430.0,2670.0,2785.0,2775.625,2838.5,,,,
2009-11-27,2760.0,2450.0,2630.0,2485.0,462256.0,2485.0,2678.0,2730.625,2753.0,,,,
2009-11-30,2615.0,2530.0,2560.0,2570.0,283150.0,2570.0,2616.0,2701.25,2726.0,,,,
2009-12-01,2725.0,2535.0,2615.0,2595.0,379070.0,2595.0,2592.0,2696.875,2701.0,,,,
2009-12-02,2980.0,2635.0,2650.0,2980.0,1359124.0,2980.0,2660.0,2691.875,2718.5,,,,
2009-12-03,3425.0,3025.0,3100.0,3425.0,2907482.0,3425.0,2811.0,2760.0,2798.0,,,,
2009-12-04,3790.0,3300.0,3440.0,3510.0,3577922.0,3510.0,3016.0,2859.375,2847.0,,,,
