Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-01-04,43300.0,38500.0,40200.0,42000.0,88600.0,42000.0,,,,,,,
2000-01-05,42600.0,38300.0,40000.0,40000.0,80200.0,40000.0,,,,,,,
2000-01-06,41000.0,37200.0,40300.0,39500.0,75200.0,39500.0,,,,,,,
2000-01-07,37900.0,36300.0,37500.0,36950.0,79800.0,36950.0,,,,,,,
2000-01-10,37900.0,36100.0,36950.0,37600.0,66000.0,37600.0,39210.0,,,,,,
2000-01-11,42000.0,37600.0,37600.0,41000.0,118500.0,41000.0,39010.0,,,,,,
2000-01-12,40000.0,38000.0,39900.0,38000.0,112200.0,38000.0,38610.0,,,,,,
2000-01-13,39000.0,37050.0,38100.0,39000.0,43000.0,39000.0,38510.0,39256.25,,,,,
2000-01-14,40900.0,37300.0,38000.0,37300.0,82600.0,37300.0,38580.0,38668.75,,,,,
2000-01-17,39200.0,37500.0,38000.0,38500.0,70300.0,38500.0,38760.0,38481.25,38985.0,,,,
2000-01-18,39400.0,37800.0,39000.0,38200.0,47500.0,38200.0,38200.0,38318.75,38605.0,,,,
2000-01-19,39500.0,36200.0,37500.0,36400.0,117900.0,36400.0,37880.0,38250.0,38245.0,,,,
2000-01-20,37500.0,33000.0,36000.0,35000.0,63400.0,35000.0,37080.0,37925.0,37795.0,,,,
2000-01-21,35200.0,33100.0,35000.0,34500.0,123200.0,34500.0,36520.0,37112.5,37550.0,,,,
2000-01-24,39650.0,32900.0,32900.0,39650.0,428000.0,39650.0,36750.0,37318.75,37755.0,,,,
2000-01-25,42500.0,39700.0,41000.0,39700.0,675400.0,39700.0,37050.0,37406.25,37625.0,,,,
2000-01-26,45650.0,39100.0,39900.0,45650.0,538100.0,45650.0,38900.0,38450.0,38390.0,,,,
2000-01-27,49000.0,43000.0,49000.0,44750.0,443500.0,44750.0,40850.0,39231.25,38965.0,,,,
2000-01-28,49300.0,43500.0,43500.0,46500.0,270700.0,46500.0,43250.0,40268.75,39885.0,,,,
2000-01-31,48700.0,44800.0,46000.0,46600.0,211700.0,46600.0,44640.0,41543.75,40695.0,,,,
2000-02-01,47800.0,44500.0,47600.0,45400.0,127700.0,45400.0,45780.0,42843.75,41415.0,,,,
2000-02-02,47500.0,44800.0,46000.0,45400.0,138000.0,45400.0,45730.0,44206.25,42315.0,,,,
2000-02-03,46250.0,44600.0,45700.0,44600.0,114500.0,44600.0,45700.0,44825.0,43275.0,,,,
2000-02-04,44600.0,44600.0,44600.0,44600.0,0.0,44600.0,45320.0,45437.5,44285.0,,,,
2000-02-07,47500.0,43500.0,43900.0,45000.0,177200.0,45000.0,45000.0,45356.25,44820.0,,,,
2000-02-08,51000.0,43200.0,44800.0,48600.0,424400.0,48600.0,45640.0,45837.5,45710.0,,,,
2000-02-09,51000.0,47100.0,50000.0,48000.0,232500.0,48000.0,46160.0,46025.0,45945.0,,,,
2000-02-10,47800.0,45500.0,46000.0,46500.0,90700.0,46500.0,46540.0,46012.5,46120.0,,,,
2000-02-11,48100.0,44500.0,45000.0,44500.0,75300.0,44500.0,46520.0,45900.0,45920.0,,,,
2000-02-14,44500.0,40200.0,43500.0,43000.0,98400.0,43000.0,46120.0,45600.0,45560.0,41746.666666666664,,,
2000-02-15,42950.0,37000.0,42000.0,37100.0,153300.0,37100.0,43820.0,44662.5,44730.0,41583.333333333336,,,
2000-02-16,40400.0,37500.0,37500.0,39400.0,145000.0,39400.0,42100.0,44012.5,44130.0,41563.333333333336,,,
2000-02-17,44000.0,39000.0,40000.0,40600.0,105900.0,40600.0,40920.0,43462.5,43730.0,41600.0,,,
2000-02-18,42950.0,40400.0,40600.0,41000.0,79200.0,41000.0,40220.0,42512.5,43370.0,41735.0,,,
2000-02-21,44000.0,39500.0,41500.0,40300.0,124400.0,40300.0,39680.0,41550.0,42900.0,41825.0,,,
2000-02-22,41900.0,39000.0,40250.0,39500.0,56600.0,39500.0,40160.0,40675.0,41990.0,41775.0,,,
2000-02-23,41900.0,38500.0,40500.0,39000.0,87100.0,39000.0,40080.0,39987.5,41090.0,41808.333333333336,,,
2000-02-24,39950.0,37500.0,39000.0,38000.0,62300.0,38000.0,39560.0,39362.5,40240.0,41775.0,,,
2000-02-25,38000.0,36200.0,37000.0,37300.0,139900.0,37300.0,38820.0,39387.5,39520.0,41775.0,,,
2000-02-28,38750.0,34850.0,37500.0,35000.0,140600.0,35000.0,37760.0,38837.5,38720.0,41658.333333333336,,,
2000-02-29,37500.0,35200.0,37200.0,36000.0,109600.0,36000.0,37060.0,38262.5,38610.0,41585.0,,,
2000-03-01,36000.0,36000.0,36000.0,36000.0,0.0,36000.0,36460.0,37637.5,38270.0,41571.666666666664,,,
2000-03-02,41400.0,37200.0,37200.0,41000.0,222300.0,41000.0,37060.0,37725.0,38310.0,41771.666666666664,,,
2000-03-03,42300.0,38200.0,42000.0,39100.0,87900.0,39100.0,37420.0,37675.0,38120.0,41925.0,,,
2000-03-06,40800.0,38400.0,39250.0,39500.0,224500.0,39500.0,38320.0,37737.5,38040.0,41920.0,40693.333333333336,,
2000-03-07,40500.0,37500.0,39900.0,37700.0,211000.0,37700.0,38660.0,37700.0,37860.0,41853.333333333336,40597.77777777778,,
2000-03-08,39400.0,36850.0,38000.0,37700.0,148600.0,37700.0,39000.0,37750.0,37730.0,41588.333333333336,40546.666666666664,,
2000-03-09,38900.0,37100.0,37500.0,37500.0,138500.0,37500.0,38300.0,38062.5,37680.0,41346.666666666664,40502.22222222222,,
2000-03-10,40800.0,38250.0,38800.0,39000.0,359200.0,39000.0,38280.0,38437.5,37850.0,41096.666666666664,40547.77777777778,,
2000-03-13,44850.0,39700.0,40000.0,42200.0,441500.0,42200.0,38820.0,39212.5,38570.0,40950.0,40650.0,,
2000-03-14,43900.0,40100.0,42000.0,41100.0,227700.0,41100.0,39500.0,39225.0,39080.0,40806.666666666664,40652.22222222222,,
2000-03-15,40000.0,38550.0,40000.0,39000.0,165100.0,39000.0,39760.0,39212.5,39380.0,40593.333333333336,40674.444444444445,,
2000-03-16,40500.0,37000.0,38550.0,37500.0,91000.0,37500.0,39760.0,38962.5,39030.0,40356.666666666664,40641.11111111111,,
2000-03-17,39450.0,35800.0,38200.0,36300.0,145800.0,36300.0,39220.0,38787.5,38750.0,40080.0,40618.88888888889,,
2000-03-20,38000.0,36000.0,36000.0,37000.0,125100.0,37000.0,38180.0,38700.0,38500.0,39813.333333333336,40585.555555555555,,
2000-03-21,37800.0,36400.0,37800.0,36600.0,92900.0,36600.0,37280.0,38587.5,38390.0,39413.333333333336,40550.0,,
2000-03-22,38800.0,37000.0,37000.0,38600.0,151500.0,38600.0,37200.0,38537.5,38480.0,39100.0,40598.88888888889,,
2000-03-23,40500.0,38000.0,39500.0,38000.0,176000.0,38000.0,37300.0,38012.5,38530.0,38816.666666666664,40665.555555555555,,
2000-03-24,40500.0,37500.0,39000.0,38100.0,324200.0,38100.0,37660.0,37637.5,38440.0,38603.333333333336,40745.555555555555,,
2000-03-27,39500.0,38000.0,39200.0,38700.0,146700.0,38700.0,38000.0,37600.0,38090.0,38460.0,40724.444444444445,40103.333333333336,
2000-03-28,41700.0,38700.0,39000.0,41400.0,335700.0,41400.0,38960.0,38087.5,38120.0,38603.333333333336,40762.22222222222,40093.333333333336,
