Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2015-05-13,1357.5,1182.5,1182.5,1357.5,1033556.0,1357.5,,,,,,,
2015-05-14,1560.0,1560.0,1560.0,1560.0,14390.0,1560.0,,,,,,,
2015-05-15,1792.5,1792.5,1792.5,1792.5,35536.0,1792.5,,,,,,,
2015-05-18,2060.0,1525.0,1782.5,2060.0,5843860.0,2060.0,,,,,,,
2015-05-19,2367.5,1832.5,1975.0,2360.0,2662748.0,2360.0,1826.0,,,,,,
2015-05-20,2670.0,2185.0,2360.0,2302.5,1413732.0,2302.5,2015.0,,,,,,
2015-05-21,2287.5,1957.5,2222.5,1957.5,1986434.0,1957.5,2094.5,,,,,,
2015-05-22,1990.0,1680.0,1945.0,1687.5,1107858.0,1687.5,2073.5,1884.6875,,,,,
2015-05-26,1760.0,1522.5,1675.0,1550.0,508328.0,1550.0,1971.5,1908.75,,,,,
2015-05-27,1665.0,1460.0,1575.0,1460.0,497426.0,1460.0,1791.5,1896.25,1808.75,,,,
2015-05-28,1575.0,1450.0,1465.0,1450.0,359026.0,1450.0,1621.0,1853.4375,1818.0,,,,
2015-05-29,1527.5,1402.5,1435.0,1455.0,175132.0,1455.0,1520.5,1777.8125,1807.5,,,,
2015-06-01,1522.5,1355.0,1515.0,1382.5,201660.0,1382.5,1459.5,1655.625,1766.5,,,,
2015-06-02,1395.0,1260.0,1385.0,1275.0,181540.0,1275.0,1404.5,1527.1875,1688.0,,,,
2015-06-03,1292.5,1222.5,1255.0,1252.5,70076.0,1252.5,1363.0,1439.0625,1577.25,,,,
2015-06-04,1275.0,1165.0,1275.0,1195.0,158622.0,1195.0,1312.0,1377.5,1466.5,,,,
2015-06-05,1372.5,1177.5,1195.0,1372.5,190808.0,1372.5,1295.5,1355.3125,1408.0,,,,
2015-06-08,1577.5,1402.5,1550.0,1577.5,790160.0,1577.5,1334.5,1370.0,1397.0,,,,
2015-06-09,1765.0,1440.0,1590.0,1555.0,772252.0,1555.0,1390.5,1383.125,1397.5,,,,
2015-06-10,1760.0,1487.5,1540.0,1600.0,520448.0,1600.0,1460.0,1401.25,1411.5,,,,
2015-06-11,1697.5,1505.0,1605.0,1505.0,221714.0,1505.0,1522.0,1416.5625,1417.0,,,,
2015-06-12,1505.0,1357.5,1500.0,1367.5,201690.0,1367.5,1521.0,1428.125,1408.25,,,,
2015-06-15,1295.0,1200.0,1270.0,1227.5,360608.0,1227.5,1451.0,1425.0,1392.75,,,,
2015-06-16,1475.0,1225.0,1225.0,1312.5,1035060.0,1312.5,1402.5,1439.6875,1396.5,,,,
2015-06-17,1400.0,1277.5,1365.0,1305.0,496674.0,1305.0,1343.5,1431.25,1401.75,,,,
2015-06-18,1482.5,1295.0,1295.0,1365.0,666876.0,1365.0,1315.5,1404.6875,1418.75,,,,
2015-06-19,1542.5,1375.0,1407.5,1432.5,580710.0,1432.5,1328.5,1389.375,1424.75,,,,
2015-06-22,1472.5,1370.0,1432.5,1400.0,115656.0,1400.0,1363.0,1364.375,1407.0,,,,
2015-06-23,1447.5,1380.0,1447.5,1380.0,147584.0,1380.0,1376.5,1348.75,1389.5,,,,
2015-06-24,1425.0,1352.5,1407.5,1367.5,92804.0,1367.5,1389.0,1348.75,1366.25,1528.8333333333333,,,
2015-06-25,1395.0,1325.0,1352.5,1392.5,94186.0,1392.5,1394.5,1369.375,1355.0,1530.0,,,
2015-06-26,1450.0,1350.0,1417.5,1350.0,133878.0,1350.0,1378.0,1374.0625,1353.25,1523.0,,,
2015-06-29,1342.5,1265.0,1310.0,1310.0,85164.0,1310.0,1360.0,1374.6875,1361.5,1506.9166666666667,,,
2015-06-30,1350.0,1305.0,1310.0,1350.0,35452.0,1350.0,1354.0,1372.8125,1365.25,1483.25,,,
2015-07-01,1352.5,1285.0,1352.5,1342.5,32410.0,1342.5,1349.0,1361.5625,1369.0,1449.3333333333333,,,
2015-07-02,1330.0,1290.0,1310.0,1297.5,66636.0,1297.5,1330.0,1348.75,1362.25,1415.8333333333333,,,
2015-07-03,1425.0,1275.0,1275.0,1410.0,206768.0,1410.0,1342.0,1352.5,1360.0,1397.5833333333333,,,
2015-07-06,1412.5,1340.0,1410.0,1377.5,39508.0,1377.5,1355.5,1353.75,1357.75,1387.25,,,
