Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-05-08,28800.0,28800.0,28800.0,28800.0,5200.0,23175.7421875,,,,,,,
2000-05-09,28800.0,28800.0,28800.0,28800.0,0.0,23175.7421875,,,,,,,
2000-05-10,36100.0,36100.0,36100.0,36100.0,7700.0,29050.14453125,,,,,,,
2000-05-11,36100.0,36100.0,36100.0,36100.0,0.0,29050.14453125,,,,,,,
2000-05-12,40400.0,40400.0,40400.0,40400.0,25900.0,32510.408203125,34040.0,,,,,,
2000-05-15,45200.0,45200.0,45200.0,45200.0,262400.0,36373.03515625,37320.0,,,,,,
2000-05-16,50600.0,41100.0,44200.0,50600.0,3215700.0,40718.484375,41680.0,,,,,,
2000-05-17,53700.0,44600.0,50600.0,44600.0,2371400.0,35890.20703125,43380.0,38825.0,,,,,
2000-05-18,42800.0,39250.0,40500.0,39250.0,701600.0,31584.998046875,44010.0,40131.25,,,,,
2000-05-19,41000.0,36100.0,37500.0,37150.0,1091600.0,29895.09375,43360.0,41175.0,38700.0,,,,
2000-05-22,40400.0,32700.0,35200.0,32800.0,1211100.0,26394.591796875,40880.0,40762.5,39100.0,,,,
2000-05-23,35500.0,30000.0,33900.0,34500.0,1645600.0,27762.599609375,37660.0,40562.5,39670.0,,,,
2000-05-24,38600.0,31400.0,32100.0,38600.0,1770100.0,31061.927734375,36460.0,40337.5,39920.0,,,,
2000-05-25,43200.0,40700.0,41800.0,43200.0,1137500.0,34763.61328125,37250.0,40087.5,40630.0,,,,
2000-05-26,45200.0,38050.0,41100.0,38050.0,1842700.0,30619.326171875,37430.0,38518.75,40395.0,,,,
2000-05-29,35000.0,33500.0,33500.0,33500.0,615400.0,26957.890625,37570.0,37131.25,39225.0,,,,
2000-05-30,33500.0,33500.0,33500.0,33500.0,0.0,26957.890625,37370.0,36412.5,37515.0,,,,
2000-05-31,36400.0,34000.0,34500.0,36400.0,1098900.0,29291.55859375,36930.0,36318.75,36695.0,,,,
2000-06-01,37800.0,33000.0,35150.0,33500.0,1442300.0,26957.890625,34990.0,36406.25,36120.0,,,,
2000-06-02,35800.0,31800.0,35200.0,32950.0,849100.0,26515.298828125,33970.0,36212.5,35700.0,,,,
2000-06-05,36900.0,35000.0,35800.0,36900.0,515600.0,29693.9140625,34650.0,36000.0,36110.0,,,,
2000-06-06,36900.0,36900.0,36900.0,36900.0,0.0,29693.9140625,35330.0,35212.5,36350.0,,,,
2000-06-07,40800.0,36100.0,38900.0,37400.0,1610100.0,30096.26953125,35530.0,35131.25,36230.0,,,,
2000-06-08,37300.0,32950.0,37300.0,32950.0,535700.0,26515.298828125,35420.0,35062.5,35205.0,,,,
2000-06-09,33900.0,30000.0,31550.0,33550.0,592900.0,26998.126953125,35540.0,35068.75,34755.0,,,,
2000-06-12,34800.0,31700.0,32950.0,32650.0,399200.0,26273.884765625,34690.0,34600.0,34670.0,,,,
2000-06-13,32500.0,28750.0,30800.0,29000.0,431500.0,23336.68359375,33110.0,34037.5,34220.0,,,,
2000-06-14,31050.0,27700.0,29800.0,29000.0,571900.0,23336.68359375,31430.0,33543.75,33480.0,,,,
2000-06-15,28950.0,25550.0,28500.0,25550.0,336300.0,20560.41796875,29950.0,32125.0,32685.0,,,,
2000-06-16,26650.0,24200.0,24200.0,25400.0,423800.0,20439.716796875,28320.0,30687.5,31930.0,35443.333333333336,,,
2000-06-19,27300.0,24700.0,25000.0,25400.0,774500.0,20439.716796875,26870.0,29187.5,30780.0,35330.0,,,
2000-06-20,26750.0,25100.0,26500.0,25600.0,499100.0,20600.658203125,26190.0,28268.75,29650.0,35223.333333333336,,,
2000-06-21,28350.0,25200.0,26000.0,27100.0,880200.0,21807.7265625,25810.0,27462.5,28620.0,34923.333333333336,,,
2000-06-22,28400.0,25100.0,28100.0,26000.0,579700.0,20922.541015625,25900.0,26631.25,27925.0,34586.666666666664,,,
2000-06-23,25800.0,24750.0,25500.0,25000.0,269300.0,20117.828125,25820.0,26131.25,27070.0,34073.333333333336,,,
2000-06-26,25000.0,24200.0,24500.0,24900.0,334300.0,20037.36328125,25720.0,25618.75,26295.0,33396.666666666664,,,
2000-06-27,27150.0,24800.0,25600.0,25050.0,592800.0,20158.0625,25610.0,25556.25,25900.0,32545.0,,,
2000-06-28,25400.0,23600.0,25050.0,24000.0,262400.0,19313.115234375,24990.0,25381.25,25400.0,31858.333333333332,,,
2000-06-29,26400.0,23400.0,24150.0,25200.0,644500.0,20278.7734375,24830.0,25356.25,25365.0,31390.0,,,
2000-06-30,28200.0,24800.0,24800.0,26450.0,1367200.0,21284.666015625,25120.0,25462.5,25470.0,31033.333333333332,,,
2000-07-03,27800.0,25700.0,27400.0,26500.0,603700.0,21324.8984375,25440.0,25387.5,25580.0,30823.333333333332,,,
2000-07-04,27500.0,26150.0,26900.0,26400.0,351500.0,21244.427734375,25710.0,25437.5,25660.0,30553.333333333332,,,
2000-07-05,26400.0,23300.0,25400.0,24100.0,333400.0,19393.587890625,25730.0,25325.0,25360.0,30070.0,,,
2000-07-06,23000.0,21250.0,22600.0,21500.0,281400.0,17301.33203125,24990.0,24900.0,24910.0,29346.666666666668,,,
2000-07-07,23650.0,21500.0,22100.0,23300.0,437100.0,18749.818359375,24360.0,24681.25,24740.0,28855.0,31995.555555555555,,
2000-07-10,24500.0,22300.0,23500.0,24300.0,375900.0,19554.529296875,23920.0,24718.75,24680.0,28548.333333333332,31895.555555555555,,
2000-07-11,24500.0,21400.0,23800.0,21400.0,343100.0,17220.861328125,22920.0,24243.75,24315.0,28145.0,31731.11111111111,,
2000-07-12,23100.0,20100.0,21400.0,22300.0,682400.0,17945.103515625,22560.0,23725.0,24145.0,27675.0,31424.444444444445,,
2000-07-13,22000.0,19650.0,21900.0,19800.0,275300.0,15933.3193359375,22220.0,22887.5,23605.0,27218.333333333332,31062.222222222223,,
2000-07-14,20500.0,18750.0,20000.0,19000.0,271600.0,15289.5517578125,21360.0,21962.5,22860.0,26753.333333333332,30586.666666666668,,
2000-07-17,19000.0,19000.0,19000.0,19000.0,0.0,15289.5517578125,20300.0,21325.0,22110.0,26156.666666666668,30004.444444444445,,
2000-07-18,19750.0,18250.0,19100.0,18450.0,253100.0,14846.95703125,19710.0,20943.75,21315.0,25541.666666666668,29290.0,,
2000-07-19,19750.0,18250.0,19100.0,18450.0,253100.0,14846.95703125,18940.0,20337.5,20750.0,24910.0,28708.88888888889,,
2000-07-20,16500.0,14450.0,15300.0,16300.0,315100.0,13116.826171875,18240.0,19337.5,20230.0,24355.0,28198.88888888889,,
2000-07-21,16600.0,15650.0,16500.0,15800.0,247800.0,12714.4697265625,17600.0,18637.5,19480.0,23763.333333333332,27724.444444444445,,
2000-07-24,16300.0,14000.0,16000.0,14350.0,267200.0,11547.6328125,16670.0,17643.75,18485.0,23153.333333333332,27314.444444444445,,
2000-07-25,14850.0,13800.0,14500.0,14350.0,300800.0,11547.6328125,15850.0,16962.5,17780.0,22665.0,26866.666666666668,,
2000-07-26,15850.0,14050.0,14550.0,15150.0,563700.0,12191.4052734375,15190.0,16481.25,17065.0,22203.333333333332,26345.555555555555,,
2000-07-27,16050.0,14950.0,15250.0,15500.0,418200.0,12473.0546875,15030.0,16043.75,16635.0,21868.333333333332,25730.0,,
2000-07-28,16200.0,14550.0,15100.0,14600.0,380500.0,11748.8134765625,14790.0,15562.5,16195.0,21508.333333333332,25208.88888888889,28475.833333333332,
2000-07-31,14300.0,13650.0,14100.0,14000.0,219700.0,11265.9853515625,14720.0,15006.25,15695.0,21128.333333333332,24775.555555555555,28229.166666666668,
2000-08-01,15250.0,14100.0,14400.0,15000.0,363400.0,12070.697265625,14850.0,14843.75,15350.0,20775.0,24364.444444444445,27999.166666666668,
2000-08-02,16300.0,14600.0,15000.0,15350.0,506000.0,12352.3466796875,14890.0,14787.5,15040.0,20383.333333333332,23896.666666666668,27653.333333333332,
2000-08-03,17150.0,15500.0,15650.0,16850.0,708800.0,13559.416015625,15160.0,15100.0,15095.0,20078.333333333332,23526.666666666668,27332.5,
2000-08-04,17400.0,15500.0,17100.0,15900.0,457000.0,12794.9384765625,15420.0,15293.75,15105.0,19775.0,23147.777777777777,26924.166666666668,
2000-08-07,16200.0,14700.0,16200.0,14900.0,286800.0,11990.2265625,15600.0,15262.5,15160.0,19441.666666666668,22658.88888888889,26419.166666666668,
2000-08-08,15300.0,14100.0,14500.0,14350.0,258500.0,11547.6328125,15470.0,15118.75,15160.0,19085.0,22157.777777777777,25815.0,
2000-08-09,15100.0,14200.0,14700.0,14300.0,459400.0,11507.396484375,15260.0,15081.25,15075.0,18761.666666666668,21644.444444444445,25310.0,
