Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2007-06-01,7800.0,6210.0,7300.0,6210.0,1160200.0,6210.0,,,,,,,
2007-06-04,7100.0,5840.0,6160.0,6680.0,417100.0,6680.0,,,,,,,
2007-06-05,7170.0,6400.0,6800.0,6480.0,176900.0,6480.0,,,,,,,
2007-06-07,7050.0,6120.0,6320.0,6970.0,243300.0,6970.0,,,,,,,
2007-06-08,7280.0,6750.0,7050.0,6800.0,180000.0,6800.0,6628.0,,,,,,
2007-06-11,6990.0,6520.0,6860.0,6590.0,55200.0,6590.0,6704.0,,,,,,
2007-06-12,6750.0,6300.0,6740.0,6360.0,51800.0,6360.0,6640.0,,,,,,
2007-06-13,6510.0,6200.0,6360.0,6210.0,32300.0,6210.0,6586.0,6537.5,,,,,
2007-06-14,6650.0,6150.0,6290.0,6400.0,69200.0,6400.0,6472.0,6561.25,,,,,
2007-06-15,6480.0,6250.0,6400.0,6320.0,47800.0,6320.0,6376.0,6516.25,6502.0,,,,
2007-06-18,6450.0,6200.0,6350.0,6200.0,50400.0,6200.0,6298.0,6481.25,6501.0,,,,
2007-06-19,6380.0,6180.0,6380.0,6180.0,33100.0,6180.0,6262.0,6382.5,6451.0,,,,
2007-06-20,6170.0,5840.0,6100.0,5900.0,59800.0,5900.0,6200.0,6270.0,6393.0,,,,
2007-06-21,6050.0,5900.0,5900.0,6000.0,30000.0,6000.0,6120.0,6196.25,6296.0,,,,
2007-06-22,6090.0,5960.0,6000.0,6020.0,14300.0,6020.0,6060.0,6153.75,6218.0,,,,
2007-06-25,6100.0,5750.0,6100.0,5890.0,17800.0,5890.0,5998.0,6113.75,6148.0,,,,
2007-06-26,6060.0,5650.0,6060.0,5750.0,24300.0,5750.0,5912.0,6032.5,6087.0,,,,
2007-06-27,5790.0,5280.0,5660.0,5280.0,26900.0,5280.0,5788.0,5902.5,5994.0,,,,
2007-06-28,5310.0,5070.0,5250.0,5180.0,20600.0,5180.0,5624.0,5775.0,5872.0,,,,
2007-06-29,5180.0,4990.0,5180.0,4990.0,43200.0,4990.0,5418.0,5626.25,5739.0,,,,
2007-07-02,4990.0,4380.0,4570.0,4475.0,874900.0,4475.0,5135.0,5448.125,5566.5,,,,
2007-07-03,4670.0,4480.0,4540.0,4595.0,321200.0,4595.0,4904.0,5272.5,5408.0,,,,
2007-07-04,5240.0,4550.0,4630.0,5020.0,484900.0,5020.0,4852.0,5147.5,5320.0,,,,
2007-07-05,5160.0,4685.0,5030.0,4700.0,311200.0,4700.0,4756.0,4998.75,5190.0,,,,
2007-07-06,4800.0,4630.0,4630.0,4775.0,77800.0,4775.0,4713.0,4876.875,5065.5,,,,
2007-07-09,4990.0,4805.0,4870.0,4860.0,81600.0,4860.0,4790.0,4824.375,4962.5,,,,
2007-07-10,4890.0,4735.0,4810.0,4770.0,117600.0,4770.0,4825.0,4773.125,4864.5,,,,
2007-07-11,4790.0,4645.0,4770.0,4760.0,112700.0,4760.0,4773.0,4744.375,4812.5,,,,
2007-07-12,4890.0,4700.0,4700.0,4870.0,86700.0,4870.0,4807.0,4793.75,4781.5,,,,
2007-07-13,5000.0,4860.0,5000.0,4945.0,91200.0,4945.0,4841.0,4837.5,4777.0,5672.666666666667,,,
