Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-01-04,34000.0,29590.900390625,29590.900390625,34000.0,172304.0,31332.2890625,,,,,,,
2000-01-05,36772.69921875,30681.80078125,33181.80078125,34954.5,294778.0,32211.900390625,,,,,,,
2000-01-06,37045.5,33727.30078125,35954.5,35454.5,154242.0,32672.66796875,,,,,,,
2000-01-07,36363.6015625,33863.6015625,34590.8984375,35772.69921875,173228.0,32965.90234375,,,,,,,
2000-01-10,37500.0,35681.80078125,36818.19921875,35909.1015625,171336.0,33091.6015625,35218.16015625,,,,,,
2000-01-11,36363.6015625,34136.3984375,35454.5,35909.1015625,246290.0,33091.6015625,35599.98046875,,,,,,
2000-01-12,35818.19921875,31818.19921875,35454.5,31818.19921875,147796.0,29321.6796875,34972.7203125,,,,,,
2000-01-13,32818.19921875,30227.30078125,31590.900390625,31818.19921875,99088.0,29321.6796875,34245.46015625,34454.53759765625,,,,,
2000-01-14,34409.1015625,31181.80078125,31818.19921875,31500.0,103400.0,29028.4453125,33390.9203125,34142.03759765625,,,,,
2000-01-17,32454.5,31000.0,31818.19921875,31272.69921875,94446.0,28818.98046875,32463.63984375,33681.8125,33840.9,,,,
2000-01-18,31227.30078125,29590.900390625,30000.0,29772.69921875,110286.0,27436.673828125,31236.359375,32971.58740234375,33418.169921875,,,,
2000-01-19,29636.400390625,26818.19921875,29545.5,26818.19921875,118800.0,24713.98828125,30236.359375,31852.27490234375,32604.53984375,,,,
2000-01-20,28636.400390625,26863.599609375,28181.80078125,27863.599609375,108922.0,25677.365234375,29445.439453125,30846.587158203125,31845.4498046875,,,,
2000-01-21,29090.900390625,26454.5,27954.5,27909.099609375,75988.0,25719.294921875,28727.259375,29846.5869140625,31059.08984375,,,,
2000-01-24,30454.5,27363.599609375,27363.599609375,28681.80078125,125686.0,26431.369140625,28209.0796875,29454.537109375,30336.359765625,,,,
2000-01-25,28636.400390625,26909.099609375,28636.400390625,27136.400390625,118558.0,25007.224609375,27681.819921875,28869.312255859375,29459.0896484375,,,,
