Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-01-04,11800.0,10300.0,10300.0,11500.0,13100.0,5482.99609375,,,,,,,
2000-01-05,11950.0,11050.0,11500.0,11300.0,12800.0,5387.64111328125,,,,,,,
2000-01-06,11900.0,11000.0,11900.0,11000.0,9000.0,5244.60498046875,,,,,,,
2000-01-07,11400.0,10550.0,10550.0,10900.0,6700.0,5196.92626953125,,,,,,,
2000-01-10,11300.0,10900.0,10900.0,11000.0,15700.0,5244.60498046875,11140.0,,,,,,
2000-01-11,11400.0,10900.0,11100.0,11000.0,23800.0,5244.60498046875,11040.0,,,,,,
2000-01-12,11300.0,10800.0,11200.0,10850.0,10200.0,5173.08740234375,10950.0,,,,,,
2000-01-13,11600.0,10850.0,11150.0,11200.0,54400.0,5339.96142578125,10990.0,11093.75,,,,,
2000-01-14,12300.0,11250.0,11500.0,12150.0,132900.0,5792.904296875,11240.0,11175.0,,,,,
2000-01-17,12500.0,11850.0,12300.0,12500.0,90300.0,5959.77783203125,11540.0,11325.0,11340.0,,,,
2000-01-18,13700.0,12400.0,12700.0,13000.0,209600.0,6198.1689453125,11940.0,11575.0,11490.0,,,,
2000-01-19,13450.0,12350.0,12500.0,12800.0,85400.0,6102.81201171875,12330.0,11812.5,11640.0,,,,
2000-01-20,14500.0,11750.0,12500.0,13300.0,261300.0,6341.2041015625,12750.0,12100.0,11870.0,,,,
2000-01-21,13600.0,12100.0,13000.0,12700.0,181200.0,6055.134765625,12860.0,12312.5,12050.0,,,,
2000-01-24,12700.0,12000.0,12700.0,12700.0,62200.0,6055.134765625,12900.0,12543.75,12220.0,,,,
2000-01-25,12800.0,12200.0,12700.0,12500.0,35300.0,5959.77783203125,12800.0,12706.25,12370.0,,,,
2000-01-26,13500.0,12300.0,12300.0,13350.0,51600.0,6365.04296875,12910.0,12856.25,12620.0,,,,
2000-01-27,14850.0,13100.0,13500.0,14250.0,200300.0,6794.1474609375,13100.0,13075.0,12925.0,,,,
2000-01-28,14700.0,13550.0,14200.0,14100.0,95300.0,6722.6298828125,13380.0,13212.5,13120.0,,,,
2000-01-31,14150.0,13250.0,13900.0,13500.0,26600.0,6436.5595703125,13540.0,13300.0,13220.0,,,,
2000-02-01,14000.0,13200.0,13700.0,13900.0,33800.0,6627.27294921875,13820.0,13375.0,13310.0,,,,
2000-02-02,14450.0,13500.0,13500.0,14200.0,42800.0,6770.30908203125,13990.0,13562.5,13450.0,,,,
2000-02-03,14500.0,13400.0,14200.0,13400.0,16000.0,6388.88232421875,13820.0,13650.0,13460.0,,,,
2000-02-04,13400.0,13400.0,13400.0,13400.0,0.0,6388.88232421875,13680.0,13762.5,13530.0,,,,
2000-02-07,13800.0,13050.0,13400.0,13400.0,33500.0,6388.88232421875,13660.0,13768.75,13600.0,,,,
2000-02-08,13500.0,12500.0,13400.0,13100.0,62000.0,6245.84765625,13500.0,13625.0,13660.0,,,,
2000-02-09,13500.0,12800.0,13500.0,13100.0,34900.0,6245.84765625,13280.0,13500.0,13635.0,,,,
2000-02-10,12850.0,12100.0,12850.0,12500.0,36200.0,5959.77783203125,13100.0,13375.0,13460.0,,,,
2000-02-11,12700.0,10800.0,12100.0,12700.0,42600.0,6055.134765625,12960.0,13225.0,13320.0,,,,
2000-02-14,12000.0,11300.0,11400.0,11300.0,26900.0,5387.64111328125,12540.0,12862.5,13100.0,12553.333333333334,,,
2000-02-15,11600.0,10700.0,11100.0,11500.0,29300.0,5482.99609375,12220.0,12625.0,12860.0,12553.333333333334,,,
2000-02-16,11800.0,10800.0,11400.0,11650.0,16100.0,5554.51318359375,11930.0,12406.25,12605.0,12565.0,,,
2000-02-17,11900.0,11200.0,11600.0,11700.0,17400.0,5578.3525390625,11770.0,12193.75,12435.0,12588.333333333334,,,
2000-02-18,11800.0,10900.0,11800.0,11500.0,47000.0,5482.99609375,11530.0,11993.75,12245.0,12608.333333333334,,,
2000-02-21,11500.0,10050.0,11500.0,11200.0,44100.0,5339.96142578125,11510.0,11756.25,12025.0,12615.0,,,
2000-02-22,11750.0,10600.0,11500.0,11050.0,26600.0,5268.4443359375,11420.0,11575.0,11820.0,12616.666666666666,,,
2000-02-23,12700.0,11000.0,11100.0,12700.0,78500.0,6055.134765625,11630.0,11575.0,11780.0,12678.333333333334,,,
2000-02-24,12500.0,11000.0,12500.0,11300.0,21200.0,5387.64111328125,11550.0,11575.0,11660.0,12681.666666666666,,,
2000-02-25,11500.0,11100.0,11300.0,11250.0,11800.0,5363.80078125,11500.0,11543.75,11515.0,12651.666666666666,,,
2000-02-28,11650.0,11000.0,11450.0,11250.0,16700.0,5363.80078125,11510.0,11493.75,11510.0,12610.0,,,
2000-02-29,12200.0,10100.0,12200.0,11900.0,45900.0,5673.7099609375,11680.0,11518.75,11550.0,12573.333333333334,,,
2000-03-01,11900.0,11900.0,11900.0,11900.0,0.0,5673.7099609375,11520.0,11568.75,11575.0,12543.333333333334,,,
2000-03-02,12750.0,11500.0,11500.0,11900.0,50900.0,5673.7099609375,11640.0,11656.25,11595.0,12496.666666666666,,,
2000-03-03,12550.0,11700.0,12500.0,11900.0,17100.0,5673.7099609375,11770.0,11762.5,11635.0,12470.0,,,
2000-03-06,12400.0,11600.0,12100.0,12150.0,50400.0,5792.904296875,11950.0,11693.75,11730.0,12451.666666666666,12254.444444444445,,
2000-03-07,12700.0,11900.0,12500.0,11900.0,43300.0,5673.7099609375,11950.0,11768.75,11815.0,12431.666666666666,12263.333333333334,,
2000-03-08,12300.0,11600.0,12000.0,12150.0,44700.0,5792.904296875,12000.0,11881.25,11760.0,12391.666666666666,12282.222222222223,,
2000-03-09,12300.0,11600.0,12200.0,12100.0,93600.0,5769.0654296875,12040.0,11987.5,11840.0,12320.0,12306.666666666666,,
2000-03-10,13400.0,11700.0,12000.0,12100.0,96800.0,5769.0654296875,12080.0,12012.5,11925.0,12253.333333333334,12333.333333333334,,
2000-03-13,13200.0,12200.0,12500.0,13000.0,98100.0,6198.1689453125,12250.0,12150.0,12100.0,12236.666666666666,12377.777777777777,,
2000-03-14,13300.0,12500.0,13200.0,13100.0,78700.0,6245.84765625,12490.0,12300.0,12220.0,12210.0,12424.444444444445,,
2000-03-15,13400.0,12700.0,12800.0,13350.0,47800.0,6365.04296875,12730.0,12481.25,12365.0,12181.666666666666,12480.0,,
2000-03-16,14100.0,12500.0,13700.0,13000.0,68200.0,6198.1689453125,12910.0,12587.5,12475.0,12168.333333333334,12520.0,,
2000-03-17,13200.0,12350.0,13200.0,12350.0,21000.0,5888.26123046875,12960.0,12643.75,12520.0,12133.333333333334,12524.444444444445,,
2000-03-20,12650.0,11900.0,12200.0,12500.0,38300.0,5959.77783203125,12860.0,12687.5,12555.0,12103.333333333334,12524.444444444445,,
2000-03-21,12800.0,12100.0,12200.0,12500.0,12700.0,5959.77783203125,12740.0,12737.5,12615.0,12083.333333333334,12513.333333333334,,
2000-03-22,12650.0,12000.0,12600.0,12500.0,39200.0,5959.77783203125,12570.0,12787.5,12650.0,12063.333333333334,12506.666666666666,,
2000-03-23,12700.0,11850.0,12200.0,12400.0,42200.0,5912.10009765625,12450.0,12712.5,12680.0,12060.0,12486.666666666666,,
2000-03-24,12850.0,12000.0,12100.0,12000.0,32800.0,5721.38671875,12380.0,12575.0,12670.0,12036.666666666666,12471.111111111111,,
2000-03-27,12750.0,12100.0,12400.0,12350.0,27700.0,5888.26123046875,12350.0,12450.0,12605.0,12071.666666666666,12463.333333333334,12312.5,
2000-03-28,12400.0,12100.0,12400.0,12100.0,13000.0,5769.0654296875,12270.0,12337.5,12505.0,12091.666666666666,12454.444444444445,12322.5,
2000-03-29,12450.0,11500.0,12050.0,11550.0,83900.0,5506.83544921875,12080.0,12237.5,12325.0,12088.333333333334,12414.444444444445,12326.666666666666,
2000-03-30,11700.0,11000.0,11600.0,11200.0,21700.0,5339.96142578125,11840.0,12075.0,12145.0,12071.666666666666,12346.666666666666,12330.0,
2000-03-31,11700.0,11200.0,11600.0,11500.0,30700.0,5482.99609375,11740.0,11950.0,12060.0,12071.666666666666,12288.888888888889,12340.0,
2000-04-03,11500.0,11000.0,11500.0,11200.0,14700.0,5339.96142578125,11510.0,11787.5,11930.0,12071.666666666666,12237.777777777777,12343.333333333334,
2000-04-04,11900.0,10150.0,10800.0,10150.0,25200.0,4839.33984375,11120.0,11506.25,11695.0,12041.666666666666,12154.444444444445,12329.166666666666,
2000-04-05,10150.0,10150.0,10150.0,10150.0,0.0,4839.33984375,10840.0,11275.0,11460.0,11956.666666666666,12064.444444444445,12317.5,
2000-04-06,11000.0,9500.0,10300.0,10700.0,302700.0,5101.5703125,10740.0,11068.75,11290.0,11936.666666666666,12004.444444444445,12309.166666666666,
2000-04-07,11300.0,10400.0,11000.0,11250.0,105900.0,5363.80078125,10690.0,10962.5,11215.0,11936.666666666666,11956.666666666666,12294.166666666666,
