Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-02-11,235000.0,222500.0,224750.0,235000.0,1431540.0,183366.390625,,,,,,,
2000-02-14,259500.0,215000.0,235000.0,233500.0,1678140.0,182195.96875,,,,,,,
2000-02-15,242000.0,205500.0,235500.0,205500.0,1123120.0,160348.078125,,,,,,,
2000-02-16,225000.0,185000.0,197500.0,221000.0,1948440.0,172442.4375,,,,,,,
2000-02-17,242000.0,211000.0,219750.0,227000.0,1710260.0,177124.140625,224400.0,,,,,,
2000-02-18,242000.0,220750.0,239500.0,222500.0,1360860.0,173612.890625,221900.0,,,,,,
2000-02-21,230000.0,200500.0,205000.0,204000.0,1102160.0,159177.625,216000.0,,,,,,
2000-02-22,215000.0,187750.0,210500.0,197500.0,971960.0,154105.796875,214400.0,218250.0,,,,,
2000-02-23,207250.0,180000.0,190000.0,200000.0,996780.0,156056.515625,210200.0,213875.0,,,,,
2000-02-24,224000.0,211250.0,217000.0,224000.0,819360.0,174783.3125,209600.0,212687.5,217000.0,,,,
2000-02-25,237500.0,210000.0,235000.0,213000.0,1403160.0,166200.1875,207700.0,213625.0,214800.0,,,,
2000-02-28,221000.0,198000.0,210000.0,203500.0,909460.0,158787.53125,207600.0,211437.5,211800.0,,,,
2000-02-29,212000.0,195500.0,210000.0,203000.0,947360.0,158397.359375,208700.0,208437.5,211550.0,,,,
2000-03-01,203000.0,203000.0,203000.0,203000.0,0.0,158397.359375,209300.0,206000.0,209750.0,,,,
2000-03-02,220000.0,198000.0,215000.0,204000.0,881600.0,159177.625,205300.0,206000.0,207450.0,,,,
2000-03-03,197500.0,185000.0,195000.0,193750.0,588460.0,151179.78125,201450.0,205531.25,204575.0,,,,
2000-03-06,205000.0,187500.0,200500.0,191500.0,522980.0,149424.125,199050.0,204468.75,203325.0,,,,
2000-03-07,196500.0,179000.0,182500.0,184500.0,500160.0,143962.140625,195350.0,199531.25,202025.0,,,,
2000-03-08,182250.0,172750.0,177500.0,179500.0,653080.0,140060.71875,190650.0,195343.75,199975.0,,,,
2000-03-09,201000.0,181000.0,182500.0,201000.0,955820.0,156836.796875,190050.0,195031.25,197675.0,,,,
2000-03-10,219000.0,192750.0,208500.0,196500.0,1071340.0,153325.546875,190600.0,194218.75,196025.0,,,,
2000-03-13,201500.0,182500.0,196500.0,184250.0,513800.0,143767.046875,189150.0,191875.0,194100.0,,,,
2000-03-14,189000.0,174000.0,175000.0,180250.0,439060.0,140645.953125,188300.0,188906.25,191825.0,,,,
2000-03-15,182000.0,172500.0,176500.0,177500.0,514760.0,138500.15625,187900.0,186875.0,189275.0,,,,
2000-03-16,191750.0,172750.0,175000.0,180500.0,759400.0,140841.0,183800.0,185500.0,186925.0,,,,
2000-03-17,183500.0,159000.0,180000.0,160000.0,437900.0,124845.203125,176500.0,182437.5,183550.0,,,,
2000-03-20,157500.0,141000.0,155500.0,141000.0,346300.0,110019.8515625,167850.0,177625.0,178500.0,,,,
2000-03-21,145750.0,124750.0,127000.0,139000.0,895080.0,108459.2734375,159600.0,169875.0,173950.0,,,,
2000-03-22,154500.0,142500.0,144000.0,146500.0,969620.0,114311.3828125,153400.0,163625.0,170650.0,,,,
2000-03-23,151500.0,131250.0,148500.0,135000.0,570240.0,105338.1328125,144300.0,157468.75,164050.0,192908.33333333334,,,
2000-03-24,142000.0,133250.0,140000.0,139500.0,497720.0,108849.421875,140200.0,152375.0,158350.0,189725.0,,,
2000-03-27,156000.0,141000.0,142500.0,156000.0,851540.0,121724.0625,143200.0,149687.5,155525.0,187141.66666666666,,,
2000-03-28,161000.0,149000.0,158000.0,152750.0,607600.0,119188.1484375,145950.0,146218.75,152775.0,185383.33333333334,,,
2000-03-29,152000.0,142500.0,149000.0,145000.0,354720.0,113140.96875,145650.0,144343.75,149525.0,182850.0,,,
2000-03-30,149000.0,127750.0,138000.0,140000.0,483480.0,109239.5546875,146650.0,144218.75,145475.0,179950.0,,,
2000-03-31,138000.0,128000.0,133000.0,130000.0,409380.0,101436.71875,144750.0,143093.75,142475.0,176866.66666666666,,,
2000-04-03,134500.0,114500.0,131500.0,114500.0,458560.0,89342.34375,136450.0,139093.75,139825.0,173883.33333333334,,,
2000-04-04,125000.0,101000.0,103500.0,112000.0,1140140.0,87391.65625,128300.0,136218.75,137125.0,171033.33333333334,,,
