Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2015-01-26,17685.900390625,14633.2001953125,16668.30078125,16329.099609375,3128593.0,14613.34765625,,,,,,,
2015-01-27,16571.400390625,15505.400390625,16329.099609375,16135.2998046875,570104.0,14439.912109375,,,,,,,
2015-01-28,18509.599609375,16086.900390625,16183.7998046875,18315.80078125,2051161.0,16391.298828125,,,,,,,
2015-01-29,19478.69921875,17831.19921875,18461.099609375,18606.5,1069611.0,16651.45703125,,,,,,,
2015-01-30,19381.80078125,18025.099609375,18461.099609375,18945.69921875,613383.0,16955.013671875,17666.4798828125,,,,,,
2015-02-02,19914.80078125,18703.400390625,19236.400390625,18703.400390625,487167.0,16738.171875,18141.3400390625,,,,,,
2015-02-03,20011.69921875,18412.69921875,19139.5,20011.69921875,439436.0,17909.0078125,18916.619921875,,,,,,
2015-02-04,21562.19921875,19769.400390625,20157.099609375,20883.900390625,661350.0,18689.564453125,19430.23984375,18491.424926757812,,,,,
2015-02-05,21126.099609375,19866.30078125,21126.099609375,20496.19921875,336796.0,18342.59765625,19808.1796875,19012.312377929688,,,,,
2015-02-06,20932.30078125,19139.5,20932.30078125,19721.0,437180.0,17648.8515625,19963.23984375,19460.52490234375,18814.85986328125,,,,
2015-02-09,20011.69921875,18461.099609375,19769.400390625,18606.5,513623.0,16651.45703125,19943.859765625,19496.8623046875,19042.59990234375,,,,
2015-02-10,18994.099609375,18025.099609375,18606.5,18655.0,330543.0,16694.859375,19672.519921875,19502.9248046875,19294.569921875,,,,
2015-02-11,19042.599609375,18170.400390625,18606.5,18315.80078125,363105.0,16391.298828125,19158.9,19424.1875,19294.569921875,,,,
2015-02-12,20205.5,18364.19921875,18364.19921875,20108.599609375,554622.0,17995.724609375,19081.380078125,19599.83740234375,19444.7798828125,,,,
2015-02-13,20641.599609375,19672.5,20060.099609375,20108.599609375,321533.0,17995.724609375,19158.9,19611.949951171875,19561.069921875,,,,
2015-02-16,20641.599609375,19817.900390625,20205.5,19963.19921875,177713.0,17865.6015625,19430.23984375,19496.8623046875,19687.0498046875,,,,
2015-02-17,20254.0,19478.69921875,20108.599609375,20254.0,132984.0,18125.849609375,19750.03984375,19466.58740234375,19711.2798828125,,,,
2015-02-23,20399.30078125,19672.5,20254.0,20157.099609375,104482.0,18039.12890625,20118.299609375,19521.099853515625,19638.5998046875,,,,
2015-02-24,20254.0,19721.0,20157.099609375,20108.599609375,108642.0,17995.724609375,20118.299609375,19708.8623046875,19599.83984375,,,,
2015-02-25,20205.5,19139.5,20060.099609375,19188.0,279053.0,17171.853515625,19934.1796875,19775.4873046875,19546.53984375,,,,
2015-02-26,19527.099609375,18606.5,19042.599609375,19139.5,266028.0,17128.451171875,19769.43984375,19878.44970703125,19599.83984375,,,,
2015-02-27,19769.400390625,18945.69921875,19139.5,19672.5,222317.0,17605.447265625,19653.13984375,19823.937255859375,19701.58984375,,,,
2015-03-02,19866.30078125,19188.0,19478.69921875,19527.099609375,201908.0,17475.326171875,19527.13984375,19751.249755859375,19822.7197265625,,,,
2015-03-03,20302.400390625,19478.69921875,19769.400390625,20302.400390625,232000.0,18169.162109375,19565.9,19793.64990234375,19842.0998046875,,,,
2015-03-04,21465.30078125,20205.5,20302.400390625,20787.0,631992.0,18602.84375,19885.7,19860.27490234375,19909.93984375,,,,
2015-03-05,20883.900390625,20060.099609375,20883.900390625,20108.599609375,376329.0,17995.724609375,20079.519921875,19854.21240234375,19924.4798828125,,,,
2015-03-06,20641.599609375,20011.69921875,20205.5,20350.900390625,129093.0,18212.564453125,20215.2,19884.5,19934.169921875,,,,
2015-03-09,20883.900390625,19963.19921875,20302.400390625,20738.5,162516.0,18559.439453125,20457.480078125,20078.3125,19992.3099609375,,,,
2015-03-10,20835.400390625,20011.69921875,20690.0,20302.400390625,119714.0,18169.162109375,20457.480078125,20223.675048828125,20011.6900390625,,,,
2015-03-11,20060.099609375,19333.30078125,19866.30078125,19866.30078125,239406.0,17778.8828125,20273.340234375,20247.900146484375,20079.5201171875,19480.306608072915,,,
2015-03-12,20011.69921875,19381.80078125,19866.30078125,19866.30078125,121981.0,17778.8828125,20224.88046875,20290.30029296875,20152.2001953125,19598.213313802084,,,
2015-03-13,20787.0,19769.400390625,19769.400390625,20641.599609375,187261.0,18472.720703125,20283.0203125,20332.7001953125,20249.11015625,19748.423307291665,,,
2015-03-16,20883.900390625,20254.0,20641.599609375,20787.0,133064.0,18602.84375,20292.7203125,20332.7001953125,20375.1001953125,19830.796614583334,,,
2015-03-17,21077.69921875,20399.30078125,20932.30078125,20738.5,210243.0,18559.439453125,20379.940234375,20411.437744140625,20418.71015625,19901.86328125,,,
2015-03-18,20690.0,19963.19921875,20593.099609375,20157.099609375,151662.0,18039.12890625,20438.1,20387.212646484375,20355.7201171875,19942.243294270833,,,
2015-03-19,20641.599609375,20108.599609375,20496.19921875,20593.099609375,206738.0,18429.314453125,20583.459765625,20369.03759765625,20404.1701171875,20005.233268229167,,,
2015-03-20,20883.900390625,19769.400390625,20593.099609375,20108.599609375,318512.0,17995.724609375,20476.859765625,20344.8125,20379.9400390625,20008.46328125,,,
2015-03-23,20544.69921875,19914.80078125,20060.099609375,20350.900390625,126266.0,18212.564453125,20389.63984375,20405.387451171875,20341.180078125,19990.696614583332,,,
2015-03-24,22046.80078125,20157.099609375,20302.400390625,21513.80078125,461822.0,19253.27734375,20544.7,20611.324951171875,20462.3201171875,20024.616666666665,,,
2015-03-25,22773.599609375,21465.30078125,21610.69921875,22289.0,632618.0,19947.025390625,20971.080078125,20817.25,20704.5900390625,20110.216666666667,,,
2015-03-26,22240.599609375,21223.0,22095.19921875,21320.0,320923.0,19079.83984375,21116.46015625,20883.875,20849.9599609375,20200.666666666668,,,
2015-03-27,21949.900390625,20883.900390625,21368.400390625,21174.599609375,254713.0,18949.716796875,21329.66015625,20938.387451171875,20903.2599609375,20284.6533203125,,,
2015-03-30,21998.30078125,20835.400390625,21029.19921875,21901.400390625,246723.0,19600.150390625,21639.76015625,21156.425048828125,21014.7,20404.173307291665,,,
2015-03-31,22095.19921875,21271.5,22095.19921875,21562.19921875,142710.0,19296.58984375,21649.43984375,21277.5625,21097.069921875,20452.626627604168,,,
2015-04-01,22386.0,21174.599609375,21465.30078125,22337.5,292908.0,19990.427734375,21659.13984375,21556.175048828125,21315.1099609375,20526.923307291665,19994.462174479166,,
2015-04-02,22531.30078125,21610.69921875,22531.30078125,21707.599609375,231675.0,19426.7109375,21736.659765625,21725.762451171875,21426.5599609375,20585.069986979168,20113.984396701388,,
2015-04-03,22046.80078125,21223.0,21901.400390625,21707.599609375,151910.0,19426.7109375,21843.259765625,21749.9873046875,21586.4599609375,20633.523307291667,20237.81328125,,
2015-04-06,21707.599609375,20883.900390625,21465.30078125,20932.30078125,245402.0,18732.875,21649.43984375,21580.39990234375,21644.6,20659.363346354166,20295.957725694443,,
2015-04-07,21998.30078125,20593.099609375,20932.30078125,21901.400390625,317202.0,19600.150390625,21717.280078125,21653.074951171875,21683.3599609375,20719.123372395832,20369.177734375,,
2015-04-08,22143.69921875,21659.099609375,21853.0,21901.400390625,139886.0,19600.150390625,21630.06015625,21743.925048828125,21644.6,20809.570052083334,20434.85998263889,,
2015-04-09,22240.599609375,21610.69921875,22046.80078125,21756.0,127121.0,19470.025390625,21639.740234375,21725.75,21688.2,20896.78671875,20502.69552951389,,
2015-04-10,22482.900390625,21610.69921875,21756.0,21853.0,282983.0,19556.8359375,21668.8203125,21762.10009765625,21756.0400390625,20969.470052083332,20543.61332465278,,
2015-04-13,23112.80078125,21804.5,22143.69921875,22676.69921875,224412.0,20293.984375,22017.7,21804.5,21833.569921875,21074.456705729168,20583.45329861111,,
2015-04-14,23112.80078125,21513.80078125,22579.80078125,21756.0,229268.0,19470.025390625,21988.619921875,21810.550048828125,21852.95,21122.910026041667,20611.448871527777,,
2015-04-15,22434.400390625,21562.19921875,21998.30078125,22337.5,177782.0,19990.427734375,22075.83984375,21889.28759765625,21852.95,21174.593359375,20669.593315972223,,
2015-04-16,22822.0,21804.5,22434.400390625,21901.400390625,195632.0,19600.150390625,22104.919921875,22010.425048828125,21872.330078125,21234.353385416667,20742.81332465278,,
2015-04-17,21998.30078125,21029.19921875,21901.400390625,21707.599609375,277657.0,19426.7109375,22075.83984375,21986.199951171875,21872.330078125,21279.576692708335,20810.648871527777,,
