Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2000-02-11,4480.0,3950.0,3950.0,4480.0,3000.0,298.3746337890625,,,,,,,
2000-02-14,4480.0,4010.0,4480.0,4010.0,1000.0,267.0719299316406,,,,,,,
2000-02-15,4300.0,4010.0,4010.0,4300.0,3000.0,286.3863525390625,,,,,,,
2000-02-16,4300.0,3900.0,4300.0,4290.0,1000.0,285.7203063964844,,,,,,,
2000-02-17,4700.0,3850.0,4290.0,4700.0,9000.0,313.0269775390625,4356.0,,,,,,
2000-02-18,5100.0,4350.0,4350.0,5100.0,5000.0,339.66754150390625,4480.0,,,,,,
2000-02-21,5700.0,4490.0,5050.0,5290.0,4000.0,352.3217468261719,4736.0,,,,,,
2000-02-22,5450.0,4660.0,5450.0,5300.0,1000.0,352.98785400390625,4936.0,4683.75,,,,,
2000-02-23,5300.0,4670.0,5250.0,4670.0,1000.0,311.0289001464844,5012.0,4707.5,,,,,
2000-02-24,4995.0,4200.0,4210.0,4650.0,2000.0,309.6968688964844,5002.0,4787.5,4679.0,,,,
2000-02-25,5150.0,4750.0,4950.0,5060.0,1000.0,337.00347900390625,4994.0,4882.5,4737.0,,,,
2000-02-28,5660.0,5250.0,5450.0,5660.0,12000.0,376.9643859863281,5068.0,5053.75,4902.0,,,,
2000-02-29,6330.0,6300.0,6300.0,6330.0,10000.0,421.5873718261719,5274.0,5257.5,5105.0,,,,
2000-03-01,6330.0,6330.0,6330.0,6330.0,0.0,421.5873718261719,5606.0,5411.25,5309.0,,,,
2000-03-02,7080.0,7080.0,7080.0,7080.0,13000.0,471.5384216308594,6092.0,5635.0,5547.0,,,,
2000-03-03,7700.0,6900.0,7690.0,7190.0,21000.0,478.8646240234375,6518.0,5871.25,5756.0,,,,
2000-03-06,7250.0,6330.0,6330.0,6350.0,16000.0,422.9194030761719,6656.0,6081.25,5862.0,,,,
2000-03-07,6200.0,5590.0,5650.0,5790.0,7000.0,385.62255859375,6548.0,6223.75,5911.0,,,,
2000-03-08,6480.0,5150.0,5400.0,6480.0,15000.0,431.57757568359375,6578.0,6401.25,6092.0,,,,
2000-03-09,7250.0,7000.0,7200.0,7250.0,26000.0,482.8606872558594,6612.0,6600.0,6352.0,,,,
2000-03-10,8100.0,7300.0,7500.0,8100.0,18000.0,539.4718627929688,6794.0,6821.25,6656.0,,,,
2000-03-13,8890.0,7620.0,8150.0,8300.0,32000.0,552.7921142578125,7184.0,7067.5,6920.0,,,,
2000-03-14,8340.0,7350.0,7620.0,7370.0,22000.0,490.85296630859375,7500.0,7103.75,7024.0,,,,
2000-03-15,8250.0,7000.0,7880.0,8250.0,26000.0,549.4622192382812,7854.0,7236.25,7216.0,,,,
2000-03-16,9240.0,9000.0,9200.0,9240.0,61000.0,615.3975830078125,8252.0,7597.5,7432.0,,,,
2000-03-17,10300.0,8300.0,9230.0,9890.0,61000.0,658.6885986328125,8610.0,8110.0,7702.0,,,,
2000-03-20,9800.0,8710.0,8710.0,8970.0,27000.0,597.415283203125,8744.0,8421.25,7964.0,,,,
2000-03-21,8250.0,7900.0,7900.0,8170.0,42000.0,544.134033203125,8904.0,8536.25,8202.0,,,,
2000-03-22,9150.0,8350.0,9150.0,9100.0,30000.0,606.0733642578125,9074.0,8661.25,8464.0,,,,
2000-03-23,9900.0,8200.0,8200.0,9900.0,22000.0,659.3544311523438,9206.0,8861.25,8729.0,6586.666666666667,,,
2000-03-24,11050.0,9500.0,9500.0,11050.0,39000.0,735.9463500976562,9438.0,9321.25,9024.0,6805.666666666667,,,
2000-03-27,12350.0,12300.0,12350.0,12350.0,7000.0,822.5284423828125,10114.0,9833.75,9429.0,7083.666666666667,,,
2000-03-28,13800.0,13800.0,13800.0,13800.0,4000.0,919.1002807617188,11240.0,10403.75,10072.0,7400.333333333333,,,
2000-03-29,15450.0,15450.0,15450.0,15450.0,5000.0,1028.9927978515625,12510.0,11098.75,10792.0,7772.333333333333,,,
