Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2013-10-30,38750.0,33500.0,33700.0,38750.0,16962212.0,38580.93359375,,,,,,,
2013-10-31,41150.0,35600.0,40450.0,36450.0,8952654.0,36290.96875,,,,,,,
2013-11-01,38250.0,36100.0,36450.0,37350.0,2685352.0,37187.04296875,,,,,,,
2013-11-04,39400.0,36450.0,38900.0,36700.0,2261819.0,36539.87890625,,,,,,,
2013-11-05,36700.0,34600.0,36050.0,35050.0,2254062.0,34897.078125,36860.0,,,,,,
2013-11-06,36250.0,34500.0,35050.0,35000.0,1258031.0,34847.296875,36110.0,,,,,,
2013-11-07,35400.0,33750.0,35300.0,33800.0,1265278.0,33652.53125,35580.0,,,,,,
2013-11-08,35050.0,32850.0,33250.0,34350.0,1250427.0,34200.1328125,34980.0,35931.25,,,,,
2013-11-11,35350.0,34100.0,34950.0,34450.0,650733.0,34299.6953125,34530.0,35393.75,,,,,
2013-11-12,35850.0,34250.0,34550.0,35850.0,766202.0,35693.5859375,34690.0,35318.75,35775.0,,,,
2013-11-13,36050.0,34000.0,36050.0,34200.0,873530.0,34050.78515625,34530.0,34925.0,35320.0,,,,
2013-11-14,34050.0,32400.0,34050.0,33550.0,1120559.0,33403.62109375,34480.0,34531.25,35030.0,,,,
2013-11-15,34000.0,33300.0,33500.0,33500.0,501548.0,33353.83984375,34310.0,34337.5,34645.0,,,,
2013-11-18,34550.0,33500.0,33550.0,34100.0,621179.0,33951.22265625,34240.0,34225.0,34385.0,,,,
2013-11-19,34450.0,33700.0,34200.0,33800.0,367999.0,33652.53125,33830.0,34225.0,34260.0,,,,
2013-11-20,34200.0,33550.0,33800.0,33700.0,349307.0,33552.96875,33730.0,34143.75,34130.0,,,,
2013-11-21,33800.0,32650.0,33700.0,32750.0,375291.0,32607.111328125,33570.0,33931.25,34025.0,,,,
2013-11-22,33200.0,31650.0,32950.0,31650.0,654528.0,31511.91015625,33200.0,33406.25,33755.0,,,,
2013-11-25,32100.0,31100.0,31500.0,31800.0,513819.0,31661.255859375,32740.0,33106.25,33490.0,,,,
2013-11-26,32950.0,32100.0,32200.0,32450.0,688714.0,32308.419921875,32470.0,32968.75,33150.0,,,,
2013-11-27,32300.0,31600.0,32100.0,31700.0,397652.0,31561.693359375,32070.0,32743.75,32900.0,,,,
2013-11-28,33200.0,31550.0,31750.0,33150.0,698694.0,33005.3671875,32150.0,32625.0,32860.0,,,,
2013-11-29,32900.0,31450.0,32250.0,31950.0,2366739.0,31810.6015625,32210.0,32393.75,32705.0,,,,
2013-12-02,32150.0,31550.0,31850.0,31600.0,653579.0,31462.12890625,32170.0,32131.25,32455.0,,,,
2013-12-03,32700.0,31600.0,31600.0,32500.0,814436.0,32358.203125,32180.0,32100.0,32325.0,,,,
2013-12-04,32600.0,31850.0,32400.0,32550.0,367975.0,32407.984375,32350.0,32212.5,32210.0,,,,
2013-12-05,33200.0,32550.0,32800.0,33050.0,579978.0,32905.8046875,32330.0,32368.75,32240.0,,,,
2013-12-06,33300.0,32600.0,32650.0,33200.0,376660.0,33055.1484375,32580.0,32462.5,32395.0,,,,
2013-12-09,33450.0,32650.0,33400.0,33100.0,348969.0,32955.5859375,32880.0,32637.5,32525.0,,,,
2013-12-10,32900.0,32000.0,32850.0,32000.0,343482.0,31860.384765625,32780.0,32493.75,32480.0,33801.666666666664,,,
2013-12-11,32000.0,31400.0,31700.0,31400.0,400609.0,31263.001953125,32550.0,32425.0,32450.0,33556.666666666664,,,
