Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2019-03-28,94400.0,73100.0,75500.0,88700.0,4171304.0,88700.0,,,,,,,
2019-03-29,94500.0,80300.0,92500.0,82100.0,1131418.0,82100.0,,,,,,,
2019-04-01,83600.0,79100.0,81800.0,79600.0,365847.0,79600.0,,,,,,,
2019-04-02,82400.0,78700.0,80200.0,81100.0,247372.0,81100.0,,,,,,,
2019-04-03,82900.0,79000.0,81600.0,79600.0,199453.0,79600.0,82220.0,,,,,,
2019-04-04,80000.0,78000.0,79600.0,78000.0,111902.0,78000.0,80080.0,,,,,,
2019-04-05,78500.0,74200.0,78400.0,75200.0,206446.0,75200.0,78700.0,,,,,,
2019-04-08,77200.0,73100.0,75100.0,76700.0,153072.0,76700.0,78120.0,80125.0,,,,,
2019-04-09,80800.0,75000.0,77200.0,80300.0,241415.0,80300.0,77960.0,79075.0,,,,,
2019-04-10,87500.0,79100.0,80300.0,84100.0,398111.0,84100.0,78860.0,79325.0,80540.0,,,,
2019-04-11,89900.0,83000.0,84400.0,89100.0,290864.0,89100.0,81080.0,80512.5,80580.0,,,,
2019-04-12,91200.0,86500.0,88600.0,87300.0,143161.0,87300.0,83500.0,81287.5,81100.0,,,,
2019-04-15,88400.0,85000.0,87900.0,86300.0,113001.0,86300.0,85420.0,82125.0,81770.0,,,,
2019-04-16,89400.0,82800.0,86500.0,88500.0,156540.0,88500.0,87060.0,83437.5,82510.0,,,,
2019-04-17,91100.0,87600.0,90000.0,88000.0,90505.0,88000.0,87840.0,85037.5,83350.0,,,,
2019-04-18,88300.0,83600.0,87300.0,83700.0,93744.0,83700.0,86760.0,85912.5,83920.0,,,,
2019-04-19,85500.0,83100.0,83400.0,84300.0,27684.0,84300.0,86160.0,86412.5,84830.0,,,,
2019-04-22,84700.0,81300.0,84000.0,81500.0,67344.0,81500.0,85200.0,86087.5,85310.0,,,,
2019-04-23,82000.0,79900.0,80500.0,81600.0,46667.0,81600.0,83820.0,85150.0,85440.0,,,,
2019-04-24,82300.0,79500.0,82000.0,80600.0,54016.0,80600.0,82340.0,84312.5,85090.0,,,,
2019-04-25,80900.0,79200.0,80600.0,79200.0,35872.0,79200.0,81440.0,83425.0,84100.0,,,,
2019-04-26,79600.0,77900.0,78800.0,78400.0,25472.0,78400.0,80260.0,82162.5,83210.0,,,,
