Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선
2009-05-12,9660.0,8400.0,8400.0,9660.0,986170.0,9660.0,,,,,,,
2009-05-13,11100.0,10250.0,11100.0,11100.0,1709425.0,11100.0,,,,,,,
2009-05-14,12750.0,10800.0,11200.0,12750.0,830053.0,12750.0,,,,,,,
2009-05-15,14650.0,14650.0,14650.0,14650.0,49623.0,14650.0,,,,,,,
2009-05-18,16150.0,12500.0,16150.0,12850.0,2735508.0,12850.0,12202.0,,,,,,
2009-05-19,12700.0,11050.0,12600.0,11100.0,1093897.0,11100.0,12490.0,,,,,,
2009-05-20,11500.0,9850.0,10850.0,10000.0,1689749.0,10000.0,12270.0,,,,,,
2009-05-21,10700.0,9610.0,9880.0,10200.0,1443201.0,10200.0,11760.0,11538.75,,,,,
2009-05-22,10450.0,9690.0,9900.0,9690.0,761163.0,9690.0,10768.0,11542.5,,,,,
2009-05-25,9680.0,8320.0,9600.0,8670.0,763766.0,8670.0,9932.0,11238.75,11067.0,,,,
2009-05-26,9300.0,8520.0,8810.0,8650.0,594872.0,8650.0,9442.0,10726.25,10966.0,,,,
2009-05-27,9460.0,8550.0,8800.0,8570.0,990420.0,8570.0,9156.0,9966.25,10713.0,,,,
2009-05-28,8820.0,7560.0,8650.0,7820.0,426124.0,7820.0,8680.0,9337.5,10220.0,,,,
2009-05-29,8190.0,7420.0,8020.0,7550.0,369427.0,7550.0,8252.0,8893.75,9510.0,,,,
2009-06-01,8250.0,7600.0,7630.0,7940.0,421539.0,7940.0,8106.0,8636.25,9019.0,,,,
2009-06-02,8230.0,7500.0,8110.0,7580.0,390326.0,7580.0,7892.0,8308.75,8667.0,,,,
2009-06-03,7760.0,7210.0,7700.0,7330.0,295208.0,7330.0,7644.0,8013.75,8400.0,,,,
2009-06-04,7860.0,7380.0,7380.0,7770.0,314468.0,7770.0,7634.0,7901.25,8157.0,,,,
2009-06-05,7900.0,7310.0,7900.0,7450.0,190948.0,7450.0,7614.0,7751.25,7933.0,,,,
2009-06-08,7820.0,7410.0,7530.0,7650.0,175136.0,7650.0,7556.0,7636.25,7831.0,,,,
2009-06-09,7990.0,7290.0,7800.0,7350.0,312980.0,7350.0,7510.0,7577.5,7701.0,,,,
2009-06-10,7390.0,6250.0,7350.0,6650.0,291514.0,6650.0,7374.0,7465.0,7509.0,,,,
2009-06-11,6900.0,6450.0,6650.0,6900.0,216669.0,6900.0,7200.0,7335.0,7417.0,,,,
2009-06-12,7930.0,6680.0,7160.0,6880.0,1029635.0,6880.0,7086.0,7247.5,7350.0,,,,
2009-06-15,7010.0,6520.0,6800.0,6700.0,140219.0,6700.0,6896.0,7168.75,7226.0,,,,
2009-06-16,6650.0,6350.0,6540.0,6570.0,106933.0,6570.0,6740.0,7018.75,7125.0,,,,
2009-06-17,6820.0,6480.0,6520.0,6720.0,150841.0,6720.0,6754.0,6927.5,7064.0,,,,
2009-06-18,6790.0,6430.0,6720.0,6450.0,85615.0,6450.0,6664.0,6777.5,6932.0,,,,
2009-06-19,6500.0,5980.0,6480.0,6050.0,133213.0,6050.0,6498.0,6615.0,6792.0,,,,
2009-06-22,6090.0,5650.0,6000.0,5750.0,151881.0,5750.0,6308.0,6502.5,6602.0,8500.0,,,
2009-06-23,5670.0,5220.0,5600.0,5230.0,134224.0,5230.0,6040.0,6293.75,6390.0,8352.333333333334,,,
2009-06-24,5390.0,4950.0,5270.0,4980.0,115106.0,4980.0,5692.0,6056.25,6223.0,8148.333333333333,,,
2009-06-25,5540.0,4990.0,5000.0,5200.0,322913.0,5200.0,5442.0,5868.75,6053.0,7896.666666666667,,,
2009-06-26,5350.0,4940.0,5220.0,4950.0,178179.0,4950.0,5222.0,5666.25,5860.0,7573.333333333333,,,
2009-06-29,5020.0,4500.0,4970.0,4500.0,171217.0,4500.0,4972.0,5388.75,5640.0,7295.0,,,
2009-06-30,4600.0,4245.0,4560.0,4430.0,171400.0,4430.0,4812.0,5136.25,5426.0,7072.666666666667,,,
2009-07-01,5090.0,4360.0,4450.0,5090.0,465300.0,5090.0,4834.0,5016.25,5263.0,6909.0,,,
