,날짜,종가,전일비,시가,고가,저가,거래량,5일선,8일선,10일선,30일선,45일선,60일선,120일선,성공
13,2017.01.06,13050.0,150.0,13250.0,13250.0,12950.0,385308.0,12960.0,13006.25,12930.0,,,,,0
14,2017.01.09,12800.0,250.0,13000.0,13100.0,12800.0,404520.0,12930.0,13006.25,12950.0,,,,,0
15,2017.01.10,12500.0,300.0,12800.0,12900.0,12450.0,491422.0,12880.0,12918.75,12935.0,,,,,0
16,2017.01.11,12450.0,50.0,12600.0,12800.0,12450.0,459544.0,12800.0,12818.75,12900.0,,,,,0
17,2017.01.12,12150.0,300.0,12350.0,12500.0,12100.0,496991.0,12590.0,12718.75,12795.0,,,,,0
18,2017.01.13,12100.0,50.0,12200.0,12350.0,11850.0,612247.0,12400.0,12637.5,12680.0,,,,,0
19,2017.01.16,11700.0,400.0,12050.0,12200.0,11650.0,546945.0,12180.0,12493.75,12555.0,,,,,0
20,2017.01.17,11450.0,250.0,11500.0,11600.0,11250.0,748532.0,11970.0,12275.0,12425.0,,,,,0
21,2017.01.18,11500.0,50.0,11400.0,11850.0,11150.0,649156.0,11780.0,12081.25,12290.0,,,,,0
22,2017.01.19,11500.0,0.0,11500.0,11800.0,11500.0,300342.0,11650.0,11918.75,12120.0,,,,,0
23,2017.01.20,11200.0,300.0,11500.0,11550.0,11150.0,475914.0,11470.0,11756.25,11935.0,,,,,0
24,2017.01.23,10500.0,700.0,11100.0,11150.0,10400.0,914339.0,11230.0,11512.5,11705.0,,,,,0
25,2017.01.24,10000.0,500.0,10400.0,10400.0,9980.0,971277.0,10940.0,11243.75,11455.0,,,,,0
26,2017.01.25,10100.0,100.0,10100.0,10350.0,9980.0,489739.0,10660.0,10993.75,11220.0,,,,,0
27,2017.01.26,10600.0,500.0,10100.0,10850.0,10100.0,789656.0,10480.0,10856.25,11065.0,,,,,0
28,2017.01.31,10500.0,100.0,10650.0,10850.0,10350.0,359750.0,10340.0,10737.5,10905.0,,,,,0
29,2017.02.01,10600.0,100.0,10500.0,10700.0,10450.0,311870.0,10360.0,10625.0,10795.0,12085.0,,,,0
30,2017.02.02,10200.0,400.0,10450.0,10500.0,10200.0,457227.0,10400.0,10462.5,10670.0,11971.666666666664,,,,0
31,2017.02.03,10200.0,0.0,10400.0,10400.0,10050.0,325456.0,10420.0,10337.5,10540.0,11880.0,,,,0
32,2017.02.06,10400.0,200.0,10250.0,10600.0,10100.0,366412.0,10380.0,10325.0,10430.0,11811.666666666664,,,,0
33,2017.02.07,10600.0,200.0,10450.0,10700.0,10300.0,365127.0,10400.0,10400.0,10370.0,11745.0,,,,0
34,2017.02.08,10550.0,50.0,10700.0,10750.0,10450.0,265728.0,10390.0,10456.25,10375.0,11676.666666666664,,,,0
35,2017.02.09,10200.0,350.0,10250.0,10400.0,10150.0,455731.0,10390.0,10406.25,10395.0,11595.0,,,,0
36,2017.02.10,10200.0,0.0,10250.0,10400.0,10150.0,249618.0,10390.0,10368.75,10405.0,11508.333333333336,,,,0
37,2017.02.13,10050.0,150.0,10200.0,10250.0,10000.0,334122.0,10320.0,10300.0,10350.0,11403.333333333336,,,,0
38,2017.02.14,10150.0,100.0,10100.0,10300.0,10000.0,380490.0,10230.0,10293.75,10315.0,11300.0,,,,0
39,2017.02.15,10150.0,0.0,10100.0,10300.0,10050.0,367330.0,10150.0,10287.5,10270.0,11206.666666666664,,,,0
40,2017.02.16,9790.0,360.0,10150.0,10150.0,9790.0,733536.0,10068.0,10211.25,10229.0,11108.0,,,,0
41,2017.02.17,9200.0,590.0,9790.0,9790.0,8940.0,1447684.0,9868.0,10036.25,10129.0,10986.333333333334,,,,0
42,2017.02.20,9050.0,150.0,9160.0,9190.0,8900.0,874109.0,9668.0,9848.75,9994.0,10848.0,,,,0
43,2017.02.21,10050.0,1000.0,9000.0,11450.0,8990.0,7600340.0,9648.0,9830.0,9939.0,10748.0,,,,0
44,2017.02.22,10100.0,50.0,9940.0,10150.0,9670.0,1674711.0,9638.0,9817.5,9894.0,10658.0,11409.777777777776,,,0
